iter	MultiClass
0	1.019943366
1	0.9559753109
2	0.9021785743
3	0.8568084357
4	0.8183119467
5	0.7845341649
6	0.7551860739
7	0.7295305583
8	0.7067954258
9	0.6867012937
10	0.6689066535
11	0.6525858321
12	0.6382389268
13	0.6251458668
14	0.6134186357
15	0.6022936044
16	0.5926751225
17	0.5838706211
18	0.5757545716
19	0.5685940053
20	0.5620954182
21	0.5563285532
22	0.5506358772
23	0.5459841543
24	0.5415773543
25	0.5370341566
26	0.5326954525
27	0.5292567338
28	0.5259224646
29	0.5228549796
30	0.5201753201
31	0.5171902172
32	0.5149176921
33	0.5124824614
34	0.5098632813
35	0.507956226
36	0.5058840773
37	0.5041508435
38	0.5027108667
39	0.5012359362
40	0.4999825437
41	0.4983780499
42	0.4966157498
43	0.4955432191
44	0.4941506706
45	0.493266618
46	0.4924033565
47	0.4912269528
48	0.4900900727
49	0.4892977066
50	0.4882501663
51	0.4873699426
52	0.4864365679
53	0.485735065
54	0.4851502803
55	0.484353509
56	0.483190074
57	0.4822864655
58	0.481439631
59	0.480680119
60	0.4798828537
61	0.4790664853
62	0.4782225739
63	0.4775062085
64	0.4767911605
65	0.4757336158
66	0.4752604441
67	0.4746819996
68	0.4741819848
69	0.4737056842
70	0.473099532
71	0.472524587
72	0.4720706007
73	0.4716654014
74	0.4710596609
75	0.4704920031
76	0.4700490093
77	0.469675223
78	0.4693009426
79	0.4687972636
80	0.4681783075
81	0.4676649946
82	0.4671679029
83	0.4667315787
84	0.4662056677
85	0.4658500375
86	0.4655196037
87	0.4652407152
88	0.4647233265
89	0.4643196916
90	0.4639809826
91	0.4636373742
92	0.4633572918
93	0.4630726395
94	0.4628550126
95	0.4623596088
96	0.462087637
97	0.4616925244
98	0.4612155651
99	0.4609607201
100	0.4606565942
101	0.4603308126
102	0.4599434401
103	0.4593540031
104	0.4590761439
105	0.4586288684
106	0.4584120237
107	0.4578642512
108	0.4575294533
109	0.4571113676
110	0.4567350288
111	0.4563413983
112	0.4561015394
113	0.4558751433
114	0.4556770724
115	0.4554225156
116	0.4550351019
117	0.4545879087
118	0.4543300584
119	0.4541140371
120	0.453707438
121	0.4534375247
122	0.4531333576
123	0.4528716784
124	0.4524105284
125	0.452024391
126	0.4516741954
127	0.4511821264
128	0.4508846289
129	0.4506685254
130	0.4504448876
131	0.4502031761
132	0.4498368004
133	0.449492945
134	0.4491705806
135	0.448895768
136	0.4485750092
137	0.4483251871
138	0.4480529682
139	0.447908213
140	0.4476583497
141	0.4474704479
142	0.4473265161
143	0.4469439193
144	0.4466487273
145	0.4464879157
146	0.4460208783
147	0.4458194315
148	0.4454621133
149	0.4452592666
150	0.4451205635
151	0.4449557171
152	0.4446837453
153	0.4444212015
154	0.444303207
155	0.4440234128
156	0.4439334966
157	0.4437848714
158	0.4435471121
159	0.443277487
160	0.4428861621
161	0.4427253093
162	0.4424429625
163	0.4422364928
164	0.4420068853
165	0.4418466089
166	0.4416639357
167	0.441447791
168	0.4412861147
169	0.4411532166
170	0.4408231944
171	0.4406041678
172	0.4402355278
173	0.4400287699
174	0.4397247675
175	0.4395415591
176	0.4392905018
177	0.4389538101
178	0.4387910222
179	0.4383386004
180	0.4381214264
181	0.4377787238
182	0.4375730775
183	0.4372389383
184	0.4370289692
185	0.4368544889
186	0.4365089867
187	0.4363322832
188	0.4361956797
189	0.4361137918
190	0.4359837756
191	0.4356950474
192	0.4354403671
193	0.4353446459
194	0.4352126123
195	0.4350071719
196	0.4347559499
197	0.4346305448
198	0.4344294273
199	0.434251077
200	0.434155891
201	0.4339995257
202	0.4338294095
203	0.4337235192
204	0.4335305122
205	0.4333273362
206	0.4332012312
207	0.4329533029
208	0.4328862774
209	0.4327754466
210	0.4324403194
211	0.4322026013
212	0.4319937849
213	0.4319134202
214	0.4315024159
215	0.4309917379
216	0.4308452124
217	0.4304714672
218	0.4303302527
219	0.4302155519
220	0.429979563
221	0.4298125346
222	0.4296073412
223	0.4292981925
224	0.4291594069
225	0.4289606361
226	0.4287524785
227	0.4283850324
228	0.4282197743
229	0.4281198949
230	0.4279305109
231	0.427750555
232	0.4276075289
233	0.4274533045
234	0.4272031942
235	0.4270362893
236	0.4269392917
237	0.4266704077
238	0.4263891313
239	0.4262707252
240	0.4260361773
241	0.4258567566
242	0.4256934747
243	0.425568193
244	0.4254868403
245	0.4254059404
246	0.425134545
247	0.4249918071
248	0.4247418614
249	0.4245627289
250	0.4244351418
251	0.4243639581
252	0.4241259107
253	0.4240565797
254	0.4238254901
255	0.4235510892
256	0.4234049342
257	0.4231076014
258	0.4228778292
259	0.4227972587
260	0.4225756795
261	0.4223273395
262	0.4222193083
263	0.422150636
264	0.4219886304
265	0.4219374967
266	0.4217660631
267	0.4215777495
268	0.4214416401
269	0.4212526267
270	0.4210313768
271	0.4209370554
272	0.4207008195
273	0.4205228397
274	0.4204116384
275	0.4202776286
276	0.4201558465
277	0.420078405
278	0.419967533
279	0.4198499914
280	0.4196959729
281	0.4195316617
282	0.4192416984
283	0.4190759463
284	0.4188684061
285	0.4186740817
286	0.4185183752
287	0.4183618864
288	0.4179562342
289	0.4178514966
290	0.4177339551
291	0.4175282676
292	0.4173835536
293	0.4172936785
294	0.4172015391
295	0.417088938
296	0.4168245415
297	0.4167254443
298	0.416587194
299	0.4164855854
300	0.4163932813
301	0.4163337077
302	0.4161267851
303	0.415758104
304	0.4155062233
305	0.4154469379
306	0.4153032943
307	0.4151307902
308	0.4148412386
309	0.4146558482
310	0.4143822707
311	0.4141890991
312	0.4139697842
313	0.4138345805
314	0.4135321426
315	0.4134754509
316	0.4133863993
317	0.4132916249
318	0.4132701752
319	0.4129811176
320	0.4129171388
321	0.4128334393
322	0.4126820968
323	0.412581888
324	0.4124524482
325	0.4123377885
326	0.4121575032
327	0.4119212262
328	0.4118437434
329	0.4117157034
330	0.4115799645
331	0.4115301071
332	0.4112691278
333	0.411131495
334	0.4110490719
335	0.4107929506
336	0.4106710038
337	0.4105241078
338	0.4103823991
339	0.4102583938
340	0.4101046223
341	0.4098685099
342	0.4095714653
343	0.4094234576
344	0.409269192
345	0.4091420989
346	0.4087667481
347	0.4086133471
348	0.4084284096
349	0.4082644278
350	0.4081148556
351	0.4079563906
352	0.4078602989
353	0.4077337821
354	0.4076509884
355	0.4075107619
356	0.4074312619
357	0.4071837041
358	0.4070840305
359	0.4069913147
360	0.4069620013
361	0.4068848891
362	0.4067707647
363	0.4066226747
364	0.4064806367
365	0.4063210602
366	0.4061909204
367	0.4061076327
368	0.4059926025
369	0.4058887295
370	0.4057681002
371	0.4055037037
372	0.4053211129
373	0.405205424
374	0.4050020009
375	0.4049239829
376	0.4048919935
377	0.4046373133
378	0.4045272647
379	0.4042253208
380	0.4041670235
381	0.4040582924
382	0.4039875616
383	0.4037829446
384	0.4037139018
385	0.4035757338
386	0.4035218829
387	0.403448476
388	0.4033568307
389	0.4030820181
390	0.4028646794
391	0.4026316548
392	0.4025635177
393	0.402355113
394	0.4022119223
395	0.4020984566
396	0.4020034764
397	0.4019674523
398	0.4019222472
399	0.4018245498
400	0.4016613914
401	0.4013674345
402	0.4012986799
403	0.4012207443
404	0.4011208237
405	0.4010476227
406	0.4008528865
407	0.4007513191
408	0.4006973858
409	0.4006318837
410	0.4004955684
411	0.4004219145
412	0.4002412999
413	0.4001599883
414	0.400029478
415	0.399896127
416	0.3998323952
417	0.399731857
418	0.3995007262
419	0.3994746654
420	0.3992599616
421	0.3991053666
422	0.3989987352
423	0.3989770384
424	0.3989529949
425	0.3987531125
426	0.3985960885
427	0.398558047
428	0.398364546
429	0.3982889983
430	0.398206081
431	0.3981675043
432	0.3981277337
433	0.3980372823
434	0.3979496716
435	0.3977765912
436	0.3976717713
437	0.3974941209
438	0.3974288246
439	0.3972171674
440	0.3971425254
441	0.3971113594
442	0.3970838576
443	0.3968945148
444	0.3968018402
445	0.3966678716
446	0.3964998139
447	0.3963843309
448	0.3963030604
449	0.3962860159
450	0.3962381759
451	0.3961034662
452	0.395960399
453	0.395887939
454	0.3956684595
455	0.3954804342
456	0.3954062862
457	0.3953472478
458	0.3952807576
459	0.3951747438
460	0.3949585167
461	0.3948500738
462	0.3948298591
463	0.3946830042
464	0.3945942819
465	0.3945567757
466	0.3943352788
467	0.3942650832
468	0.3941410779
469	0.3941235804
470	0.3939693149
471	0.3938762285
472	0.3937907176
473	0.3937693501
474	0.3936954492
475	0.3936059035
476	0.3934844508
477	0.3932897558
