iter	Logloss
0	0.642872645
1	0.5976576668
2	0.5570252414
3	0.5205544291
4	0.4878480203
5	0.4585206277
6	0.4375043098
7	0.4176043117
8	0.3950124406
9	0.3801049364
10	0.3635758623
11	0.3460831548
12	0.3330671738
13	0.3211342802
14	0.3091149113
15	0.2995038973
16	0.2899844327
17	0.281222405
18	0.2734378361
19	0.265369683
20	0.2578376469
21	0.2512865719
22	0.2447665681
23	0.2380760751
24	0.231982296
25	0.2267354966
26	0.2216844487
27	0.2171656428
28	0.2114714192
29	0.2063169502
30	0.202321075
31	0.198904612
32	0.1954402508
33	0.1923928258
34	0.1893684883
35	0.1865919291
36	0.1840780642
37	0.1815411117
38	0.179251809
39	0.1768176285
40	0.1747264331
41	0.1721794064
42	0.1704318846
43	0.1687111851
44	0.1666117227
45	0.1650677168
46	0.1636475209
47	0.1623403195
48	0.1606894065
49	0.15942624
50	0.1581034536
51	0.156888426
52	0.1558907776
53	0.1548866069
54	0.1538516666
55	0.1528988704
56	0.1520913457
57	0.1513297489
58	0.1505460317
59	0.1496310859
60	0.1489249641
61	0.1482987178
62	0.147657707
63	0.1470571364
64	0.1464939781
65	0.1458417414
66	0.1453307598
67	0.1447365023
68	0.1443136813
69	0.143924363
70	0.1435293446
71	0.1430361111
72	0.1426540829
73	0.1422819444
74	0.1418629932
75	0.1415376888
76	0.1412388442
77	0.1409775008
78	0.1406331434
79	0.1403814063
80	0.140131297
81	0.139941974
82	0.1397177462
83	0.1394400929
84	0.1392252392
85	0.1390525902
86	0.1388595456
87	0.1386585965
88	0.1384820199
89	0.1383237186
90	0.1381678094
91	0.1380095296
92	0.1378516253
93	0.1376641458
94	0.1375325746
95	0.1373708664
96	0.1372202851
97	0.1370983812
98	0.1369980162
99	0.1368983612
100	0.1368067492
101	0.1366799523
102	0.1365642857
103	0.1364787709
104	0.1363967998
105	0.1362961695
106	0.1361958408
107	0.1361275419
108	0.136048304
109	0.1359720397
110	0.1359094081
111	0.1358503994
112	0.1357855339
113	0.1357336701
114	0.1356829003
115	0.1356206543
116	0.1355637938
117	0.1355149597
118	0.1354719428
119	0.1354427037
120	0.1353967626
121	0.1353650901
122	0.1353332282
123	0.1352844782
124	0.1352409869
125	0.1352038152
126	0.1351742317
127	0.1351455412
128	0.1351166859
129	0.1350828273
130	0.1350466605
131	0.1350224346
132	0.1349978924
133	0.1349743172
134	0.1349485838
135	0.1349195869
136	0.134895847
137	0.1348697858
138	0.1348432715
139	0.1348150258
140	0.1347944391
141	0.1347697502
142	0.1347449214
143	0.1347315802
144	0.1347103263
145	0.1346918962
146	0.1346726604
147	0.1346467788
148	0.1346324788
149	0.1346184803
150	0.1346075247
151	0.1345897091
152	0.13457319
153	0.1345589592
154	0.1345408305
155	0.1345213641
156	0.1345075403
157	0.1345013507
158	0.1344843819
159	0.1344770754
160	0.134464441
161	0.1344490702
162	0.1344371739
163	0.1344184538
164	0.1344013383
165	0.1343912591
166	0.1343809015
167	0.1343714418
168	0.1343604318
169	0.1343460149
170	0.1343344003
171	0.1343244068
172	0.1343203507
173	0.1343139322
174	0.1343082205
175	0.1343036455
176	0.1342945004
177	0.1342864015
178	0.1342776222
179	0.1342705612
180	0.13425193
181	0.1342440453
182	0.1342368887
183	0.1342294207
184	0.1342109939
185	0.1342054864
186	0.134202806
187	0.1341983727
188	0.1341809705
189	0.1341809376
190	0.1341660066
191	0.1341562932
192	0.1341515255
193	0.1341454842
194	0.134139527
195	0.1341297724
196	0.1341245977
197	0.1341178958
198	0.1341036782
199	0.1340986831
200	0.1340850619
201	0.1340708295
202	0.1340603994
203	0.1340546218
204	0.134048195
205	0.1340356249
206	0.1340307566
207	0.1340230581
208	0.1340111766
209	0.1340039475
210	0.1339951221
211	0.1339893708
212	0.1339785914
213	0.1339740312
214	0.1339689554
215	0.1339639949
216	0.133959672
217	0.1339579652
218	0.133946433
219	0.1339375779
220	0.1339268512
221	0.1339217079
222	0.133917492
223	0.133909286
224	0.1339061624
225	0.1338957538
226	0.1338917257
227	0.1338872265
228	0.1338819662
229	0.1338775394
230	0.1338675262
231	0.1338577089
232	0.1338501668
233	0.1338403216
234	0.1338316757
235	0.1338267119
236	0.1338203494
237	0.133815669
238	0.1338103774
239	0.1338057694
240	0.1338018682
241	0.1337982883
242	0.1337945502
243	0.1337887544
244	0.133784817
245	0.1337817478
246	0.1337736291
247	0.1337644577
248	0.1337561643
249	0.1337550062
250	0.1337511033
251	0.1337470473
252	0.1337430209
253	0.1337384014
254	0.13373452
255	0.1337265183
256	0.1337230767
257	0.1337158493
258	0.1337109234
259	0.1337028426
260	0.1336943532
261	0.1336908903
262	0.1336834322
263	0.1336766216
264	0.1336731636
265	0.1336660301
266	0.1336621009
267	0.1336574715
268	0.1336558224
269	0.1336489558
270	0.1336463396
271	0.1336438289
272	0.1336395554
273	0.1336329227
274	0.1336307612
275	0.1336234844
276	0.1336166738
277	0.1336137759
278	0.1336126177
279	0.1336062915
280	0.1336031003
281	0.1335958894
282	0.1335899421
283	0.1335875285
284	0.1335844577
285	0.1335801463
286	0.1335744312
287	0.1335718233
288	0.1335696124
289	0.1335632301
290	0.1335590867
291	0.1335526633
292	0.1335484178
293	0.1335422728
294	0.1335370487
295	0.1335343139
296	0.133531617
297	0.1335259365
298	0.1335234851
299	0.1335176168
300	0.1335132362
301	0.1335090484
302	0.1335046925
303	0.1335016744
304	0.1334959824
305	0.1334936924
306	0.1334894963
307	0.1334843464
308	0.133480918
309	0.1334774122
310	0.1334714616
311	0.1334694615
312	0.1334653791
313	0.1334628931
314	0.1334581023
315	0.1334530166
