A;RTSALEDATA;267;20250414 01:22;VALNET;
B;267;1967572;1;20250414 01:22;;7;42;TERRACE RD;DULWICH HILL;2203;;;20250204;20250409;950000;;R;RESIDENCE;7;;;0;AU964648;
C;267;1967572;1;20250414 01:22;7/SP8276;
D;267;1967572;1;20250414 01:22;P;;;;;;
D;267;1967572;1;20250414 01:22;P;;;;;;
D;267;1967572;1;20250414 01:22;V;;;;;;
D;267;1967572;1;20250414 01:22;V;;;;;;
B;267;3398569;2;20250414 01:22;;6;18;ORPINGTON ST;ASHFIELD;2131;;;20250222;20250407;545000;;R;RESIDENCE;6;;;0;AU955917;
C;267;3398569;2;20250414 01:22;6/SP80005;
D;267;3398569;2;20250414 01:22;P;;;;;;
D;267;3398569;2;20250414 01:22;V;;;;;;
B;267;3476676;3;20250414 01:22;;7;48;EDITH ST;LEICHHARDT;2040;54;M;20250222;20250407;670000;;R;RESIDENCE;7;;;0;AU955850;
C;267;3476676;3;20250414 01:22;7/SP82529;
D;267;3476676;3;20250414 01:22;P;;;;;;
D;267;3476676;3;20250414 01:22;V;;;;;;
D;267;3476676;3;20250414 01:22;V;;;;;;
B;267;4218812;4;20250414 01:22;;508;180;LIVINGSTONE RD;MARRICKVILLE;2204;60;M;20250221;20250404;780000;;R;RESIDENCE;45;;;0;AU951662;
C;267;4218812;4;20250414 01:22;45/SP99426;
D;267;4218812;4;20250414 01:22;P;;;;;;
D;267;4218812;4;20250414 01:22;V;;;;;;
B;267;4222493;5;20250414 01:22;;102;2;ARTHUR ST;MARRICKVILLE;2204;73;M;20250220;20250403;750000;;R;RESIDENCE;5;;;0;AU947702;
C;267;4222493;5;20250414 01:22;5/SP99551;
D;267;4222493;5;20250414 01:22;P;;;;;;
D;267;4222493;5;20250414 01:22;V;;;;;;
B;267;4252302;6;20250414 01:22;;203;20;GEORGE ST;MARRICKVILLE;2204;94;M;20250220;20250403;860000;;R;RESIDENCE;11;;;0;AU947139;
C;267;4252302;6;20250414 01:22;11/SP100337;
D;267;4252302;6;20250414 01:22;P;;;;;;
D;267;4252302;6;20250414 01:22;V;;;;;;
B;267;4252302;7;20250414 01:22;;204;20;GEORGE ST;MARRICKVILLE;2204;96;M;20250211;20250408;887000;;R;RESIDENCE;12;;;0;AU959345;
C;267;4252302;7;20250414 01:22;12/SP100337;
D;267;4252302;7;20250414 01:22;P;;;;;;
D;267;4252302;7;20250414 01:22;P;;;;;;
D;267;4252302;7;20250414 01:22;V;;;;;;
D;267;4252302;7;20250414 01:22;V;;;;;;
B;267;1292957;8;20250414 01:22;;1;37;BARTLETT ST;SUMMER HILL;2130;;;20250222;20250407;755000;;R;RESIDENCE;1;;;0;AU956944;
C;267;1292957;8;20250414 01:22;1/SP20127;
D;267;1292957;8;20250414 01:22;P;;;;;;
D;267;1292957;8;20250414 01:22;V;;;;;;
B;267;1298306;9;20250414 01:22;;14;7;GRAINGER AVE;ASHFIELD;2131;;;20250315;20250409;715000;;R;RESIDENCE;14;;;0;AU964934;
C;267;1298306;9;20250414 01:22;14/SP98;
D;267;1298306;9;20250414 01:22;P;;;;;;
D;267;1298306;9;20250414 01:22;V;;;;;;
B;267;1303684;10;20250414 01:22;;3;23;PALACE ST;ASHFIELD;2131;;;20250221;20250404;960000;;R;RESIDENCE;3;;;0;AU953991;
C;267;1303684;10;20250414 01:22;3/SP14243;
D;267;1303684;10;20250414 01:22;P;;;;;;
D;267;1303684;10;20250414 01:22;V;;;;;;
D;267;1303684;10;20250414 01:22;V;;;;;;
B;267;1295958;11;20250414 01:22;;;162;CROYDON RD;CROYDON;2132;706;M;20250219;20250407;2640000;R2;R;RESIDENCE;;EGC;;0;AU957353;
C;267;1295958;11;20250414 01:22;27/309288;
D;267;1295958;11;20250414 01:22;P;;;;;;
D;267;1295958;11;20250414 01:22;P;;;;;;
D;267;1295958;11;20250414 01:22;V;;;;;;
B;267;1304477;12;20250414 01:22;;3;25;PROSPECT RD;SUMMER HILL;2130;;;20250222;20250407;835000;;R;RESIDENCE;3;;;0;AU958721;
C;267;1304477;12;20250414 01:22;3/SP21700;
D;267;1304477;12;20250414 01:22;P;;;;;;
D;267;1304477;12;20250414 01:22;V;;;;;;
D;267;1304477;12;20250414 01:22;V;;;;;;
B;267;1304796;13;20250414 01:22;;;149;QUEEN ST;ASHFIELD;2131;284.5;M;20250217;20250407;2080000;R2;R;RESIDENCE;;ESE;;0;AU955308;
C;267;1304796;13;20250414 01:22;B/176893;
D;267;1304796;13;20250414 01:22;P;;;;;;
D;267;1304796;13;20250414 01:22;P;;;;;;
D;267;1304796;13;20250414 01:22;V;;;;;;
B;267;1304931;14;20250414 01:22;;;43;RAMSAY ST;HABERFIELD;2045;170.7;M;20250220;20250403;1400000;R2;R;RESIDENCE;;ERR;;0;AU947126;
C;267;1304931;14;20250414 01:22;2/203751;
D;267;1304931;14;20250414 01:22;P;;;;;;
D;267;1304931;14;20250414 01:22;V;;;;;;
B;267;1291953;15;20250414 01:22;;9;45;ALT ST;ASHFIELD;2131;;;20250222;20250407;985000;;R;RESIDENCE;9;;;0;AU955995;
C;267;1291953;15;20250414 01:22;9/SP221;
D;267;1291953;15;20250414 01:22;P;;;;;;
D;267;1291953;15;20250414 01:22;V;;;;;;
D;267;1291953;15;20250414 01:22;V;;;;;;
B;267;1291953;16;20250414 01:22;;9;45;ALT ST;ASHFIELD;2131;;;20250222;20250407;985000;;R;RESIDENCE;28;;;0;AU955995;
C;267;1291953;16;20250414 01:22;28/SP221;
D;267;1291953;16;20250414 01:22;P;;;;;;
D;267;1291953;16;20250414 01:22;V;;;;;;
