A;171;20030818 10:02;PDANN;
B;171;1803339;1;20030818 10:02;;;8;ACACIA ST;TWEED HEADS SOUTH;2486;607;M;20030624;20030724;290000;A;R;RESIDENCE;;NK;;0;9839595;
C;171;1803339;1;20030818 10:02;24/2/28266;
D;171;1803339;1;20030818 10:02;P;;;;;;
D;171;1803339;1;20030818 10:02;V;;;;;;
D;171;1803339;1;20030818 10:02;V;;;;;;
B;171;1803467;2;20030818 10:02;;1;7;ADVOCATE PL;BANORA POINT;2486;;;20030630;20030724;280000;;R;RESIDENCE;1;;;0;9860763;
C;171;1803467;2;20030818 10:02;1//SP 47519;
D;171;1803467;2;20030818 10:02;P;;;;;;
D;171;1803467;2;20030818 10:02;V;;;;;;
D;171;1803467;2;20030818 10:02;V;;;;;;
B;171;1803992;3;20030818 10:02;;;10;THE ANCHORAGE;TWEED HEADS;2485;809.3;M;20030220;20030415;572500;A;R;RESIDENCE;;LC;;0;9865317;
C;171;1803992;3;20030818 10:02;224//253826;
D;171;1803992;3;20030818 10:02;P;;;;;;
D;171;1803992;3;20030818 10:02;P;;;;;;
D;171;1803992;3;20030818 10:02;V;;;;;;
D;171;1803992;3;20030818 10:02;V;;;;;;
B;171;1804697;4;20030818 10:02;;;6;BALLUNA ST;TYALGUM;2484;1012;M;20030410;20030423;142000;A;R;RESIDENCE;;MD;;0;9837301;
C;171;1804697;4;20030818 10:02;10/6/759012;
D;171;1804697;4;20030818 10:02;P;;;;;;
D;171;1804697;4;20030818 10:02;V;;;;;;
D;171;1804697;4;20030818 10:02;V;;;;;;
B;171;1804718;5;20030818 10:02;;;21;BALLYMORE CT;BANORA POINT;2486;789.7;M;20030403;20030606;225597;A;V;VACANT LAND;;NL;;0;9864547;
C;171;1804718;5;20030818 10:02;33//881261;
D;171;1804718;5;20030818 10:02;P;;;;;;
D;171;1804718;5;20030818 10:02;P;;;;;;
D;171;1804718;5;20030818 10:02;V;;;;;;
D;171;1804718;5;20030818 10:02;V;;;;;;
B;171;1804901;6;20030818 10:02;;1;4;BANKS AVE;TWEED HEADS;2485;;;20030604;20030702;216000;;R;RESIDENCE;1;;;0;9846780;
C;171;1804901;6;20030818 10:02;1//SP 14137;
D;171;1804901;6;20030818 10:02;P;;;;;;
D;171;1804901;6;20030818 10:02;V;;;;;;
B;171;1804931;7;20030818 10:02;;7;14;BANKS AVE;TWEED HEADS;2485;;;20030718;20030725;220000;;R;RESIDENCE;7;;;0;9849066;
C;171;1804931;7;20030818 10:02;7//SP 9854;
D;171;1804931;7;20030818 10:02;P;;;;;;
D;171;1804931;7;20030818 10:02;V;;;;;;
B;171;1804992;8;20030818 10:02;;;4;BANKSIA AVE;BOGANGAR;2488;695.6;M;20030502;20030624;413000;A;R;RESIDENCE;;JF;;0;9874466;
C;171;1804992;8;20030818 10:02;239//217679;
D;171;1804992;8;20030818 10:02;P;;;;;;
D;171;1804992;8;20030818 10:02;V;;;;;;
D;171;1804992;8;20030818 10:02;V;;;;;;
B;171;1805949;9;20030818 10:02;;;13;BIMBADEEN AVE;BANORA POINT;2486;663.9;M;20030528;20030627;295000;A;R;RESIDENCE;;HM;;0;9849051;
C;171;1805949;9;20030818 10:02;6//30318;
D;171;1805949;9;20030818 10:02;P;;;;;;
D;171;1805949;9;20030818 10:02;P;;;;;;
D;171;1805949;9;20030818 10:02;V;;;;;;
D;171;1805949;9;20030818 10:02;V;;;;;;
B;171;1806294;10;20030818 10:02;;27;1;BLUE JAY CCT;KINGSCLIFF;2487;;;20030703;20030725;174950;;R;RESIDENCE;27;;;0;9848860;
C;171;1806294;10;20030818 10:02;27//SP 51791;
D;171;1806294;10;20030818 10:02;P;;;;;;
D;171;1806294;10;20030818 10:02;V;;;;;;
D;171;1806294;10;20030818 10:02;V;;;;;;
B;171;1806881;11;20030818 10:02;;6;4;BOTANY CRES;TWEED HEADS;2485;;;20030711;20030728;338000;;R;RESIDENCE;6;;;0;9842054;
