A;171;20030501 12:46;PBARBER;
B;171;1803484;1;20030501 12:46;'FAIRWAY VIEWS';29;4;ADVOCATE PL;BANORA POINT;2486;;;20030228;20030328;215000;;R;RESIDENCE;29;;;;9529221;
C;171;1803484;1;20030501 12:46;29//SP 49377;
D;171;1803484;1;20030501 12:46;P;;;;;;
D;171;1803484;1;20030501 12:47;V;;;;;;
B;171;1803629;2;20030501 12:47;;;2;ALAMANDA AVE;BOGANGAR;2488;629.1;M;20030228;20030326;320000;A;R;RESIDENCE;;JF;AC;;9534320;
C;171;1803629;2;20030501 12:47;65//261914;
D;171;1803629;2;20030501 12:47;P;;;;;;
D;171;1803629;2;20030501 12:47;P;;;;;;
D;171;1803629;2;20030501 12:47;V;;;;;;
B;171;1803729;3;20030501 12:47;;1;3;ALEXANDER CT;TWEED HEADS SOUTH;2486;;;20030327;20030404;28000;;R;RESIDENCE;1;;;;9522177;
C;171;1803729;3;20030501 12:47;1//SP 39674;
D;171;1803729;3;20030501 12:47;P;;;;;;
D;171;1803729;3;20030501 12:47;P;;;;;;
D;171;1803729;3;20030501 12:47;V;;;;;;
D;171;1803729;3;20030501 12:47;V;;;;;;
B;171;1803853;4;20030501 12:47;GRANDVIEW MEWS;3;22;AMAROO DR;BANORA POINT;2486;;;20030225;20030328;128000;;R;RESIDENCE;3;;;;9524682;
C;171;1803853;4;20030501 12:47;3//SP 35377;
D;171;1803853;4;20030501 12:47;P;;;;;;
D;171;1803853;4;20030501 12:47;V;;;;;;
D;171;1803853;4;20030501 12:47;V;;;;;;
B;171;1805757;5;20030501 12:47;;;14;BENSON ST;TWEED HEADS WEST;2485;818;M;20030303;20030414;290000;A;R;RESIDENCE;;NE;AC;;9546576;
C;171;1805757;5;20030501 12:47;20//863486;
D;171;1805757;5;20030501 12:47;P;;;;;;
D;171;1805757;5;20030501 12:47;P;;;;;;
D;171;1805757;5;20030501 12:47;V;;;;;;
B;171;1806008;6;20030501 12:47;;;5;BIRKDALE CT;BANORA POINT;2486;816.5;M;20030314;20030414;435000;A;R;RESIDENCE;;HR;AC;;9546129;
C;171;1806008;6;20030501 12:47;1318//1005077;
D;171;1806008;6;20030501 12:47;P;;;;;;
D;171;1806008;6;20030501 12:47;P;;;;;;
D;171;1806008;6;20030501 12:47;V;;;;;;
D;171;1806008;6;20030501 12:47;V;;;;;;
B;171;1806237;7;20030501 12:47;;;8;BLUE HAZE CRES;BANORA POINT;2486;651.3;M;20030110;20030214;450000;A;R;RESIDENCE;;HM;AC;;9539108;
C;171;1806237;7;20030501 12:47;29//239615;
D;171;1806237;7;20030501 12:47;P;;;;;;
D;171;1806237;7;20030501 12:47;P;;;;;;
D;171;1806237;7;20030501 12:47;V;;;;;;
D;171;1806237;7;20030501 12:47;V;;;;;;
B;171;1806338;8;20030501 12:47;;1;21;BLUE WATERS CRES;TWEED HEADS WEST;2485;;;20030303;20030331;150000;;R;RESIDENCE;1;;;;9522652;
C;171;1806338;8;20030501 12:47;1//SP 16201;
D;171;1806338;8;20030501 12:47;P;;;;;;
D;171;1806338;8;20030501 12:47;P;;;;;;
D;171;1806338;8;20030501 12:47;V;;;;;;
D;171;1806338;8;20030501 12:47;V;;;;;;
B;171;1806989;9;20030501 12:47;;5;20;BOUNDARY ST;TWEED HEADS;2485;;;20030115;20030217;271000;;R;RESIDENCE;5;;;;9528940;
C;171;1806989;9;20030501 12:47;5//SP 19857;
D;171;1806989;9;20030501 12:47;P;;;;;;
D;171;1806989;9;20030501 12:47;P;;;;;;
D;171;1806989;9;20030501 12:47;V;;;;;;
B;171;1807378;10;20030501 12:47;;;40;BRISBANE ST;MURWILLUMBAH;2484;;;20030131;20030307;175000;A;R;RESIDENCE;;JR;AC;;9516782;
C;171;1807378;10;20030501 12:47;1//30149;
D;171;1807378;10;20030501 12:47;P;;;;;;
D;171;1807378;10;20030501 12:47;V;;;;;;
D;171;1807378;10;20030501 12:47;V;;;;;;
B;171;1807480;11;20030501 12:47;;;18;BROADWATER ESP;BILAMBIL HEIGHTS;2486;613.3;M;20030124;20030211;190000;A;R;RESIDENCE;;NF;AC;;9547928;
C;171;1807480;11;20030501 12:47;336//31041;
D;171;1807480;11;20030501 12:47;P;;;;;;
D;171;1807480;11;20030501 12:47;V;;;;;;
B;171;1807779;12;20030501 12:47;;;17;BUENAVISTA DR;BILAMBIL HEIGHTS;2486;842.3;M;20030228;20030324;307000;A;R;RESIDENCE;;NF;AC;;9531506;
C;171;1807779;12;20030501 12:47;16//802884;
D;171;1807779;12;20030501 12:47;P;;;;;;
D;171;1807779;12;20030501 12:47;P;;;;;;
D;171;1807779;12;20030501 12:47;V;;;;;;
D;171;1807779;12;20030501 12:47;V;;;;;;
B;171;1808137;13;20030501 12:47;;;1718;BYRRILL CREEK RD;BRAYS CREEK;2484;119.49;H;20030123;20030228;400000;R;3;FARM;;TA;RG;;9421286;
C;171;1808137;13;20030501 12:47;66//755748 8, 13, 15, 17//877438;
D;171;1808137;13;20030501 12:47;P;;;;;;
D;171;1808137;13;20030501 12:47;P;;;;;;
D;171;1808137;13;20030501 12:47;V;;;;;;
B;171;1808141;14;20030501 12:47;;;1619;BYRRILL CREEK RD;BRAYS CREEK;2484;2.023;H;20030116;20030303;212000;R;R;RESIDENCE;;RH;RR;;9530455;
