A;247;20040102 14:10;PDANN;
B;247;2653501;1;20040102 14:10;;;;PH BAAN BAA;BAAN BAA;2390;1281.118;H;20030711;20030822;2400000;R;3;FARM;;WC;;0;9985954;
C;247;2653501;1;20040102 14:10;2, 3//113631 1//500270 1//581912 22//618556 53, 67, 73, 120, 122, 193/;
C;247;2653501;1;20040102 14:10;/755470 , . . WA 002034 WB 126163 WB 130455 WB 250047 WB 019231 WB 030;
C;247;2653501;1;20040102 14:10;249 Special Lease 65/25;
D;247;2653501;1;20040102 14:10;P;;;;;;
D;247;2653501;1;20040102 14:10;P;;;;;;
D;247;2653501;1;20040102 14:10;V;;;;;;
D;247;2653501;1;20040102 14:10;V;;;;;;
B;247;2654066;2;20040102 14:10;;;55;LYNN ST;BOGGABRI;2382;2024;M;20031011;20031112;1000;A;3;VACANT LAND - LOT 13;;BR;;0;AA195365;
C;247;2654066;2;20040102 14:10;131, 132//619830;
D;247;2654066;2;20040102 14:10;P;;;;;;
D;247;2654066;2;20040102 14:10;P;;;;;;
D;247;2654066;2;20040102 14:10;V;;;;;;
D;247;2654066;2;20040102 14:10;V;;;;;;
D;247;2654066;2;20040102 14:10;V;;;;;;
D;247;2654066;2;20040102 14:10;V;;;;;;
D;247;2654066;2;20040102 14:10;V;;;;;;
D;247;2654066;2;20040102 14:10;V;;;;;;
B;247;2654066;3;20040102 14:10;;;55;LYNN ST;BOGGABRI;2382;2024;M;20031011;20031112;29000;A;3;RESIDENCE - LOT 132 ;;BR;;0;AA195366;
C;247;2654066;3;20040102 14:10;131, 132//619830;
D;247;2654066;3;20040102 14:10;P;;;;;;
D;247;2654066;3;20040102 14:10;P;;;;;;
D;247;2654066;3;20040102 14:10;V;;;;;;
D;247;2654066;3;20040102 14:10;V;;;;;;
D;247;2654066;3;20040102 14:10;V;;;;;;
D;247;2654066;3;20040102 14:10;V;;;;;;
D;247;2654066;3;20040102 14:10;V;;;;;;
D;247;2654066;3;20040102 14:10;V;;;;;;
B;247;2654181;4;20040102 14:10;;;80;MERTON ST;BOGGABRI;2382;1012;M;20031125;20031219;54000;A;R;RESIDENCE;;BR;;0;AA276989;
C;247;2654181;4;20040102 14:10;1//998504;
D;247;2654181;4;20040102 14:10;P;;;;;;
D;247;2654181;4;20040102 14:10;P;;;;;;
D;247;2654181;4;20040102 14:10;V;;;;;;
B;247;2654648;5;20040102 14:10;;;;WERAH CREEK RD;WEE WAA;2388;138.9;H;20031021;20031202;65000;R;V;VACANT LAND;;BF;;0;AA220256;
C;247;2654648;5;20040102 14:10;141//814562;
D;247;2654648;5;20040102 14:10;P;;;;;;
D;247;2654648;5;20040102 14:10;P;;;;;;
D;247;2654648;5;20040102 14:10;V;;;;;;
B;247;2655009;6;20040102 14:10;;;;PH DRILDOOL;NARRABRI;2390;1083;H;20030923;20031110;267500;R;3;FARM;;WR;;0;AA198713;
C;247;2655009;6;20040102 14:10;12, 22, 23, 37, 40//753929 . . WB 114766 WS 051818;
D;247;2655009;6;20040102 14:10;P;;;;;;
D;247;2655009;6;20040102 14:10;V;;;;;;
D;247;2655009;6;20040102 14:10;V;;;;;;
D;247;2655009;6;20040102 14:10;V;;;;;;
D;247;2655009;6;20040102 14:10;V;;;;;;
D;247;2655009;6;20040102 14:10;V;;;;;;
B;247;2655009;7;20040102 14:10;;;;PH DRILDOOL;NARRABRI;2390;1083;H;20031022;20031110;535000;R;3;FARM;;WR;;0;AA198714;
C;247;2655009;7;20040102 14:10;12, 22, 23, 37, 40//753929 . . WB 114766 WS 051818;
D;247;2655009;7;20040102 14:10;P;;;;;;
D;247;2655009;7;20040102 14:10;P;;;;;;
D;247;2655009;7;20040102 14:10;P;;;;;;
D;247;2655009;7;20040102 14:10;V;;;;;;
D;247;2655009;7;20040102 14:10;V;;;;;;
D;247;2655009;7;20040102 14:10;V;;;;;;
D;247;2655009;7;20040102 14:10;V;;;;;;
D;247;2655009;7;20040102 14:10;V;;;;;;
B;247;2655010;8;20040102 14:10;;;;PH DRILDOOL;NARRABRI;2390;1132;H;20030822;20031003;1300000;R;R;RESIDENCE;;WC;;0;AA86223;
C;247;2655010;8;20040102 14:10;;
D;247;2655010;8;20040102 14:10;P;;;;;;
D;247;2655010;8;20040102 14:10;V;;;;;;
B;247;2655012;9;20040102 14:10;;;;PH DRILDOOL;NARRABRI;2390;1499;H;20030822;20031003;7300000;R;R;RESIDENCE;;BF;;0;AA86224;
C;247;2655012;9;20040102 14:10;;
D;247;2655012;9;20040102 14:10;P;;;;;;
D;247;2655012;9;20040102 14:10;V;;;;;;
D;247;2655012;9;20040102 14:10;V;;;;;;
B;247;2655957;10;20040102 14:10;;;;DANGAR ST;PILLIGA;2388;2023;M;20031212;20031212;3000;Z;R;RESIDENCE;;ZP;;0;AA266052;
C;247;2655957;10;20040102 14:10;3/10/758844;
D;247;2655957;10;20040102 14:10;P;;;;;;
D;247;2655957;10;20040102 14:10;P;;;;;;
D;247;2655957;10;20040102 14:10;V;;;;;;
D;247;2655957;10;20040102 14:10;V;;;;;;
B;247;2656046;11;20040102 14:10;;;;TARLEE RD;NARRABRI;2390;305.5;H;20030424;20031205;528500;R;3;;;BF;;0;AA248392;
C;247;2656046;11;20040102 14:10;2//557100;
D;247;2656046;11;20040102 14:10;P;;;;;;
D;247;2656046;11;20040102 14:10;V;;;;;;
B;247;2656604;12;20040102 14:10;;;120;ALMA ST;WEE WAA;2388;1214;M;20031030;20031211;65000;A;R;RESIDENCE;;AW;;0;AA255560;
C;247;2656604;12;20040102 14:10;13/7/759063;
D;247;2656604;12;20040102 14:10;P;;;;;;
D;247;2656604;12;20040102 14:10;V;;;;;;
B;247;2657485;13;20040102 14:10;;;6;BAILEY ST;NARRABRI;2390;980.1;M;20031119;20031215;210000;R;R;RESIDENCE;;RR;;0;AA267977;
C;247;2657485;13;20040102 14:10;4//21787;
D;247;2657485;13;20040102 14:10;P;;;;;;
D;247;2657485;13;20040102 14:10;P;;;;;;
D;247;2657485;13;20040102 14:10;V;;;;;;
D;247;2657485;13;20040102 14:10;V;;;;;;
B;247;2657882;14;20040102 14:10;;;17;BURIGAL ST;NARRABRI;2390;860;M;20031031;20031212;110000;A;R;RESIDENCE;;NN;;0;AA259947;
C;247;2657882;14;20040102 14:10;4//206910;
D;247;2657882;14;20040102 14:10;P;;;;;;
D;247;2657882;14;20040102 14:10;P;;;;;;
D;247;2657882;14;20040102 14:10;V;;;;;;
D;247;2657882;14;20040102 14:10;V;;;;;;
B;247;2658287;15;20040102 14:10;;;4;ELEANOR ST;NARRABRI;2390;701.9;M;20031020;20031201;130000;A;R;RESIDENCE;;NC;;0;AA256836;
C;247;2658287;15;20040102 14:10;43//225966;
D;247;2658287;15;20040102 14:10;P;;;;;;
D;247;2658287;15;20040102 14:10;V;;;;;;
B;247;2659303;16;20040102 14:10;;;21;MAY ST;NARRABRI;2390;;;20031106;20031208;157000;A;R;RESIDENCE;;NE;;0;AA263576;
C;247;2659303;16;20040102 14:10;A//156126;
D;247;2659303;16;20040102 14:10;P;;;;;;
D;247;2659303;16;20040102 14:10;V;;;;;;
D;247;2659303;16;20040102 14:10;V;;;;;;
B;247;3025122;17;20040102 14:10;;;;PH CUBBAROO NORTH;NARRABRI;2390;927;H;20020816;20030501;1875510;R;3;FARM;;BF;;0;9581479;
C;247;3025122;17;20040102 14:10;8//753922 9, 38//753940 , WB 112880;
D;247;3025122;17;20040102 14:10;P;;;;;;
D;247;3025122;17;20040102 14:10;V;;;;;;
B;247;3028358;18;20040102 14:10;;;;PH COWIANGARAH;NARRABRI;2390;2800;H;20030715;20030919;600000;R;3;FARM RURAL - LOT 351;;WC;;0;AA38933;
C;247;3028358;18;20040102 14:10;37//727850 19//753920 61//753922 23//753945 622//800411 351//1056617 .;
C;247;3028358;18;20040102 14:10; . . . . . . . WB 152640 Licence 197325 WB 023328 WB 112881 WB 126265 ;
C;247;3028358;18;20040102 14:10;WA 002151 WS 051414 WB 115502 WB 152050;
D;247;3028358;18;20040102 14:10;P;;;;;;
D;247;3028358;18;20040102 14:10;P;;;;;;
D;247;3028358;18;20040102 14:10;V;;;;;;
D;247;3028358;18;20040102 14:10;V;;;;;;
B;247;3041110;19;20040102 14:10;;;;PH DRILDOOL;NARRABRI;2390;3549.5;H;20030822;20031003;1300000;R;R;RESIDENCE;;WC;;0;AA86223;
C;247;3041110;19;20040102 14:10;6//132568 80, 81//132694 8, 25, PT 26, 27, 28, 30, 38, 39, 42, 43, 44,;
C;247;3041110;19;20040102 14:10; 46, 53, 60, 62, 63//753929 1//1039899 , , , WS 100642(H) WS 100641 Li;
C;247;3041110;19;20040102 14:10;cence 361671;
D;247;3041110;19;20040102 14:10;P;;;;;;
D;247;3041110;19;20040102 14:10;V;;;;;;
D;247;3041110;19;20040102 14:10;V;;;;;;
Z;121;19;25;75;
