A;158;20011109 08:51;CDIXON;
B;158;1739299;1;20011109 08:51;;;;MAIN RD;BONALBO;2469;1088;M;20010424;20010601;25000;Z;R;RESIDENCE;;VA;AC;;7745057;
C;158;1739299;1;20011109 08:51;2/A/10036;
D;158;1739299;1;20011109 08:51;P;;;;;;
D;158;1739299;1;20011109 08:51;V;;;;;;
D;158;1739299;1;20011109 08:51;V;;;;;;
D;158;1739299;1;20011109 08:51;V;;;;;;
B;158;1739321;2;20011109 08:51;;;;OAK ST;BONALBO;2469;1664;M;20010628;20010718;46000;Z;R;RESIDENCE;;VA;AC;;7805859;
C;158;1739321;2;20011109 08:51;1/K/15213;
D;158;1739321;2;20011109 08:51;P;;;;;;
D;158;1739321;2;20011109 08:51;P;;;;;;
D;158;1739321;2;20011109 08:51;V;;;;;;
B;158;1739887;3;20011109 08:51;;;;DYRAABA CREEK RD;DYRAABA;2470;2.023;H;20010528;20010625;65000;R;R;RESIDENCE;;RB;RR;;7807600;
C;158;1739887;3;20011109 08:51;181//827535;
D;158;1739887;3;20011109 08:51;P;;;;;;
D;158;1739887;3;20011109 08:51;V;;;;;;
B;158;1739932;4;20011109 08:51;;;;DYRAABA CREEK RD;CASINO;2470;14.43;H;20010403;20010503;39000;R;R;RESIDENCE;;RD;RV;;7726910;
C;158;1739932;4;20011109 08:51;112//1004972;
D;158;1739932;4;20011109 08:51;P;;;;;;
D;158;1739932;4;20011109 08:51;P;;;;;;
D;158;1739932;4;20011109 08:51;V;;;;;;
B;158;1741345;5;20011109 08:51;;;;SUMMERLAND WAY;KYOGLE;2474;;;20010525;20010622;15000;Z;R;RESIDENCE;;AA;AV;;7771068;
C;158;1741345;5;20011109 08:51;16/C/6798;
D;158;1741345;5;20011109 08:51;P;;;;;;
D;158;1741345;5;20011109 08:51;V;;;;;;
D;158;1741345;5;20011109 08:51;V;;;;;;
B;158;1741353;6;20011109 08:51;;;;SUMMERLAND WAY;KYOGLE;2474;559.1;M;20010614;20010705;77250;Z;R;RESIDENCE;;AA;AC;;7771695;
C;158;1741353;6;20011109 08:51;6//261602;
D;158;1741353;6;20011109 08:51;P;;;;;;
D;158;1741353;6;20011109 08:51;V;;;;;;
D;158;1741353;6;20011109 08:51;V;;;;;;
B;158;1741557;7;20011109 08:51;;;;PH GENEVA;KYOGLE;2474;1.43;H;20000622;20010720;105000;R;R;RESIDENCE;;RB;RR;;7804628;
C;158;1741557;7;20011109 08:51;1//443137 72//755709;
D;158;1741557;7;20011109 08:51;P;;;;;;
D;158;1741557;7;20011109 08:51;P;;;;;;
D;158;1741557;7;20011109 08:51;V;;;;;;
B;158;1741769;8;20011109 08:51;;;;MARWICK ST;GENEVA;2474;1208;M;20010523;20010621;167000;Z;V;VACANT LAND;;AB;AC;;7730466;
C;158;1741769;8;20011109 08:51;21//244011;
D;158;1741769;8;20011109 08:51;P;;;;;;
D;158;1741769;8;20011109 08:51;P;;;;;;
D;158;1741769;8;20011109 08:51;V;;;;;;
B;158;1741839;9;20011109 08:51;;;;SAVILLE ST;GENEVA;2474;663;M;20010622;20010720;107500;Z;R;RESIDENCE;;AB;;;7809023;
C;158;1741839;9;20011109 08:51;206//251768;
D;158;1741839;9;20011109 08:51;P;;;;;;
D;158;1741839;9;20011109 08:51;V;;;;;;
B;158;1741943;10;20011109 08:51;;;;;KYOGLE;2474;43.78;H;20010119;20010119;12000;R;3;NULL;;RM;RG;;7620448;
C;158;1741943;10;20011109 08:51;82//731493;
D;158;1741943;10;20011109 08:51;P;;;;;;
D;158;1741943;10;20011109 08:51;P;;;;;;
D;158;1741943;10;20011109 08:51;P;;;;;;
D;158;1741943;10;20011109 08:51;P;;;;;;
D;158;1741943;10;20011109 08:51;P;;;;;;
D;158;1741943;10;20011109 08:51;P;;;;;;
D;158;1741943;10;20011109 08:51;V;;;;;;
D;158;1741943;10;20011109 08:51;V;;;;;;
D;158;1741943;10;20011109 08:51;V;;;;;;
B;158;2818846;11;20011109 08:51;;;;BABYL CREEK RD;DYRAABA;2470;215;H;20001010;20010305;92970;R;3;V;;RG;RV;;7464543;
C;158;2818846;11;20011109 08:51;83//1022677;
D;158;2818846;11;20011109 08:51;P;;;;;;
Z;60;11;11;36;
