A;116;20020102 13:59;PTHIRLWELL;
B;116;1237740;1;20020102 13:59;MEADOW BANK;;;;GOONUMBLA;2870;590.8;H;20010320;20010406;250000;R;3;FARM;;RJ;RM;;7541939;
C;116;1237740;1;20020102 13:59;25, 34//753982;
D;116;1237740;1;20020102 13:59;P;;;;;;
D;116;1237740;1;20020102 13:59;P;;;;;;
D;116;1237740;1;20020102 13:59;P;;;;;;
D;116;1237740;1;20020102 13:59;V;;;;;;
B;116;1237959;2;20020102 13:59;;;30;MAIN RD;PARKES;2870;4116;M;20010525;20010626;20000;R;R;RESIDENCE;;RA;AC;;7731810;
C;116;1237959;2;20020102 13:59;1//419844;
D;116;1237959;2;20020102 13:59;P;;;;;;
D;116;1237959;2;20020102 13:59;P;;;;;;
D;116;1237959;2;20020102 13:59;V;;;;;;
B;116;1238207;3;20020102 13:59;;;;SUVLA;PEAK HILL;2869;284.1;H;20010822;20010928;170000;R;R;RESIDENCE;;RE;;;8174741;
C;116;1238207;3;20020102 13:59;37//755111;
D;116;1238207;3;20020102 13:59;P;;;;;;
D;116;1238207;3;20020102 13:59;V;;;;;;
B;116;1238393;4;20020102 13:59;HILLVIEW;;;;GOONUMBLA;2870;471.1;H;20010524;20010524;174500;R;3;FARM;;RA;RM;;7778176;
C;116;1238393;4;20020102 13:59;44//753998 1//1032276;
D;116;1238393;4;20020102 13:59;P;;;;;;
D;116;1238393;4;20020102 13:59;P;;;;;;
D;116;1238393;4;20020102 13:59;V;;;;;;
D;116;1238393;4;20020102 13:59;V;;;;;;
B;116;1238449;5;20020102 13:59;GUNDA;;;WELCOME RD;PARKES;2870;38.95;H;20010717;20010803;127500;R;R;RESIDENCE;;RF;RR;;7858398;
C;116;1238449;5;20020102 13:59;196//750167;
D;116;1238449;5;20020102 13:59;P;;;;;;
D;116;1238449;5;20020102 13:59;P;;;;;;
D;116;1238449;5;20020102 13:59;V;;;;;;
B;116;1238754;6;20020102 13:59;;;73;CASWELL ST;PEAK HILL;2869;1619;M;20000912;20001031;60500;Z;3;SHOP;;ZR;BS;;7636160;
C;116;1238754;6;20020102 13:59;1//103062 7/2/758832 A//917048;
D;116;1238754;6;20020102 13:59;P;;;;;;
D;116;1238754;6;20020102 13:59;P;;;;;;
D;116;1238754;6;20020102 13:59;V;;;;;;
B;116;1238913;7;20020102 13:59;;;100;DERRIBONG ST;PEAK HILL;2869;1012;M;20001113;20001130;15000;Z;V;VACANT LAND;;ZP;AV;;7508105;
C;116;1238913;7;20020102 13:59;10/6/758832;
D;116;1238913;7;20020102 13:59;P;;;;;;
D;116;1238913;7;20020102 13:59;V;;;;;;
B;116;1238948;8;20020102 13:59;;;18;DERRIBONG ST;PEAK HILL;2869;809.4;M;20010317;20010504;40000;Z;R;RESIDENCE;;ZP;AC;;7601338;
C;116;1238948;8;20020102 13:59;1//211685;
D;116;1238948;8;20020102 13:59;P;;;;;;
D;116;1238948;8;20020102 13:59;V;;;;;;
B;116;1239473;9;20020102 13:59;WILGA DOWNS;;;;TULLAMORE;2874;802.8;H;20010301;20010314;257920;R;3;FARM LAND;;RJ;RM;;7725739;
C;116;1239473;9;20020102 13:59;2//521692 18//754011;
D;116;1239473;9;20020102 13:59;P;;;;;;
D;116;1239473;9;20020102 13:59;P;;;;;;
D;116;1239473;9;20020102 13:59;V;;;;;;
B;116;1239479;10;20020102 13:59;;;;;TULLAMORE;2874;163.6;H;20010301;20010301;48500;R;3;FARM LAND;;RJ;RF;;7726955;
C;116;1239479;10;20020102 13:59;34//257543;
D;116;1239479;10;20020102 13:59;P;;;;;;
D;116;1239479;10;20020102 13:59;P;;;;;;
D;116;1239479;10;20020102 13:59;V;;;;;;
B;116;1239825;11;20020102 13:59;;;12;FORBES ST;TRUNDLE;2875;1865.3;M;20010507;20010606;21000;Z;3;COMMERCIAL BL;;ZF;BS;;7689098;
C;116;1239825;11;20020102 13:59;10, 9/6/758996;
D;116;1239825;11;20020102 13:59;P;;;;;;
D;116;1239825;11;20020102 13:59;P;;;;;;
D;116;1239825;11;20020102 13:59;V;;;;;;
B;116;1239973;12;20020102 13:59;;;20;LONG ST;TRUNDLE;2875;3035;M;20010522;20010724;75000;Z;R;RESIDENCE;;ZF;AV;;7838208;
C;116;1239973;12;20020102 13:59;677//384243;
D;116;1239973;12;20020102 13:59;P;;;;;;
D;116;1239973;12;20020102 13:59;P;;;;;;
D;116;1239973;12;20020102 13:59;V;;;;;;
B;116;1240168;13;20020102 13:59;;;49;ALBERT ST;PARKES;2870;;;20011026;20011128;100000;Z;R;RESIDENCE;;AF;;;8183851;
C;116;1240168;13;20020102 13:59;4/41/758827;
D;116;1240168;13;20020102 13:59;P;;;;;;
D;116;1240168;13;20020102 13:59;V;;;;;;
B;116;1240171;14;20020102 13:59;;;41;ALBERT ST;PARKES;2870;1265;M;20010504;20010515;90000;Z;R;RESIDENCE;;AF;AC;;7626101;
C;116;1240171;14;20020102 13:59;PT LOTS 7/8 SEC 41 VO 4142 FO 2;
D;116;1240171;14;20020102 13:59;P;;;;;;
D;116;1240171;14;20020102 13:59;P;;;;;;
D;116;1240171;14;20020102 13:59;V;;;;;;
B;116;1240232;15;20020102 13:59;;;6;ALDER AVE;PARKES;2870;720;M;20011114;20011127;16500;Z;V;VACANT LAND;;AN;;;8158525;
C;116;1240232;15;20020102 13:59;11//857242;
D;116;1240232;15;20020102 13:59;P;;;;;;
D;116;1240232;15;20020102 13:59;P;;;;;;
D;116;1240232;15;20020102 13:59;V;;;;;;
D;116;1240232;15;20020102 13:59;V;;;;;;
B;116;1240250;16;20020102 13:59;;;9;ALLUVIAL ST;PARKES;2870;1018;M;20010622;20010803;83000;Z;R;RESIDENCE;;AR;AC;;7841926;
C;116;1240250;16;20020102 13:59;3//392055;
D;116;1240250;16;20020102 13:59;P;;;;;;
D;116;1240250;16;20020102 13:59;P;;;;;;
D;116;1240250;16;20020102 13:59;V;;;;;;
B;116;1240312;17;20020102 13:59;;;5;ARMSTRONG ST;PARKES;2870;613.1;M;20010524;20010524;50000;Z;R;RESIDENCE;;AH;AC;;7709716;
C;116;1240312;17;20020102 13:59;C//354665;
D;116;1240312;17;20020102 13:59;P;;;;;;
D;116;1240312;17;20020102 13:59;P;;;;;;
D;116;1240312;17;20020102 13:59;V;;;;;;
B;116;1240315;18;20020102 13:59;;;1 A;ARMSTRONG ST;PARKES;2870;853.7;M;20010328;20010607;30000;Z;V;VACANT LAND;;BC;AV;;7796478;
C;116;1240315;18;20020102 13:59;1/2/758827;
D;116;1240315;18;20020102 13:59;P;;;;;;
B;116;1240315;19;20020102 13:59;;;1 A;ARMSTRONG ST;PARKES;2870;853.7;M;20010622;20010622;71500;Z;V;VACANT LAND;;BC;AV;;7796479;
C;116;1240315;19;20020102 13:59;1/2/758827;
D;116;1240315;19;20020102 13:59;P;;;;;;
D;116;1240315;19;20020102 13:59;P;;;;;;
D;116;1240315;19;20020102 13:59;V;;;;;;
B;116;1240719;20;20020102 13:59;;;9;BOWDITCH CRES;PARKES;2870;687.1;M;20011024;20011031;103000;Z;R;RESIDENCE;;AA;;;8169476;
C;116;1240719;20;20020102 13:59;102//253444;
D;116;1240719;20;20020102 13:59;P;;;;;;
D;116;1240719;20;20020102 13:59;V;;;;;;
D;116;1240719;20;20020102 13:59;V;;;;;;
D;116;1240719;20;20020102 13:59;V;;;;;;
B;116;1240743;21;20020102 13:59;;;;BROLGAN RD;PARKES;2870;672.6;M;20011101;20011123;168000;Z;R;RESIDENCE;;AN;;;8203978;
C;116;1240743;21;20020102 13:59;3//838720;
D;116;1240743;21;20020102 13:59;P;;;;;;
D;116;1240743;21;20020102 13:59;P;;;;;;
D;116;1240743;21;20020102 13:59;V;;;;;;
B;116;1240751;22;20020102 13:59;;;46;BROLGAN RD;PARKES;2870;9276;M;20011002;20011116;255000;Z;R;RESIDENCE;;AN;;;8179814;
C;116;1240751;22;20020102 13:59;7//576246;
D;116;1240751;22;20020102 13:59;P;;;;;;
D;116;1240751;22;20020102 13:59;P;;;;;;
