A;029;20030619 08:57;PDANN;
B;029;429986;1;20030619 08:57;;;75;ADDISON ST;GOULBURN;2580;445.8;M;20030131;20030220;175000;A;R;RESIDENCE;;AT;AC;0;9486597;
C;029;429986;1;20030619 08:57;4//1038695;
D;029;429986;1;20030619 08:57;P;;;;;;
D;029;429986;1;20030619 08:57;P;;;;;;
D;029;429986;1;20030619 08:57;V;;;;;;
D;029;429986;1;20030619 08:57;V;;;;;;
B;029;430017;2;20030619 08:57;;;18;ADDISON ST;GOULBURN;2580;379.4;M;20021125;20030107;100000;A;R;RESIDENCE;;AT;AC;0;4377219;
C;029;430017;2;20030619 08:57;Y//156760;
D;029;430017;2;20030619 08:57;P;;;;;;
D;029;430017;2;20030619 08:57;P;;;;;;
D;029;430017;2;20030619 08:57;V;;;;;;
B;029;430107;3;20030619 08:57;;;13;ALBERT ST;GOULBURN;2580;446.9;M;20021025;20030212;198000;A;R;RESIDENCE;;AD;AC;0;9458817;
C;029;430107;3;20030619 08:57;PT X//162250;
D;029;430107;3;20030619 08:57;P;;;;;;
D;029;430107;3;20030619 08:57;V;;;;;;
B;029;430108;4;20030619 08:57;;;15;ALBERT ST;GOULBURN;2580;329.2;M;20021025;20030212;198000;A;R;RESIDENCE;;AD;AC;0;9458817;
C;029;430108;4;20030619 08:57;PT X//162250;
D;029;430108;4;20030619 08:57;P;;;;;;
D;029;430108;4;20030619 08:57;V;;;;;;
B;029;430125;5;20030619 08:57;;;63;ALBERT ST;GOULBURN;2580;762.8;M;20021220;20030214;134000;A;R;RESIDENCE;;AC;AC;0;9452846;
C;029;430125;5;20030619 08:57;1//196490;
D;029;430125;5;20030619 08:57;P;;;;;;
D;029;430125;5;20030619 08:57;V;;;;;;
B;029;430223;6;20030619 08:57;;;54;ALLISON ST;GOULBURN;2580;796.7;M;20021223;20030307;161500;A;R;RESIDENCE;;AF;AC;0;9463137;
C;029;430223;6;20030619 08:57;18//240981;
D;029;430223;6;20030619 08:57;P;;;;;;
D;029;430223;6;20030619 08:57;P;;;;;;
