A;172;20030501 12:47;PBARBER;
B;172;1800982;1;20030501 12:47;;;714;FAIRWEATHER CREEK RD;NYMBOIDA;2460;462.2;H;20030331;20030331;16000;R;R;RESIDENCE;;HT;;;9531553;
C;172;1800982;1;20030501 12:47;3, 4//753506;
D;172;1800982;1;20030501 12:47;P;;;;;;
D;172;1800982;1;20030501 12:47;P;;;;;;
D;172;1800982;1;20030501 12:47;P;;;;;;
D;172;1800982;1;20030501 12:47;P;;;;;;
D;172;1800982;1;20030501 12:47;P;;;;;;
D;172;1800982;1;20030501 12:47;V;;;;;;
D;172;1800982;1;20030501 12:47;V;;;;;;
D;172;1800982;1;20030501 12:47;V;;;;;;
D;172;1800982;1;20030501 12:47;V;;;;;;
B;172;1801199;2;20030501 12:47;;;10;BRYNVALE LANE;COUTTS CROSSING;2460;8.864;H;20030208;20030324;125000;R;R;RESIDENCE;;SC;;;9488461;
C;172;1801199;2;20030501 12:47;2//700489;
D;172;1801199;2;20030501 12:47;P;;;;;;
D;172;1801199;2;20030501 12:47;P;;;;;;
D;172;1801199;2;20030501 12:47;V;;;;;;
B;172;1801376;3;20030501 12:47;;;65;LAKKARI ST;COUTTS CROSSING;2460;915.5;M;20030204;20030304;22500;Z;V;VACANT LAND;;CF;;;9545733;
C;172;1801376;3;20030501 12:47;98//845082;
D;172;1801376;3;20030501 12:47;P;;;;;;
D;172;1801376;3;20030501 12:47;V;;;;;;
B;172;1801439;4;20030501 12:47;;;15;KERRANI PL;COUTTS CROSSING;2460;1125;M;20030211;20030306;135000;Z;R;RESIDENCE;;CF;;;9475605;
C;172;1801439;4;20030501 12:47;15//261855;
D;172;1801439;4;20030501 12:47;P;;;;;;
D;172;1801439;4;20030501 12:47;V;;;;;;
D;172;1801439;4;20030501 12:47;V;;;;;;
B;172;1801461;5;20030501 12:47;;;35;LAKKARI ST;COUTTS CROSSING;2460;1000;M;20030212;20030312;94000;Z;R;RESIDENCE;;CF;;;9483164;
C;172;1801461;5;20030501 12:47;34//710009;
D;172;1801461;5;20030501 12:47;P;;;;;;
D;172;1801461;5;20030501 12:47;V;;;;;;
D;172;1801461;5;20030501 12:47;V;;;;;;
B;172;1802216;6;20030501 12:47;;;18;CHURCH ST;NYMBOIDA;2460;1505;M;20030225;20030312;23000;R;R;RESIDENCE;;SP;;;9534088;
C;172;1802216;6;20030501 12:47;5/8/758801;
D;172;1802216;6;20030501 12:47;P;;;;;;
D;172;1802216;6;20030501 12:47;V;;;;;;
D;172;1802216;6;20030501 12:47;V;;;;;;
B;172;1802604;7;20030501 12:47;;;;EATONSVILLE RD;WATERVIEW HEIGHTS;2460;2.986;H;20030219;20030319;64000;R;R;RESIDENCE;;SW;;;9476878;
C;172;1802604;7;20030501 12:47;5//700281;
D;172;1802604;7;20030501 12:47;P;;;;;;
D;172;1802604;7;20030501 12:47;P;;;;;;
D;172;1802604;7;20030501 12:47;V;;;;;;
D;172;1802604;7;20030501 12:47;V;;;;;;
B;172;1802834;8;20030501 12:47;;;98;MULLIGAN DR;WATERVIEW HEIGHTS;2460;6110;M;20030207;20030318;228000;R;R;RESIDENCE;;SW;;;9535766;
C;172;1802834;8;20030501 12:47;332//831383;
D;172;1802834;8;20030501 12:47;P;;;;;;
D;172;1802834;8;20030501 12:47;P;;;;;;
D;172;1802834;8;20030501 12:47;V;;;;;;
B;172;1803061;9;20030501 12:47;;;6929;OLD GLEN INNES RD;NEWTON BOYD;2370;6.682;H;20030129;20030311;40000;P;V;VACANT LAND;;SJ;;;9464460;
C;172;1803061;9;20030501 12:47;11//40471;
D;172;1803061;9;20030501 12:47;P;;;;;;
D;172;1803061;9;20030501 12:47;P;;;;;;
D;172;1803061;9;20030501 12:47;V;;;;;;
B;172;1803197;10;20030501 12:47;;;875;RAMORNIE STATION RD;RAMORNIE;2460;40.18;H;20030210;20030314;47000;R;V;VACANT LAND;;JK;;;9469211;
C;172;1803197;10;20030501 12:47;19//259039;
D;172;1803197;10;20030501 12:47;P;;;;;;
D;172;1803197;10;20030501 12:47;P;;;;;;
D;172;1803197;10;20030501 12:47;V;;;;;;
B;172;1837385;11;20030501 12:47;;;649;FRANKLINS RD;HALFWAY CREEK;2460;6.069;H;20021016;20030115;40000;R;R;RESIDENCE;;MA;;;9402334;
C;172;1837385;11;20030501 12:47;10//628794;
D;172;1837385;11;20030501 12:47;P;;;;;;
D;172;1837385;11;20030501 12:47;V;;;;;;
B;172;1837607;12;20030501 12:47;;;437;BOSTOCK RD;TUCABIA;2462;15.17;H;20021206;20030117;79000;R;3;CABIN/SHED;;MA;;;9469156;
C;172;1837607;12;20030501 12:47;8//710002;
