A;050;20030501 12:38;PBARBER;
D;050;489927;18;20030501 12:38;V;;;;;;
B;050;490006;19;20030501 12:38;;;512;ELECTRA ST;ALBURY;2640;;;20021214;20030114;230000;A;R;RESIDENCE;;AE;;;9552131;
C;050;490006;19;20030501 12:38;8/G/12801;
D;050;490006;19;20030501 12:38;P;;;;;;
D;050;490006;19;20030501 12:38;P;;;;;;
D;050;490006;19;20030501 12:38;V;;;;;;
D;050;490006;19;20030501 12:38;V;;;;;;
B;050;490177;20;20030501 12:38;;;550;ENGLEHARDT ST;ALBURY;2640;486.8;M;20030318;20030402;308000;B;R;RESIDENCE;;CE;;;9524797;
C;050;490177;20;20030501 12:38;1//721065 7//743444;
D;050;490177;20;20030501 12:38;P;;;;;;
D;050;490177;20;20030501 12:38;V;;;;;;
B;050;490196;21;20030501 12:38;;;;ENGLEHARDT ST HOUSE NO: 4/604;ALBURY;2640;177.6;M;20030301;20030331;289000;B;R;RESIDENCE;;CE;;;9548181;
C;050;490196;21;20030501 12:38;4//285428;
D;050;490196;21;20030501 12:38;P;;;;;;
D;050;490196;21;20030501 12:38;V;;;;;;
B;050;490547;22;20030501 12:38;;;762;FELLOWES CRES;ALBURY;2640;;;20030108;20030327;445000;A;R;RESIDENCE;;AB;;;9539053;
C;050;490547;22;20030501 12:38;147, 148//26106;
D;050;490547;22;20030501 12:38;P;;;;;;
D;050;490547;22;20030501 12:38;P;;;;;;
D;050;490547;22;20030501 12:38;V;;;;;;
D;050;490547;22;20030501 12:38;V;;;;;;
B;050;490644;23;20030501 12:38;;2;733;FORREST HILL AVE;ALBURY;2640;;;20030318;20030331;166000;;3;HOME UNIT;2;;;;9522697;
C;050;490644;23;20030501 12:38;2//SP 30237;
D;050;490644;23;20030501 12:38;P;;;;;;
D;050;490644;23;20030501 12:38;V;;;;;;
B;050;490796;24;20030501 12:38;;;;GARLAND AVE;ALBURY;2640;4845;M;20030214;20030214;380000;I;3;FACTORY;;DB;;;9516800;
C;050;490796;24;20030501 12:38;82//793608;
D;050;490796;24;20030501 12:38;P;;;;;;
D;050;490796;24;20030501 12:38;P;;;;;;
D;050;490796;24;20030501 12:38;V;;;;;;
B;050;491738;25;20030501 12:38;;;40;HANDEL ST;LAVINGTON;2641;772.5;M;20020204;20020206;39000;A;V;VACANT LAND;;AN;;;9540066;
C;050;491738;25;20030501 12:38;387//855365;
D;050;491738;25;20030501 12:38;P;;;;;;
D;050;491738;25;20030501 12:38;P;;;;;;
D;050;491738;25;20030501 12:38;V;;;;;;
B;050;492658;26;20030501 12:38;;;2;HURWORTH CT;ALBURY;2640;966.4;M;20030131;20030303;230000;A;R;RESIDENCE;;AC;;;9521609;
C;050;492658;26;20030501 12:38;157//849190;
D;050;492658;26;20030501 12:38;P;;;;;;
D;050;492658;26;20030501 12:38;V;;;;;;
D;050;492658;26;20030501 12:38;V;;;;;;
B;050;492824;27;20030501 12:38;;1;36;JACKLING DR;LAVINGTON;2641;;;20030226;20030314;118000;;R;RESIDENCE;1;;;;9533324;
C;050;492824;27;20030501 12:38;1//SP 41711;
D;050;492824;27;20030501 12:38;P;;;;;;
D;050;492824;27;20030501 12:38;V;;;;;;
D;050;492824;27;20030501 12:38;V;;;;;;
B;050;492994;28;20030501 12:38;;;23;JOHNSTON RD;ALBURY;2640;844.2;M;20030214;20030403;266000;A;R;RESIDENCE;;AC;;;9524617;
C;050;492994;28;20030501 12:38;82//837587;
D;050;492994;28;20030501 12:38;P;;;;;;
D;050;492994;28;20030501 12:38;P;;;;;;
D;050;492994;28;20030501 12:38;V;;;;;;
D;050;492994;28;20030501 12:38;V;;;;;;
B;050;493835;29;20030501 12:38;;17;611;KIEWA ST;ALBURY;2640;;;20030219;20030404;120000;;R;RESIDENCE;17;;;;9538689;
C;050;493835;29;20030501 12:38;17//SP 10037;
D;050;493835;29;20030501 12:38;P;;;;;;
D;050;493835;29;20030501 12:38;P;;;;;;
D;050;493835;29;20030501 12:38;V;;;;;;
B;050;494497;30;20030501 12:38;;;24;LACEBARK CT;THURGOONA;2640;955.6;M;20030211;20030228;127000;A;R;RESIDENCE;;AQ;;;9531984;
C;050;494497;30;20030501 12:38;6//260910;
D;050;494497;30;20030501 12:38;P;;;;;;
D;050;494497;30;20030501 12:38;P;;;;;;
D;050;494497;30;20030501 12:38;V;;;;;;
D;050;494497;30;20030501 12:38;V;;;;;;
B;050;494676;31;20030501 12:38;;;728;LAVIS ST;ALBURY;2640;849.4;M;20020805;20020913;137000;A;R;RESIDENCE;;AG;;;9543052;
C;050;494676;31;20030501 12:38;17//774058;
D;050;494676;31;20030501 12:38;P;;;;;;
D;050;494676;31;20030501 12:38;V;;;;;;
D;050;494676;31;20030501 12:38;V;;;;;;
B;050;495274;32;20030501 12:38;;;17;MAHOGANY CT;THURGOONA;2640;1239;M;20030312;20030403;159000;A;R;RESIDENCE;;AQ;;;9526828;
C;050;495274;32;20030501 12:38;226//262874;
D;050;495274;32;20030501 12:38;P;;;;;;
D;050;495274;32;20030501 12:38;P;;;;;;
D;050;495274;32;20030501 12:38;V;;;;;;
D;050;495274;32;20030501 12:38;V;;;;;;
B;050;495517;33;20030501 12:38;;;1086;MATE ST;ALBURY;2640;619.8;M;20020510;20020711;115000;B;3;SHOP;;CG;;;9543467;
C;050;495517;33;20030501 12:38;7//38577;
D;050;495517;33;20030501 12:38;P;;;;;;
D;050;495517;33;20030501 12:38;P;;;;;;
D;050;495517;33;20030501 12:38;V;;;;;;
B;050;495795;34;20030501 12:38;;6;429;MCDONALD RD;LAVINGTON;2641;;;20030207;20030317;49000;;R;RESIDENCE;6;;;;9521663;
C;050;495795;34;20030501 12:38;6//SP 11127;
D;050;495795;34;20030501 12:38;P;;;;;;
D;050;495795;34;20030501 12:38;V;;;;;;
B;050;495854;35;20030501 12:38;;;459;MCKENZIE ST;LAVINGTON;2641;765.1;M;20030210;20030312;127000;A;R;RESIDENCE;;AL;;;9539103;
C;050;495854;35;20030501 12:38;22//233919;
D;050;495854;35;20030501 12:38;P;;;;;;
D;050;495854;35;20030501 12:38;V;;;;;;
D;050;495854;35;20030501 12:38;V;;;;;;
B;050;497569;36;20030501 12:38;;101;990;PARK LANE;ALBURY;2640;;;20030228;20030328;163000;;R;RESIDENCE;101;;;;9522809;
