A;248;20020603 10:50;PTHIRLWELL;
B;248;2660248;1;20020603 10:50;;;29;TULLOCHARD RD;BALD NOB;2370;63.4;H;20011105;20020214;235000;R;3;FARM;;SL;RG;;8410409;
C;248;2660248;1;20020603 10:50;1//775422;
D;248;2660248;1;20020603 10:50;P;;;;;;
D;248;2660248;1;20020603 10:50;P;;;;;;
D;248;2660248;1;20020603 10:50;V;;;;;;
B;248;2660551;2;20020603 10:50;;;;PH DEEPWATER;GLEN INNES;2370;460;H;20020321;20020503;385000;R;3;FARM RURAL;;KL;;;8627405;
C;248;2660551;2;20020603 10:50;221//753272;
D;248;2660551;2;20020603 10:50;P;;;;;;
D;248;2660551;2;20020603 10:50;P;;;;;;
D;248;2660551;2;20020603 10:50;V;;;;;;
B;248;2660568;3;20020603 10:50;;;;ALICE ST;DEEPWATER;2371;1366;M;20010201;20010213;1500;Z;R;RESIDENCE;;VD;AC;;4300894;
C;248;2660568;3;20020603 10:50;50//978853;
D;248;2660568;3;20020603 10:50;P;;;;;;
D;248;2660568;3;20020603 10:50;V;;;;;;
B;248;2660580;4;20020603 10:50;;;;BOURKE ST;DEEPWATER;2371;2732;M;20020219;20020219;75000;Z;R;RESIDENCE;;VD;AC;;8553041;
C;248;2660580;4;20020603 10:50;33, 34//978853;
D;248;2660580;4;20020603 10:50;P;;;;;;
D;248;2660580;4;20020603 10:50;P;;;;;;
D;248;2660580;4;20020603 10:50;V;;;;;;
B;248;2660620;5;20020603 10:50;;;;FORBES ST;DEEPWATER;2371;3692;M;20020314;20020418;7000;Z;R;RESIDENCE;;VD;AC;;8558752;
C;248;2660620;5;20020603 10:50;;
D;248;2660620;5;20020603 10:50;P;;;;;;
D;248;2660620;5;20020603 10:50;V;;;;;;
D;248;2660620;5;20020603 10:50;V;;;;;;
B;248;2660810;6;20020603 10:50;KULAMARA;;1521;MORVEN RD;GLEN ELGIN;2370;40.09;H;20020327;20020501;75000;R;3;FARM/RURAL;;HF;RF;;8593640;
C;248;2660810;6;20020603 10:50;6//717246;
D;248;2660810;6;20020603 10:50;P;;;;;;
D;248;2660810;6;20020603 10:50;V;;;;;;
D;248;2660810;6;20020603 10:50;V;;;;;;
B;248;2660916;7;20020603 10:50;NAMOI;;;;GLEN ELGIN;2370;2261;H;20011220;20020327;38025;R;3;FARM-LOT 52 ONLY;;ME;RGI;;8494700;
C;248;2660916;7;20020603 10:50;18//722441 13//751514 52//751530 Crown Lease 19/16 Conditional Lease 2;
C;248;2660916;7;20020603 10:50;7/1 Special Lease 41/19;
D;248;2660916;7;20020603 10:50;P;;;;;;
B;248;2660916;8;20020603 10:50;NAMOI;;;;GLEN ELGIN;2370;2261;H;20011220;20020327;96475;R;3;FARM-LOTS 13 & 18 ON;;ME;RGI;;8571970;
C;248;2660916;8;20020603 10:50;18//722441 13//751514 52//751530 Crown Lease 19/16 Conditional Lease 2;
C;248;2660916;8;20020603 10:50;7/1 Special Lease 41/19;
D;248;2660916;8;20020603 10:50;P;;;;;;
B;248;2661114;9;20020603 10:50;GLENROWAN;;17;MCINNES ST;GLENCOE;2365;53.05;H;20011109;20020308;256000;R;3;FARM/RURAL;;SL;RG;;8465129;
C;248;2661114;9;20020603 10:50;2//544386 78//655532 1, 2, 3, 4, 5, 6, 7, 8/2/758450;
D;248;2661114;9;20020603 10:50;P;;;;;;
D;248;2661114;9;20020603 10:50;P;;;;;;
D;248;2661114;9;20020603 10:50;V;;;;;;
B;248;2661167;10;20020603 10:50;"HEDGEROY";;1712;MAYBOLE RD;MAYBOLE;2370;559.1;H;20011221;20020409;760000;R;3;FARM/RURAL;;HL;RG;;8557798;
C;248;2661167;10;20020603 10:50;112//257269 1, 17, 5, 51, 80//753292;
D;248;2661167;10;20020603 10:50;P;;;;;;
D;248;2661167;10;20020603 10:50;P;;;;;;
D;248;2661167;10;20020603 10:50;V;;;;;;
B;248;2661343;11;20020603 10:50;MALUA;;;RED RANGE RD;GLEN INNES;2370;199.9;H;20010223;20010223;160000;R;3;RURAL PROPERT;;FM;RGI;;8389611;
C;248;2661343;11;20020603 10:50;6, 7//113384 2//193718 72, 73, 77, 90, 91//753306;
D;248;2661343;11;20020603 10:50;P;;;;;;
D;248;2661343;11;20020603 10:50;V;;;;;;
B;248;2661439;12;20020603 10:50;;;;PH SCONE;GLEN INNES;2370;634.9;H;20010813;20020402;830000;R;3;RAM/RURAL;;CL;RG;;8546373;
C;248;2661439;12;20020603 10:50;1, 3//247857 18, 19, 213, 345//753308;
D;248;2661439;12;20020603 10:50;P;;;;;;
D;248;2661439;12;20020603 10:50;P;;;;;;
D;248;2661439;12;20020603 10:50;P;;;;;;
D;248;2661439;12;20020603 10:50;P;;;;;;
D;248;2661439;12;20020603 10:50;P;;;;;;
D;248;2661439;12;20020603 10:50;P;;;;;;
D;248;2661439;12;20020603 10:50;V;;;;;;
B;248;2661624;13;20020603 10:50;;;;PH STRATHBOGIE;GLEN INNES;2370;373.2;H;20020411;20020411;100000;R;3;FARM;;BM;RG;;8556183;
C;248;2661624;13;20020603 10:50;1//125559 33, 36, 5, 6//753313;
D;248;2661624;13;20020603 10:50;P;;;;;;
D;248;2661624;13;20020603 10:50;P;;;;;;
D;248;2661624;13;20020603 10:50;V;;;;;;
B;248;2661955;14;20020603 10:50;;;4523;KINGS PLAIN RD;WELLINGROVE;2370;259;H;20011212;20020121;1020000;R;3;FARM;;DM;RCO;;8467361;
C;248;2661955;14;20020603 10:50;57, 76, 77//753320;
D;248;2661955;14;20020603 10:50;P;;;;;;
D;248;2661955;14;20020603 10:50;P;;;;;;
D;248;2661955;14;20020603 10:50;P;;;;;;
D;248;2661955;14;20020603 10:50;V;;;;;;
B;248;2662052;15;20020603 10:50;AVONLEA;;;RED HILL RD;STANNUM;2371;3.469;H;20020423;20020506;55000;R;R;RESIDENCE;;SG;RR;;8590757;
C;248;2662052;15;20020603 10:50;109//753323 Licence 311325 for grazing, VCL south 520/753323.;
D;248;2662052;15;20020603 10:50;P;;;;;;
D;248;2662052;15;20020603 10:50;V;;;;;;
B;248;2662104;16;20020603 10:50;;;;AQUA PARK RD;MOUNT MITCHELL;2370;8.649;H;20020225;20020318;8750;R;V;VACANT LAND;;HG;RG;;8506344;
C;248;2662104;16;20020603 10:50;4//862049;
D;248;2662104;16;20020603 10:50;P;;;;;;
D;248;2662104;16;20020603 10:50;P;;;;;;
D;248;2662104;16;20020603 10:50;V;;;;;;
B;248;2662113;17;20020603 10:50;;;;AQUA PARK RD;MOUNT MITCHELL;2370;9.502;H;20011106;20020430;44000;R;V;VACANT LAND;;HG;RV;;8602830;
