A;082;20031117 13:48;PDANN;
B;082;624430;1;20031117 13:48;;16;65;ALBERT ST;HORNSBY;2077;;;20030922;20031021;277000;;R;RESIDENCE;16;;;0;AA132320;
C;082;624430;1;20031117 13:48;16//SP 6524;
D;082;624430;1;20031117 13:48;P;;;;;;
D;082;624430;1;20031117 13:48;V;;;;;;
B;082;625796;2;20031117 13:48;;;65;ARCADIA RD;GALSTON;2159;2.024;H;20030731;20031021;1000000;R;R;RESIDENCE;;HB;;0;AA106720;
C;082;625796;2;20031117 13:48;2, 5//225911 1//653125;
D;082;625796;2;20031117 13:48;P;;;;;;
D;082;625796;2;20031117 13:48;P;;;;;;
D;082;625796;2;20031117 13:48;V;;;;;;
B;082;626737;3;20031117 13:48;;;50;BAMBARA CRES;BEECROFT;2119;929.5;M;20030709;20031020;635000;A;R;RESIDENCE;;EK;;0;AA133175;
C;082;626737;3;20031117 13:48;7//232552;
D;082;626737;3;20031117 13:48;P;;;;;;
D;082;626737;3;20031117 13:48;P;;;;;;
D;082;626737;3;20031117 13:48;V;;;;;;
D;082;626737;3;20031117 13:48;V;;;;;;
B;082;627752;4;20031117 13:48;;;172;BEECROFT RD;CHELTENHAM;2119;4781.6;M;20030909;20031023;755000;A;R;RESIDENCE;;EN;;0;AA132125;
C;082;627752;4;20031117 13:48;1//624110;
D;082;627752;4;20031117 13:48;P;;;;;;
D;082;627752;4;20031117 13:48;P;;;;;;
D;082;627752;4;20031117 13:48;V;;;;;;
D;082;627752;4;20031117 13:48;V;;;;;;
B;082;628132;5;20031117 13:48;;2;8;BELLBROOK AVE;HORNSBY;2077;;;20030822;20031023;285000;;R;RESIDENCE;2;;;0;AA103651;
C;082;628132;5;20031117 13:48;2//SP 56254;
D;082;628132;5;20031117 13:48;P;;;;;;
D;082;628132;5;20031117 13:48;V;;;;;;
B;082;628236;6;20031117 13:48;;;8;BELLENDEN PL;DURAL;2158;350;M;20030818;20030929;480500;A;R;RESIDENCE;;ER;;0;AA112488;
C;082;628236;6;20031117 13:48;12//871724;
D;082;628236;6;20031117 13:48;P;;;;;;
D;082;628236;6;20031117 13:48;P;;;;;;
D;082;628236;6;20031117 13:48;V;;;;;;
B;082;628696;7;20031117 13:48;;;112 A;BEROWRA WATERS RD;BEROWRA HEIGHTS;2082;406.7;M;20030919;20031017;443000;A;R;RESIDENCE;;EP;;0;AA131217;
C;082;628696;7;20031117 13:48;201//877609;
D;082;628696;7;20031117 13:48;P;;;;;;
D;082;628696;7;20031117 13:48;P;;;;;;
D;082;628696;7;20031117 13:48;V;;;;;;
B;082;628748;8;20031117 13:48;;;153;BEROWRA WATERS RD;BEROWRA HEIGHTS;2082;582.3;M;20030820;20031002;491000;A;R;RESIDENCE;;EP;;0;AA119114;
C;082;628748;8;20031117 13:48;1//27032;
D;082;628748;8;20031117 13:48;P;;;;;;
