A;RTSALEDATA;143;20250203 01:02;VALNET;
B;143;3391522;1;20250203 01:02;;31;11;MANDEMAR AVE;HOMEBUSH WEST;2140;;;20241201;20250128;750000;;R;RESIDENCE;31;;;0;AU781771;
C;143;3391522;1;20250203 01:02;31/SP80369;
D;143;3391522;1;20250203 01:02;P;;;;;;
D;143;3391522;1;20250203 01:02;P;;;;;;
D;143;3391522;1;20250203 01:02;V;;;;;;
D;143;3391522;1;20250203 01:02;V;;;;;;
B;143;4241695;2;20250203 01:02;;501 A;37;LOFTUS CRES;HOMEBUSH;2140;118;M;20241129;20250123;740000;;R;RESIDENCE;53;;;0;AU773182;
C;143;4241695;2;20250203 01:02;53/SP100242;
D;143;4241695;2;20250203 01:02;P;;;;;;
D;143;4241695;2;20250203 01:02;V;;;;;;
D;143;4241695;2;20250203 01:02;V;;;;;;
B;143;4216885;3;20250203 01:02;;33;208;PARRAMATTA RD;HOMEBUSH;2140;86;M;20241213;20250128;462000;;R;RESIDENCE;33;;;0;AU783751;
C;143;4216885;3;20250203 01:02;33/SP98969;
D;143;4216885;3;20250203 01:02;P;;;;;;
D;143;4216885;3;20250203 01:02;V;;;;;;
D;143;4216885;3;20250203 01:02;V;;;;;;
B;143;4025852;4;20250203 01:02;;3;162;PARRAMATTA RD;HOMEBUSH;2140;145;M;20241217;20250128;550000;;R;RESIDENCE;3;;;0;AU782172;
C;143;4025852;4;20250203 01:02;3/SP91021;
D;143;4025852;4;20250203 01:02;P;;;;;;
D;143;4025852;4;20250203 01:02;V;;;;;;
B;143;4025852;5;20250203 01:02;;54;162;PARRAMATTA RD;HOMEBUSH;2140;155;M;20241206;20250124;828000;;R;RESIDENCE;54;;;0;AU776232;
C;143;4025852;5;20250203 01:02;54/SP91021;
D;143;4025852;5;20250203 01:02;P;;;;;;
D;143;4025852;5;20250203 01:02;P;;;;;;
D;143;4025852;5;20250203 01:02;V;;;;;;
B;143;4065217;6;20250203 01:02;;101;5;POWELL ST;HOMEBUSH;2140;140;M;20241231;20250123;667000;;R;RESIDENCE;128;;;0;AU773916;
C;143;4065217;6;20250203 01:02;128/SP95012;
D;143;4065217;6;20250203 01:02;P;;;;;;
D;143;4065217;6;20250203 01:02;P;;;;;;
D;143;4065217;6;20250203 01:02;V;;;;;;
D;143;4065217;6;20250203 01:02;V;;;;;;
B;143;1550502;7;20250203 01:02;;;4;BIRRIWA AVE;BELFIELD;2191;467.9;M;20241013;20250123;2340000;R2;R;RESIDENCE;;ERS;;0;AU774391;
C;143;1550502;7;20250203 01:02;6/15171;
D;143;1550502;7;20250203 01:02;P;;;;;;
D;143;1550502;7;20250203 01:02;V;;;;;;
D;143;1550502;7;20250203 01:02;V;;;;;;
B;143;1553088;8;20250203 01:02;;7;12;HAMPSTEAD RD;HOMEBUSH WEST;2140;;;20241112;20250128;583000;;R;RESIDENCE;7;;;0;AU782279;
C;143;1553088;8;20250203 01:02;7/SP7797;
D;143;1553088;8;20250203 01:02;P;;;;;;
D;143;1553088;8;20250203 01:02;P;;;;;;
D;143;1553088;8;20250203 01:02;V;;;;;;
D;143;1553088;8;20250203 01:02;V;;;;;;
B;143;1548492;9;20250203 01:02;;;90;ABBOTSFORD RD;HOMEBUSH;2140;2390.2;M;20240716;20250128;6732000;R2;R;RESIDENCE;;EGG;;0;AU781241;
C;143;1548492;9;20250203 01:02;1/168666 7/945845;
D;143;1548492;9;20250203 01:02;P;;;;;;
