A;RTSALEDATA;708;20250317 01:20;VALNET;
B;708;2036999;1;20250317 01:20;;;74;JOHN ST;PYRMONT;2009;;;20241107;20250307;2950000;;R;RESIDENCE;16;;;0;AU875358;
C;708;2036999;1;20250317 01:20;16/SP63466;
D;708;2036999;1;20250317 01:20;P;;;;;;
D;708;2036999;1;20250317 01:20;P;;;;;;
D;708;2036999;1;20250317 01:20;V;;;;;;
B;708;2039314;2;20250317 01:20;;305;385;PITT ST;SYDNEY;2000;;;20250211;20250311;650000;;R;RESIDENCE;305;;;0;AU882577;
C;708;2039314;2;20250317 01:20;305/SP60341;
D;708;2039314;2;20250317 01:20;P;;;;;;
D;708;2039314;2;20250317 01:20;V;;;;;;
B;708;2026863;3;20250317 01:20;;3102;96;GLOUCESTER ST;THE ROCKS;2000;;;20241113;20250312;6850000;;R;RESIDENCE;26;;;0;AU886602;
C;708;2026863;3;20250317 01:20;26/SP40417;
D;708;2026863;3;20250317 01:20;P;;;;;;
D;708;2026863;3;20250317 01:20;V;;;;;;
B;708;2027112;4;20250317 01:20;;53;96;GLOUCESTER ST;THE ROCKS;2000;;;20241113;20250312;6850000;;R;RESIDENCE;53;;;0;AU886602;
C;708;2027112;4;20250317 01:20;53/SP39995;
D;708;2027112;4;20250317 01:20;P;;;;;;
D;708;2027112;4;20250317 01:20;V;;;;;;
D;708;2027112;4;20250317 01:20;V;;;;;;
B;708;2027112;5;20250317 01:20;;54;96;GLOUCESTER ST;THE ROCKS;2000;;;20241113;20250312;6850000;;R;RESIDENCE;54;;;0;AU886602;
C;708;2027112;5;20250317 01:20;54/SP39995;
D;708;2027112;5;20250317 01:20;P;;;;;;
D;708;2027112;5;20250317 01:20;V;;;;;;
B;708;2027112;6;20250317 01:20;;136;96;GLOUCESTER ST;THE ROCKS;2000;;;20241113;20250312;6850000;;R;RESIDENCE;136;;;0;AU886602;
C;708;2027112;6;20250317 01:20;136/SP39995;
D;708;2027112;6;20250317 01:20;P;;;;;;
D;708;2027112;6;20250317 01:20;V;;;;;;
D;708;2027112;6;20250317 01:20;V;;;;;;
B;708;2029798;7;20250317 01:20;;;67;HARRIS ST;PYRMONT;2009;123.1;M;20241031;20250310;2200000;R1;R;RESIDENCE;;AA1;;0;AU879912;
C;708;2029798;7;20250317 01:20;5/607628;
D;708;2029798;7;20250317 01:20;P;;;;;;
D;708;2029798;7;20250317 01:20;P;;;;;;
D;708;2029798;7;20250317 01:20;V;;;;;;
B;708;2037740;8;20250317 01:20;;9;16;O'CONNELL ST;SYDNEY;2000;;;20250224;20250310;6215000;;3;OFFICE;9;;;0;AU880415;
C;708;2037740;8;20250317 01:20;9/SP55932;
D;708;2037740;8;20250317 01:20;P;;;;;;
D;708;2037740;8;20250317 01:20;V;;;;;;
B;708;2029857;9;20250317 01:20;;94;261;HARRIS ST;PYRMONT;2009;;;20250211;20250312;24000;;3;CARSPACE;94;;;0;AU886398;
C;708;2029857;9;20250317 01:20;94/SP51507;
D;708;2029857;9;20250317 01:20;P;;;;;;
D;708;2029857;9;20250317 01:20;V;;;;;;
D;708;2029857;9;20250317 01:20;V;;;;;;
D;708;2029857;9;20250317 01:20;V;;;;;;
B;708;2029857;10;20250317 01:20;;117;261;HARRIS ST;PYRMONT;2009;;;20250211;20250312;24000;;3;CARSPACE;117;;;0;AU886390;
C;708;2029857;10;20250317 01:20;117/SP51507;
D;708;2029857;10;20250317 01:20;P;;;;;;
D;708;2029857;10;20250317 01:20;V;;;;;;
D;708;2029857;10;20250317 01:20;V;;;;;;
D;708;2029857;10;20250317 01:20;V;;;;;;
B;708;2038219;11;20250317 01:20;;121;28;PELICAN ST;SURRY HILLS;2010;;;20250128;20250311;1422000;;R;RESIDENCE;49;;;0;AU883027;
C;708;2038219;11;20250317 01:20;49/SP59038;
D;708;2038219;11;20250317 01:20;P;;;;;;
D;708;2038219;11;20250317 01:20;P;;;;;;
D;708;2038219;11;20250317 01:20;V;;;;;;
