A;RTSALEDATA;097;20250407 01:07;VALNET;
B;097;2868020;1;20250407 01:07;;;;LARRYS MOUNTAIN RD;MORUYA;2537;36.02;H;20250303;20250402;1080000;RU1;3;FARM;;EUB;;0;AU944833;
C;097;2868020;1;20250407 01:07;1/972523;
D;097;2868020;1;20250407 01:07;P;;;;;;
D;097;2868020;1;20250407 01:07;P;;;;;;
D;097;2868020;1;20250407 01:07;P;;;;;;
D;097;2868020;1;20250407 01:07;V;;;;;;
D;097;2868020;1;20250407 01:07;V;;;;;;
B;097;1008116;2;20250407 01:07;;2;5;KARANA CL;LONG BEACH;2536;206;M;20250228;20250331;880000;;R;RESIDENCE;2;;;0;AU937069;
C;097;1008116;2;20250407 01:07;2/SP67243;
D;097;1008116;2;20250407 01:07;P;;;;;;
D;097;1008116;2;20250407 01:07;P;;;;;;
D;097;1008116;2;20250407 01:07;V;;;;;;
B;097;3460181;3;20250407 01:07;;3;35;SHELLEY RD;MORUYA;2537;;;20250313;20250331;600000;;3;COMMERCIAL;3;;;0;AU935163;
C;097;3460181;3;20250407 01:07;3/SP82386;
D;097;3460181;3;20250407 01:07;P;;;;;;
D;097;3460181;3;20250407 01:07;V;;;;;;
D;097;3460181;3;20250407 01:07;V;;;;;;
B;097;3037502;4;20250407 01:07;;;43;COURTENAY CRES;LONG BEACH;2536;747.9;M;20250228;20250328;855000;R2;R;RESIDENCE;;ERB;;0;AU931316;
C;097;3037502;4;20250407 01:07;228/1059058;
D;097;3037502;4;20250407 01:07;P;;;;;;
D;097;3037502;4;20250407 01:07;P;;;;;;
D;097;3037502;4;20250407 01:07;V;;;;;;
B;097;3077201;5;20250407 01:07;;;24;RIVER RD;MOSSY POINT;2537;834.7;M;20250211;20250327;950000;R2;R;RESIDENCE;;ERK;;0;AU928437;
C;097;3077201;5;20250407 01:07;176/15396;
D;097;3077201;5;20250407 01:07;P;;;;;;
D;097;3077201;5;20250407 01:07;P;;;;;;
D;097;3077201;5;20250407 01:07;V;;;;;;
D;097;3077201;5;20250407 01:07;V;;;;;;
B;097;3663026;6;20250407 01:07;;;55;WONGA RD;NAROOMA;2546;1.93;H;20250228;20250328;815000;RU4;V;VACANT LAND;;EUG;;0;AU932387;
C;097;3663026;6;20250407 01:07;62/1179374;
D;097;3663026;6;20250407 01:07;P;;;;;;
D;097;3663026;6;20250407 01:07;P;;;;;;
D;097;3663026;6;20250407 01:07;V;;;;;;
D;097;3663026;6;20250407 01:07;V;;;;;;
B;097;4067257;7;20250407 01:07;;30;17;WHARF RD;NORTH BATEMANS BAY;2536;171;M;20250313;20250402;580000;;R;RESIDENCE;30;;;0;AU943210;
C;097;4067257;7;20250407 01:07;30/SP92027;
D;097;4067257;7;20250407 01:07;P;;;;;;
D;097;4067257;7;20250407 01:07;V;;;;;;
D;097;4067257;7;20250407 01:07;V;;;;;;
B;097;4606264;8;20250407 01:07;;;421;OLD HWY;NAROOMA;2546;9.659;H;20240413;20250326;1800000;;R;RESIDENCE;;;;0;AU923243;
C;097;4606264;8;20250407 01:07;21, 22/1311966;
D;097;4606264;8;20250407 01:07;P;;;;;;
D;097;4606264;8;20250407 01:07;P;;;;;;
D;097;4606264;8;20250407 01:07;V;;;;;;
D;097;4606264;8;20250407 01:07;V;;;;;;
D;097;4606264;8;20250407 01:07;V;;;;;;
D;097;4606264;8;20250407 01:07;V;;;;;;
B;097;4606265;9;20250407 01:07;;;;OLD HWY;NAROOMA;2546;2.541;H;20240413;20250328;650000;;V;VACANT LAND;;;;0;AU930373;
C;097;4606265;9;20250407 01:07;20/1311966;
D;097;4606265;9;20250407 01:07;P;;;;;;
D;097;4606265;9;20250407 01:07;P;;;;;;
D;097;4606265;9;20250407 01:07;V;;;;;;
D;097;4606265;9;20250407 01:07;V;;;;;;
D;097;4606265;9;20250407 01:07;V;;;;;;
D;097;4606265;9;20250407 01:07;V;;;;;;
B;097;4593063;10;20250407 01:07;;;9;SALTBUSH AVE;BROULEE;2537;643.4;M;20250306;20250328;620000;R2;V;VACANT LAND;;ERL;;0;AU931735;
C;097;4593063;10;20250407 01:07;123/1309767;
D;097;4593063;10;20250407 01:07;P;;;;;;
D;097;4593063;10;20250407 01:07;P;;;;;;
D;097;4593063;10;20250407 01:07;V;;;;;;
B;097;1015738;11;20250407 01:07;;;14;HEADLAND GR;MORUYA HEADS;2537;947;M;20250130;20250331;785000;R2;R;RESIDENCE;;ERN;;0;AU937816;
C;097;1015738;11;20250407 01:07;14/255193;
D;097;1015738;11;20250407 01:07;P;;;;;;
D;097;1015738;11;20250407 01:07;P;;;;;;
D;097;1015738;11;20250407 01:07;V;;;;;;
D;097;1015738;11;20250407 01:07;V;;;;;;
B;097;1015790;12;20250407 01:07;;;8;KEIGHTLEY ST;MORUYA;2537;1170;M;20250123;20250327;487500;R2;R;RESIDENCE;;ERM;;0;AU929133;
C;097;1015790;12;20250407 01:07;39/260889;
D;097;1015790;12;20250407 01:07;P;;;;;;
D;097;1015790;12;20250407 01:07;P;;;;;;
D;097;1015790;12;20250407 01:07;V;;;;;;
D;097;1015790;12;20250407 01:07;V;;;;;;
B;097;1021009;13;20250407 01:07;;;39;LAKESIDE DR;KIANGA;2546;556.4;M;20250213;20250327;792500;R2;R;RESIDENCE;;ERR;;0;AU926033;
C;097;1021009;13;20250407 01:07;95/31234;
D;097;1021009;13;20250407 01:07;P;;;;;;
D;097;1021009;13;20250407 01:07;V;;;;;;
B;097;1010301;14;20250407 01:07;;;1067;CONGO RD;MERINGO;2537;2.07;H;20250217;20250331;645000;C4;R;RESIDENCE;;ECD;;0;AU936556;
C;097;1010301;14;20250407 01:07;5/807226;
D;097;1010301;14;20250407 01:07;P;;;;;;
D;097;1010301;14;20250407 01:07;P;;;;;;
D;097;1010301;14;20250407 01:07;V;;;;;;
D;097;1010301;14;20250407 01:07;V;;;;;;
B;097;1002635;15;20250407 01:07;;3;30;MATTHEW PDE;BATEHAVEN;2536;;;20250224;20250324;380000;;R;RESIDENCE;3;;;0;AU915990;
C;097;1002635;15;20250407 01:07;3/SP15496;
D;097;1002635;15;20250407 01:07;P;;;;;;
D;097;1002635;15;20250407 01:07;V;;;;;;
B;097;1002690;16;20250407 01:07;;;56;MELALEUCA CRES;CATALINA;2536;685.6;M;20250303;20250328;715000;R2;R;RESIDENCE;;ERD;;0;AU929939;
C;097;1002690;16;20250407 01:07;115/815513;
D;097;1002690;16;20250407 01:07;P;;;;;;
D;097;1002690;16;20250407 01:07;V;;;;;;
B;097;1005359;17;20250407 01:07;;;14;BOONDI ST;MALUA BAY;2536;556.4;M;20250214;20250328;1200000;R2;R;RESIDENCE;;ERH;;0;AU931255;
C;097;1005359;17;20250407 01:07;372/211219;
D;097;1005359;17;20250407 01:07;P;;;;;;
