A;RTSALEDATA;090;20250120 01:07;VALNET;
B;090;4243769;1;20250120 01:07;;14;408;VICTORIA RD;GLADESVILLE;2111;;;20241122;20250110;611000;;R;RESIDENCE;6;;;0;AU738541;
C;090;4243769;1;20250120 01:07;6/SP100170;
D;090;4243769;1;20250120 01:07;P;;;;;;
D;090;4243769;1;20250120 01:07;P;;;;;;
D;090;4243769;1;20250120 01:07;V;;;;;;
D;090;4243769;1;20250120 01:07;V;;;;;;
B;090;4136508;2;20250120 01:07;;413;261;MORRISON RD;RYDE;2112;118;M;20241026;20250113;1180000;;R;RESIDENCE;50;;;0;AU742634;
C;090;4136508;2;20250120 01:07;50/SP97574;
D;090;4136508;2;20250120 01:07;P;;;;;;
D;090;4136508;2;20250120 01:07;P;;;;;;
D;090;4136508;2;20250120 01:07;V;;;;;;
B;090;868548;3;20250120 01:07;;;18;CUTLER PDE;NORTH RYDE;2113;916.9;M;20241119;20250113;3300000;R2;R;RESIDENCE;;EAD;;0;AU743100;
C;090;868548;3;20250120 01:07;2/28403;
D;090;868548;3;20250120 01:07;P;;;;;;
D;090;868548;3;20250120 01:07;V;;;;;;
D;090;868548;3;20250120 01:07;V;;;;;;
B;090;868579;4;20250120 01:07;;;2;DAFFODIL ST;EASTWOOD;2122;580.8;M;20240618;20250114;2690000;R2;R;RESIDENCE;;ECD;;0;AU745636;
C;090;868579;4;20250120 01:07;18/246959;
D;090;868579;4;20250120 01:07;P;;;;;;
D;090;868579;4;20250120 01:07;V;;;;;;
D;090;868579;4;20250120 01:07;V;;;;;;
B;090;876583;5;20250120 01:07;;2;8;ISABEL ST;RYDE;2112;;;20241127;20250114;605000;;R;RESIDENCE;2;;;0;AU746074;
C;090;876583;5;20250120 01:07;2/SP3705;
D;090;876583;5;20250120 01:07;P;;;;;;
D;090;876583;5;20250120 01:07;V;;;;;;
B;090;890304;6;20250120 01:07;;15;20;STATION ST;WEST RYDE;2114;;;20241129;20250110;472000;;R;RESIDENCE;15;;;0;AU738208;
