A;RTSALEDATA;210;20250224 01:07;VALNET;
B;210;2082327;1;20250224 01:07;;1;6;CARLOTTA RD;DOUBLE BAY;2028;336;M;20241115;20250220;4500000;;R;RESIDENCE;1;;;0;AU838656;
C;210;2082327;1;20250224 01:07;1/SP61022;
D;210;2082327;1;20250224 01:07;P;;;;;;
D;210;2082327;1;20250224 01:07;P;;;;;;
D;210;2082327;1;20250224 01:07;V;;;;;;
B;210;2084948;2;20250224 01:07;;;15;DUMARESQ RD;ROSE BAY;2029;733.5;M;20240216;20250217;25000000;R2;R;RESIDENCE;;ALR;;0;AU829426;
C;210;2084948;2;20250224 01:07;1/206091 1/206368;
D;210;2084948;2;20250224 01:07;P;;;;;;
D;210;2084948;2;20250224 01:07;P;;;;;;
D;210;2084948;2;20250224 01:07;V;;;;;;
B;210;2085105;3;20250224 01:07;;1;3;EASTBOURNE RD;DARLING POINT;2027;226.7;M;20241017;20250218;5100000;;R;RESIDENCE;1;;;0;AU832317;
C;210;2085105;3;20250224 01:07;1/SP3987;
D;210;2085105;3;20250224 01:07;P;;;;;;
D;210;2085105;3;20250224 01:07;V;;;;;;
B;210;2093066;4;20250224 01:07;;2;4;NELSON ST;WOOLLAHRA;2025;274;M;20250128;20250217;1850000;;R;RESIDENCE;2;;;0;AU831606;
C;210;2093066;4;20250224 01:07;2/SP21221;
D;210;2093066;4;20250224 01:07;P;;;;;;
D;210;2093066;4;20250224 01:07;P;;;;;;
D;210;2093066;4;20250224 01:07;V;;;;;;
D;210;2093066;4;20250224 01:07;V;;;;;;
D;210;2093066;4;20250224 01:07;V;;;;;;
B;210;2082766;5;20250224 01:07;;;28;CLIFF ST;WATSONS BAY;2030;297.3;M;20240813;20250217;7970000;R2;R;RESIDENCE;;ALS;;0;AU829211;
C;210;2082766;5;20250224 01:07;1/782249;
D;210;2082766;5;20250224 01:07;P;;;;;;
D;210;2082766;5;20250224 01:07;P;;;;;;
D;210;2082766;5;20250224 01:07;V;;;;;;
D;210;2082766;5;20250224 01:07;V;;;;;;
B;210;2087967;6;20250224 01:07;;7;23;GIRILANG AVE;VAUCLUSE;2030;55.2;M;20241118;20250214;910000;;R;RESIDENCE;7;;;0;AU826150;
C;210;2087967;6;20250224 01:07;7/SP3081;
D;210;2087967;6;20250224 01:07;P;;;;;;
D;210;2087967;6;20250224 01:07;V;;;;;;
B;210;2098976;7;20250224 01:07;;;4;PLUMER RD;ROSE BAY;2029;366.7;M;20250123;20250220;4675000;R2;R;RESIDENCE;;ALB;;0;AU837879;
C;210;2098976;7;20250224 01:07;B/100947;
D;210;2098976;7;20250224 01:07;P;;;;;;
D;210;2098976;7;20250224 01:07;V;;;;;;
D;210;2098976;7;20250224 01:07;V;;;;;;
D;210;2098976;7;20250224 01:07;V;;;;;;
B;210;2102019;8;20250224 01:07;;;16;TRANSVAAL AVE;DOUBLE BAY;2028;194.1;M;20241127;20250217;6650000;E1;3;COMMERCIAL;;ELA;;0;AU829072;
C;210;2102019;8;20250224 01:07;8/608834;
D;210;2102019;8;20250224 01:07;P;;;;;;
D;210;2102019;8;20250224 01:07;V;;;;;;
B;210;2080873;9;20250224 01:07;;12 A;2;BIRRIGA RD;BELLEVUE HILL;2023;89.2;M;20241212;20250214;1275000;;R;RESIDENCE;13;;;0;AU827205;
C;210;2080873;9;20250224 01:07;13/SP2963;
D;210;2080873;9;20250224 01:07;P;;;;;;
D;210;2080873;9;20250224 01:07;P;;;;;;
D;210;2080873;9;20250224 01:07;V;;;;;;
B;210;2086194;10;20250224 01:07;;11;297;EDGECLIFF RD;WOOLLAHRA;2025;142.5;M;20250124;20250220;2100000;;R;RESIDENCE;11;;;0;AU838705;
C;210;2086194;10;20250224 01:07;11/SP8535;
D;210;2086194;10;20250224 01:07;P;;;;;;
D;210;2086194;10;20250224 01:07;V;;;;;;
B;210;2102143;11;20250224 01:07;;;40;UNDERWOOD ST;PADDINGTON;2021;164.5;M;20241122;20250214;4300000;R2;R;RESIDENCE;;ALL;;0;AU826198;
C;210;2102143;11;20250224 01:07;8/731695;
D;210;2102143;11;20250224 01:07;P;;;;;;
D;210;2102143;11;20250224 01:07;V;;;;;;
B;210;2089188;12;20250224 01:07;;4;11;GUILFOYLE AVE;DOUBLE BAY;2028;294;M;20241118;20250219;5525000;;R;RESIDENCE;4;;;50;AU835606;
C;210;2089188;12;20250224 01:07;4/SP56428;
D;210;2089188;12;20250224 01:07;P;;;;;;
D;210;2089188;12;20250224 01:07;P;;;;;;
D;210;2089188;12;20250224 01:07;V;;;;;;
D;210;2089188;12;20250224 01:07;V;;;;;;
D;210;2089188;12;20250224 01:07;V;;;;;;
D;210;2089188;12;20250224 01:07;V;;;;;;
B;210;2097734;13;20250224 01:07;;;28;OLPHERT AVE;VAUCLUSE;2030;1264.3;M;20230208;20250218;11400000;R2;R;RESIDENCE;;ALV;;0;AU834492;
C;210;2097734;13;20250224 01:07;71/5139 1/320663;
D;210;2097734;13;20250224 01:07;P;;;;;;
D;210;2097734;13;20250224 01:07;V;;;;;;
B;210;2097734;14;20250224 01:07;;;28;OLPHERT AVE;VAUCLUSE;2030;1264.3;M;20240325;20250218;14000000;R2;R;RESIDENCE;;ALV;;0;AU834493;
C;210;2097734;14;20250224 01:07;71/5139 1/320663;
D;210;2097734;14;20250224 01:07;P;;;;;;
D;210;2097734;14;20250224 01:07;V;;;;;;
B;210;2087204;15;20250224 01:07;;;33;FAIRWEATHER ST;BELLEVUE HILL;2023;695.6;M;20241015;20250218;14030000;R2;R;RESIDENCE;;ALB;;0;AU831884;
C;210;2087204;15;20250224 01:07;21/86733;
D;210;2087204;15;20250224 01:07;P;;;;;;
D;210;2087204;15;20250224 01:07;V;;;;;;
D;210;2087204;15;20250224 01:07;V;;;;;;
B;210;4567235;16;20250224 01:07;;2;54;OLD SOUTH HEAD RD;VAUCLUSE;2030;345;M;20240920;20250214;4300000;;R;RESIDENCE;2;;;0;AU825910;
C;210;4567235;16;20250224 01:07;2/SP107352;
D;210;4567235;16;20250224 01:07;P;;;;;;
D;210;4567235;16;20250224 01:07;P;;;;;;
D;210;4567235;16;20250224 01:07;V;;;;;;
D;210;4567235;16;20250224 01:07;V;;;;;;
B;210;4586639;17;20250224 01:07;;3;30;NEWCASTLE ST;ROSE BAY;2029;406;M;20231115;20250214;6500000;;R;RESIDENCE;3;;;0;AU825221;
C;210;4586639;17;20250224 01:07;3/SP108094;
D;210;4586639;17;20250224 01:07;P;;;;;;
D;210;4586639;17;20250224 01:07;P;;;;;;
D;210;4586639;17;20250224 01:07;V;;;;;;
B;210;3622996;18;20250224 01:07;;6;230;NEW SOUTH HEAD RD;EDGECLIFF;2027;;;20241121;20250214;2250000;;R;RESIDENCE;6;;;0;AU824980;
C;210;3622996;18;20250224 01:07;6/SP86267;
D;210;3622996;18;20250224 01:07;P;;;;;;
D;210;3622996;18;20250224 01:07;V;;;;;;
B;210;4484603;19;20250224 01:07;;5;23;WOLSELEY RD;POINT PIPER;2027;273;M;20241111;20250217;12820000;;R;RESIDENCE;5;;;0;AU830028;
C;210;4484603;19;20250224 01:07;5/SP106256;
D;210;4484603;19;20250224 01:07;P;;;;;;
D;210;4484603;19;20250224 01:07;V;;;;;;
Z;96;19;19;56;
