A;101;20021217 14:37;PDANN;
B;101;1053290;1;20021217 14:37;;;17;ADDISON RD;CULBURRA BEACH;2540;1366;M;20021023;20021127;390000;A;R;RESIDENCE;;JJ;;;9174211;
C;101;1053290;1;20021217 14:37;1277//11893;
D;101;1053290;1;20021217 14:37;P;;;;;;
D;101;1053290;1;20021217 14:37;P;;;;;;
D;101;1053290;1;20021217 14:37;V;;;;;;
D;101;1053290;1;20021217 14:37;V;;;;;;
B;101;1053742;2;20021217 14:37;;;54;ALBERT ST;BERRY;2535;904.2;M;20020906;20021118;510000;A;R;RESIDENCE;;DA;;;9173994;
C;101;1053742;2;20021217 14:37;17/10/8058;
D;101;1053742;2;20021217 14:37;P;;;;;;
D;101;1053742;2;20021217 14:37;P;;;;;;
D;101;1053742;2;20021217 14:37;V;;;;;;
D;101;1053742;2;20021217 14:37;V;;;;;;
D;101;1053742;2;20021217 14:37;V;;;;;;
B;101;1054000;3;20021217 14:37;;;18;ALLISON AVE;NOWRA;2541;695.6;M;20011011;20011122;139000;A;R;RESIDENCE;;GJ;;;9174671;
C;101;1054000;3;20021217 14:37;149//243305;
D;101;1054000;3;20021217 14:37;P;;;;;;
D;101;1054000;3;20021217 14:37;P;;;;;;
D;101;1054000;3;20021217 14:37;V;;;;;;
B;101;1054061;4;20021217 14:37;;;38;ALMA AVE;FISHERMANS PARADISE;2539;638.6;M;20020624;20020912;188000;Z;R;RESIDENCE;;WA;;;9178289;
C;101;1054061;4;20021217 14:37;274//26974;
D;101;1054061;4;20021217 14:37;P;;;;;;
D;101;1054061;4;20021217 14:37;P;;;;;;
D;101;1054061;4;20021217 14:37;V;;;;;;
D;101;1054061;4;20021217 14:37;V;;;;;;
B;101;1054109;5;20021217 14:37;;;1;SHORLAND PL;NOWRA;2541;684.9;M;20020823;20020923;142000;A;R;RESIDENCE;;GJ;;;9178197;
C;101;1054109;5;20021217 14:37;217//244180;
D;101;1054109;5;20021217 14:37;P;;;;;;
D;101;1054109;5;20021217 14:37;P;;;;;;
D;101;1054109;5;20021217 14:37;V;;;;;;
B;101;1054243;6;20021217 14:37;;;35;ANEY ST;LAKE CONJOLA;2539;854.9;M;20020517;20021118;125000;Z;R;RESIDENCE;;WD;;;9177283;
C;101;1054243;6;20021217 14:37;27//708730;
D;101;1054243;6;20021217 14:37;P;;;;;;
D;101;1054243;6;20021217 14:37;V;;;;;;
D;101;1054243;6;20021217 14:37;V;;;;;;
B;101;1054258;7;20021217 14:37;;;29;ANGLERS PDE;FISHERMANS PARADISE;2539;834.7;M;20020916;20021028;86000;Z;R;RESIDENCE;;WA;;;9159750;
C;101;1054258;7;20021217 14:37;34//25478;
D;101;1054258;7;20021217 14:37;P;;;;;;
D;101;1054258;7;20021217 14:37;P;;;;;;
D;101;1054258;7;20021217 14:37;V;;;;;;
B;101;1055149;8;20021217 14:37;;;4;BANGALOW ST;NARRAWALLEE;2539;;;20021010;20021121;220000;A;R;RESIDENCE;;YM;;;9173439;
C;101;1055149;8;20021217 14:37;171//217167;
D;101;1055149;8;20021217 14:37;P;;;;;;
