A;RTSALEDATA;085;20250203 01:01;VALNET;
B;085;730265;1;20250203 01:01;;20;13;MURRAY ST;LANE COVE NORTH;2066;;;20241213;20250124;827500;;R;RESIDENCE;20;;;0;AU777072;
C;085;730265;1;20250203 01:01;20/SP6410;
D;085;730265;1;20250203 01:01;P;;;;;;
D;085;730265;1;20250203 01:01;V;;;;;;
B;085;733232;2;20250203 01:01;;3;13;STOKES ST;LANE COVE NORTH;2066;;;20241213;20250124;1100000;;R;RESIDENCE;3;;;0;AU776906;
C;085;733232;2;20250203 01:01;3/SP7919;
D;085;733232;2;20250203 01:01;P;;;;;;
D;085;733232;2;20250203 01:01;P;;;;;;
D;085;733232;2;20250203 01:01;V;;;;;;
D;085;733232;2;20250203 01:01;V;;;;;;
B;085;4187503;3;20250203 01:01;;403;16;BIRDWOOD AVE;LANE COVE;2066;105;M;20241104;20250128;1500000;;R;RESIDENCE;122;;;0;AU782730;
C;085;4187503;3;20250203 01:01;122/SP98941;
D;085;4187503;3;20250203 01:01;P;;;;;;
D;085;4187503;3;20250203 01:01;P;;;;;;
D;085;4187503;3;20250203 01:01;V;;;;;;
B;085;4585188;4;20250203 01:01;;;30;PINAROO PL;LANE COVE NORTH;2066;1101.5;M;20221223;20250123;7500000;R4;R;RESIDENCE;;RHF;;0;AU774864;
C;085;4585188;4;20250203 01:01;101/1309468;
D;085;4585188;4;20250203 01:01;P;;;;;;
D;085;4585188;4;20250203 01:01;V;;;;;;
B;085;4585237;5;20250203 01:01;;5;30;PINAROO PL;LANE COVE NORTH;2066;165;M;20241223;20250124;997000;;R;RESIDENCE;4;;;0;AU780377;
C;085;4585237;5;20250203 01:01;4/SP108732;
D;085;4585237;5;20250203 01:01;P;;;;;;
D;085;4585237;5;20250203 01:01;V;;;;;;
B;085;4573746;6;20250203 01:01;;201;34;MINDARIE ST;LANE COVE NORTH;2066;79;M;20241213;20250124;745000;;R;RESIDENCE;30;;;0;AU777784;
C;085;4573746;6;20250203 01:01;30/SP108243;
D;085;4573746;6;20250203 01:01;P;;;;;;
D;085;4573746;6;20250203 01:01;P;;;;;;
D;085;4573746;6;20250203 01:01;V;;;;;;
B;085;722512;7;20250203 01:01;;24;83;BURNS BAY RD;LANE COVE;2066;;;20241114;20250123;775000;;R;RESIDENCE;24;;;0;AU773345;
C;085;722512;7;20250203 01:01;24/SP11873;
D;085;722512;7;20250203 01:01;P;;;;;;
D;085;722512;7;20250203 01:01;P;;;;;;
D;085;722512;7;20250203 01:01;V;;;;;;
B;085;722733;8;20250203 01:01;;15;121;BURNS BAY RD;LANE COVE;2066;;;20241213;20250124;790000;;R;RESIDENCE;15;;;0;AU777443;
C;085;722733;8;20250203 01:01;15/SP46090;
D;085;722733;8;20250203 01:01;P;;;;;;
D;085;722733;8;20250203 01:01;V;;;;;;
B;085;723166;9;20250203 01:01;;;4;CANBERRA ST;LANE COVE NORTH;2066;627.1;M;20241030;20250128;2850000;R2;R;RESIDENCE;;RAG;;0;AU782364;
C;085;723166;9;20250203 01:01;45/10948;
D;085;723166;9;20250203 01:01;P;;;;;;
D;085;723166;9;20250203 01:01;V;;;;;;
D;085;723166;9;20250203 01:01;V;;;;;;
B;085;734201;10;20250203 01:01;;;7;FRANCIS ST;LONGUEVILLE;2066;928.1;M;20241104;20250129;6700000;R2;R;RESIDENCE;;RAD;;0;AU787232;
C;085;734201;10;20250203 01:01;1/519871;
D;085;734201;10;20250203 01:01;P;;;;;;
D;085;734201;10;20250203 01:01;P;;;;;;
D;085;734201;10;20250203 01:01;V;;;;;;
D;085;734201;10;20250203 01:01;V;;;;;;
B;085;732023;11;20250203 01:01;;;21;PENGILLY ST;RIVERVIEW;2066;567.2;M;20241026;20250124;4225000;R2;R;RESIDENCE;;RAB;;0;AU779067;
C;085;732023;11;20250203 01:01;1/500238;
D;085;732023;11;20250203 01:01;P;;;;;;
D;085;732023;11;20250203 01:01;P;;;;;;
D;085;732023;11;20250203 01:01;V;;;;;;
D;085;732023;11;20250203 01:01;V;;;;;;
B;085;724416;12;20250203 01:01;;;16;DUNOIS ST;LONGUEVILLE;2066;796.7;M;20240927;20250128;8700000;R2;R;RESIDENCE;;RAC;;0;AU782215;
C;085;724416;12;20250203 01:01;2/509076;
D;085;724416;12;20250203 01:01;P;;;;;;
D;085;724416;12;20250203 01:01;P;;;;;;
D;085;724416;12;20250203 01:01;V;;;;;;
D;085;724416;12;20250203 01:01;V;;;;;;
B;085;3894161;13;20250203 01:01;;406;10;WATERVIEW DR;LANE COVE;2066;101;M;20241129;20250124;860000;;R;RESIDENCE;179;;;0;AU780097;
C;085;3894161;13;20250203 01:01;179/SP92334;
D;085;3894161;13;20250203 01:01;P;;;;;;
D;085;3894161;13;20250203 01:01;V;;;;;;
B;085;3894161;14;20250203 01:01;;404;13;WATERVIEW DR;LANE COVE;2066;111;M;20241209;20250129;960000;;R;RESIDENCE;265;;;0;AU787554;
C;085;3894161;14;20250203 01:01;265/SP92334;
D;085;3894161;14;20250203 01:01;P;;;;;;
D;085;3894161;14;20250203 01:01;P;;;;;;
D;085;3894161;14;20250203 01:01;V;;;;;;
B;085;3894161;15;20250203 01:01;;504;13;WATERVIEW DR;LANE COVE;2066;111;M;20241115;20250123;960000;;R;RESIDENCE;270;;;0;AU773625;
C;085;3894161;15;20250203 01:01;270/SP92334;
D;085;3894161;15;20250203 01:01;P;;;;;;
D;085;3894161;15;20250203 01:01;P;;;;;;
D;085;3894161;15;20250203 01:01;V;;;;;;
Z;76;15;15;44;
