A;RTSALEDATA;152;20250310 01:07;VALNET;
B;152;2863546;1;20250310 01:07;;;10;SUFFOLK CL;COFFS HARBOUR;2450;995;M;20250124;20250228;660000;R2;R;RESIDENCE;;ACH;;0;AU859717;
C;152;2863546;1;20250310 01:07;9/1034750;
D;152;2863546;1;20250310 01:07;P;;;;;;
D;152;2863546;1;20250310 01:07;P;;;;;;
D;152;2863546;1;20250310 01:07;V;;;;;;
D;152;2863546;1;20250310 01:07;V;;;;;;
B;152;2903005;2;20250310 01:07;;;6;WAGTAIL CL;BOAMBEE EAST;2452;846.9;M;20250110;20250303;980000;R2;R;RESIDENCE;;ABT;;0;AU864796;
C;152;2903005;2;20250310 01:07;20/1039932;
D;152;2903005;2;20250310 01:07;P;;;;;;
D;152;2903005;2;20250310 01:07;V;;;;;;
D;152;2903005;2;20250310 01:07;V;;;;;;
B;152;4175883;3;20250310 01:07;;;14;PLATINUM PL;COFFS HARBOUR;2450;641.1;M;20241219;20250226;1221500;R2;R;RESIDENCE;;ANB;;0;AU851845;
C;152;4175883;3;20250310 01:07;213/1248002;
D;152;4175883;3;20250310 01:07;P;;;;;;
D;152;4175883;3;20250310 01:07;P;;;;;;
D;152;4175883;3;20250310 01:07;V;;;;;;
B;152;4221076;4;20250310 01:07;;;7;MIRANDA PL;KORORA;2450;770.3;M;20250115;20250226;1450000;R2;R;RESIDENCE;;AKR;;0;AU851408;
C;152;4221076;4;20250310 01:07;1/1246010;
D;152;4221076;4;20250310 01:07;P;;;;;;
D;152;4221076;4;20250310 01:07;P;;;;;;
D;152;4221076;4;20250310 01:07;V;;;;;;
B;152;4163080;5;20250310 01:07;;4;15;BOULTWOOD ST;COFFS HARBOUR;2450;172;M;20250116;20250228;745000;;R;RESIDENCE;4;;;0;AU858786;
C;152;4163080;5;20250310 01:07;4/SP98446;
D;152;4163080;5;20250310 01:07;P;;;;;;
D;152;4163080;5;20250310 01:07;P;;;;;;
D;152;4163080;5;20250310 01:07;V;;;;;;
D;152;4163080;5;20250310 01:07;V;;;;;;
B;152;1699348;6;20250310 01:07;;;6;BURRIDGE AVE;NORTH BOAMBEE VALLEY;2450;700.5;M;20250117;20250228;703000;R2;R;RESIDENCE;;ACH;;0;AU858547;
C;152;1699348;6;20250310 01:07;21/701125;
D;152;1699348;6;20250310 01:07;P;;;;;;
D;152;1699348;6;20250310 01:07;V;;;;;;
