A;210;20010822 13:20;CDIXON;
B;210;2078412;1;20010822 13:20;;1;17;ALBERT ST;EDGECLIFF;2027;;;20010426;20010426;0;;3;NULL;1;;;;7598722;
C;210;2078412;1;20010822 13:20;1//SP 6439;
D;210;2078412;1;20010822 13:20;P;;;;;;
D;210;2078412;1;20010822 13:20;P;;;;;;
D;210;2078412;1;20010822 13:20;V;;;;;;
B;210;2078859;2;20010822 13:20;;9;22;BALFOUR RD;ROSE BAY;2029;;;20010409;20010504;394000;;R;;9;;;;7647320;
C;210;2078859;2;20010822 13:20;9//12045;
D;210;2078859;2;20010822 13:20;P;;;;;;
D;210;2078859;2;20010822 13:20;V;;;;;;
B;210;2079764;3;20010822 13:20;;3;98 A;BELLEVUE RD;BELLEVUE HILL;2023;;;20010302;20010510;396000;;R;;3;;;;7616632;
C;210;2079764;3;20010822 13:20;3//13829;
D;210;2079764;3;20010822 13:20;P;;;;;;
D;210;2079764;3;20010822 13:20;P;;;;;;
D;210;2079764;3;20010822 13:20;V;;;;;;
B;210;2079981;4;20010822 13:20;;;37;BENELONG CRES;BELLEVUE HILL;2023;569;M;20010321;20010516;1700000;A;R;;;RG;;;7627362;
C;210;2079981;4;20010822 13:20;39/D/7658;
D;210;2079981;4;20010822 13:20;P;;;;;;
D;210;2079981;4;20010822 13:20;P;;;;;;
D;210;2079981;4;20010822 13:20;V;;;;;;
B;210;2079983;5;20010822 13:20;;3;41;BENELONG CRES;BELLEVUE HILL;2023;;;20010412;20010517;1375000;;R;;3;;;;7642679;
C;210;2079983;5;20010822 13:20;3//63485;
D;210;2079983;5;20010822 13:20;P;;;;;;
D;210;2079983;5;20010822 13:20;P;;;;;;
B;210;2080049;6;20010822 13:20;;;12 A;BENELONG CRES;BELLEVUE HILL;2023;619.6;M;20010511;20010511;0;A;3;NULL;;RG;;;7605774;
C;210;2080049;6;20010822 13:20;55/C/7658;
D;210;2080049;6;20010822 13:20;P;;;;;;
D;210;2080049;6;20010822 13:20;P;;;;;;
D;210;2080049;6;20010822 13:20;V;;;;;;
D;210;2080049;6;20010822 13:20;V;;;;;;
B;210;2080261;7;20010822 13:20;;;74;BERESFORD RD;ROSE BAY;2029;1074.9;M;20010329;20010518;2500000;A;R;;;RG;;;7644677;
C;210;2080261;7;20010822 13:20;11/5/5932;
D;210;2080261;7;20010822 13:20;P;;;;;;
D;210;2080261;7;20010822 13:20;V;;;;;;
B;210;2080412;8;20010822 13:20;;9;39;BIRRIGA RD;BELLEVUE HILL;2023;;;20010411;20010525;287000;;R;;9;;;;7653383;
C;210;2080412;8;20010822 13:20;9//10850;
D;210;2080412;8;20010822 13:20;P;;;;;;
D;210;2080412;8;20010822 13:20;P;;;;;;
D;210;2080412;8;20010822 13:20;V;;;;;;
B;210;2080546;9;20010822 13:20;;;103 A;BIRRIGA RD;BELLEVUE HILL;2023;531.1;M;20010514;20010514;375000;A;R;;;FG;;;7642993;
C;210;2080546;9;20010822 13:20;A//328125 1//958022;
D;210;2080546;9;20010822 13:20;P;;;;;;
D;210;2080546;9;20010822 13:20;P;;;;;;
D;210;2080546;9;20010822 13:20;V;;;;;;
