A;255;20020201 11:32;CDIXON;
B;255;2685388;1;20020201 11:32;;;;RIVERVIEW RISE;GOL GOL;2738;5005;M;20011108;20011206;200000;R;V;VACANT LAND;;AW;;;8239851;
C;255;2685388;1;20020201 11:32;6//865438;
D;255;2685388;1;20020201 11:32;P;;;;;;
D;255;2685388;1;20020201 11:32;V;;;;;;
B;255;2685393;2;20020201 11:32;;;;RIVERVIEW RISE;GOL GOL;2738;5002;M;20011114;20011221;325000;R;R;RESIDENCE;;AX;;;8269359;
C;255;2685393;2;20020201 11:32;11//865438;
D;255;2685393;2;20020201 11:32;P;;;;;;
D;255;2685393;2;20020201 11:32;P;;;;;;
D;255;2685393;2;20020201 11:32;V;;;;;;
D;255;2685393;2;20020201 11:32;V;;;;;;
B;255;2685741;3;20020201 11:32;;;20;CRANE DR;BURONGA;2739;784.1;M;20011123;20011216;123000;A;R;RESIDENCE;;AA;;;8258507;
C;255;2685741;3;20020201 11:32;16//825883;
D;255;2685741;3;20020201 11:32;P;;;;;;
D;255;2685741;3;20020201 11:32;P;;;;;;
D;255;2685741;3;20020201 11:32;V;;;;;;
B;255;2685832;4;20020201 11:32;;;11;PITMAN AVE;BURONGA;2739;1132;M;20011126;20011221;45000;A;R;RESIDENCE;;AA;;;8244376;
C;255;2685832;4;20020201 11:32;912//756961;
D;255;2685832;4;20020201 11:32;P;;;;;;
D;255;2685832;4;20020201 11:32;V;;;;;;
B;255;2685846;5;20020201 11:32;;;8;POOLEY ST;BURONGA;2739;992.7;M;20010115;20010215;35000;A;R;RESIDENCE;;AA;AC;;8166057;
C;255;2685846;5;20020201 11:32;725//756961 Western Land Lease 7000 LEASE OVER PROPERTY;
D;255;2685846;5;20020201 11:32;P;;;;;;
D;255;2685846;5;20020201 11:32;P;;;;;;
D;255;2685846;5;20020201 11:32;V;;;;;;
B;255;2685860;6;20020201 11:32;;;9;ROSE ST;BURONGA;2739;999;M;20011026;20011206;55000;A;R;RESIDENCE;;AA;;;8218820;
C;255;2685860;6;20020201 11:32;733//756961;
D;255;2685860;6;20020201 11:32;P;;;;;;
D;255;2685860;6;20020201 11:32;V;;;;;;
B;255;2685920;7;20020201 11:32;;3;;SILVERCITY HWY;BURONGA;2739;;;20011009;20011026;74000;;R;RESIDENCE;3;;;;8277287;
C;255;2685920;7;20020201 11:32;3//35991;
D;255;2685920;7;20020201 11:32;P;;;;;;
B;255;2686203;8;20020201 11:32;;;15;MILLIE ST;DARETON;2717;1012;M;20011129;20011210;49000;A;R;RESIDENCE;;AJ;;;8241428;
C;255;2686203;8;20020201 11:32;12/3/758338;
D;255;2686203;8;20020201 11:32;P;;;;;;
D;255;2686203;8;20020201 11:32;V;;;;;;
D;255;2686203;8;20020201 11:32;V;;;;;;
B;255;2686216;9;20020201 11:32;;;10;MITCHELL AVE;DARETON;2717;815.7;M;20011112;20011220;10000;A;R;RESIDENCE;;AJ;;;8313790;
C;255;2686216;9;20020201 11:32;9/15/758338;
D;255;2686216;9;20020201 11:32;P;;;;;;
D;255;2686216;9;20020201 11:32;V;;;;;;
D;255;2686216;9;20020201 11:32;V;;;;;;
B;255;2686256;10;20020201 11:32;;;7;RIVERVIEW DR;DARETON;2717;1044;M;20011127;20011214;10000;A;V;VACANT LAND;;AJ;;;8235230;
C;255;2686256;10;20020201 11:32;2/19/758338;
D;255;2686256;10;20020201 11:32;P;;;;;;
D;255;2686256;10;20020201 11:32;V;;;;;;
D;255;2686256;10;20020201 11:32;V;;;;;;
B;255;2686507;11;20020201 11:32;;;42;WADSWORTH DR;GOL GOL;2738;1634;M;20011109;20011113;52500;A;V;VACANT LAND;;AV;;;8230157;
C;255;2686507;11;20020201 11:32;42//1009699;
D;255;2686507;11;20020201 11:32;P;;;;;;
D;255;2686507;11;20020201 11:32;P;;;;;;
D;255;2686507;11;20020201 11:32;V;;;;;;
D;255;2686507;11;20020201 11:32;V;;;;;;
B;255;2686790;12;20020201 11:32;;4;228;ADAMS ST;WENTWORTH;2648;;;20010917;20011026;95000;;R;RESIDENCE;4;;;;8269656;
C;255;2686790;12;20020201 11:32;4//39217;
D;255;2686790;12;20020201 11:32;P;;;;;;
D;255;2686790;12;20020201 11:32;V;;;;;;
D;255;2686790;12;20020201 11:32;V;;;;;;
B;255;2686790;13;20020201 11:32;;5;228;ADAMS ST;WENTWORTH;2648;;;20010917;20011026;95000;;R;RESIDENCE;5;;;;8269656;
C;255;2686790;13;20020201 11:32;5//39217;
D;255;2686790;13;20020201 11:32;P;;;;;;
D;255;2686790;13;20020201 11:32;V;;;;;;
D;255;2686790;13;20020201 11:32;V;;;;;;
B;255;2687035;14;20020201 11:32;;1;155;DARLING ST;WENTWORTH;2648;;;20011003;20011119;280000;;R;RESIDENCE;1;;;;8296777;
C;255;2687035;14;20020201 11:32;1//SP 54258;
D;255;2687035;14;20020201 11:32;P;;;;;;
D;255;2687035;14;20020201 11:32;P;;;;;;
D;255;2687035;14;20020201 11:32;V;;;;;;
B;255;2687035;15;20020201 11:32;;2;155;DARLING ST;WENTWORTH;2648;;;20011003;20011119;280000;;R;RESIDENCE;2;;;;8296777;
C;255;2687035;15;20020201 11:32;2//SP 54258;
D;255;2687035;15;20020201 11:32;P;;;;;;
D;255;2687035;15;20020201 11:32;P;;;;;;
D;255;2687035;15;20020201 11:32;V;;;;;;
B;255;2687035;16;20020201 11:32;;4;155;DARLING ST;WENTWORTH;2648;;;20011003;20011119;280000;;R;RESIDENCE;4;;;;8296777;
C;255;2687035;16;20020201 11:32;4//SP 54258;
D;255;2687035;16;20020201 11:32;P;;;;;;
D;255;2687035;16;20020201 11:32;P;;;;;;
D;255;2687035;16;20020201 11:32;V;;;;;;
B;255;2687035;17;20020201 11:32;;6;155;DARLING ST;WENTWORTH;2648;;;20011003;20011119;280000;;R;RESIDENCE;6;;;;8296777;
C;255;2687035;17;20020201 11:32;6//SP 54258;
D;255;2687035;17;20020201 11:32;P;;;;;;
D;255;2687035;17;20020201 11:32;P;;;;;;
D;255;2687035;17;20020201 11:32;V;;;;;;
B;255;2687182;18;20020201 11:32;;;16;PERRY ST;WENTWORTH;2648;703;M;20011116;20011224;43000;A;R;RESIDENCE;;AL;;;8249993;
C;255;2687182;18;20020201 11:32;1//839761;
D;255;2687182;18;20020201 11:32;P;;;;;;
D;255;2687182;18;20020201 11:32;P;;;;;;
D;255;2687182;18;20020201 11:32;V;;;;;;
B;255;2687433;19;20020201 11:32;;;;YANCO RD;COOMEALLA;2717;2.066;H;20010924;20011107;126900;R;R;RESIDENCE;;AY;;;8163874;
C;255;2687433;19;20020201 11:32;29//756961 Farm Number 9 LEASE OVER PROPERTY;
D;255;2687433;19;20020201 11:32;P;;;;;;
