A;137;20030501 12:44;PBARBER;
B;137;1388750;1;20030501 12:44;;;33;BADMINTON RD;CROYDON;2132;467.9;M;20030224;20030407;550000;A;R;RESIDENCE;;EG;;;9531599;
C;137;1388750;1;20030501 12:44;2//503946;
D;137;1388750;1;20030501 12:44;P;;;;;;
D;137;1388750;1;20030501 12:44;V;;;;;;
B;137;1389151;2;20030501 12:44;;6;18;BELMORE ST;BURWOOD;2134;;;20030222;20030416;295000;;R;RESIDENCE;6;;;;9553228;
C;137;1389151;2;20030501 12:44;6//SP 8825;
D;137;1389151;2;20030501 12:44;P;;;;;;
D;137;1389151;2;20030501 12:44;V;;;;;;
D;137;1389151;2;20030501 12:44;V;;;;;;
B;137;1389467;3;20030501 12:44;;;13;BLAIR AVE;CROYDON;2132;436.3;M;20021130;20030113;713000;A;R;RESIDENCE;;EJ;;;9529769;
C;137;1389467;3;20030501 12:44;6//15867;
D;137;1389467;3;20030501 12:44;P;;;;;;
D;137;1389467;3;20030501 12:44;P;;;;;;
D;137;1389467;3;20030501 12:44;V;;;;;;
B;137;1389469;4;20030501 12:44;;;17;BLAIR AVE;CROYDON;2132;436.3;M;20020713;20020916;830000;A;R;RESIDENCE;;EJ;;;9524374;
C;137;1389469;4;20030501 12:44;4//15867;
D;137;1389469;4;20030501 12:44;P;;;;;;
D;137;1389469;4;20030501 12:44;P;;;;;;
D;137;1389469;4;20030501 12:44;V;;;;;;
B;137;1389915;5;20030501 12:44;;8;16;BURWOOD RD;BURWOOD;2134;;;20030312;20030411;330000;;R;RESIDENCE;8;;;;9528920;
C;137;1389915;5;20030501 12:44;8//SP 63538;
D;137;1389915;5;20030501 12:44;P;;;;;;
D;137;1389915;5;20030501 12:44;P;;;;;;
D;137;1389915;5;20030501 12:44;V;;;;;;
B;137;1389915;6;20030501 12:44;;10;16;BURWOOD RD;BURWOOD;2134;;;20030218;20030401;355000;;R;RESIDENCE;10;;;;9538460;
C;137;1389915;6;20030501 12:44;10//SP 63538;
D;137;1389915;6;20030501 12:44;P;;;;;;
D;137;1389915;6;20030501 12:44;V;;;;;;
D;137;1389915;6;20030501 12:44;V;;;;;;
B;137;1390324;7;20030501 12:44;;;209;BURWOOD RD;CROYDON PARK;2133;;;20030226;20030411;565000;A;R;RESIDENCE;;EM;;;9550739;
C;137;1390324;7;20030501 12:44;3//14886;
D;137;1390324;7;20030501 12:44;P;;;;;;
D;137;1390324;7;20030501 12:44;P;;;;;;
D;137;1390324;7;20030501 12:44;V;;;;;;
B;137;1390419;8;20030501 12:44;;;69;BURWOOD RD;ENFIELD;2136;430;M;20030217;20030402;622000;A;R;RESIDENCE;;EM;;;9528635;
C;137;1390419;8;20030501 12:44;C//8241;
D;137;1390419;8;20030501 12:44;P;;;;;;
D;137;1390419;8;20030501 12:44;P;;;;;;
D;137;1390419;8;20030501 12:44;V;;;;;;
B;137;1390824;9;20030501 12:44;;;68;CHELTENHAM RD;CROYDON;2132;;;20030222;20030407;430000;A;R;RESIDENCE;;EJ;;;9547871;
C;137;1390824;9;20030501 12:44;3//165283;
D;137;1390824;9;20030501 12:44;P;;;;;;
D;137;1390824;9;20030501 12:44;P;;;;;;
D;137;1390824;9;20030501 12:44;V;;;;;;
B;137;1391718;10;20030501 12:44;;;9;ETHEL ST;BURWOOD;2134;;;20021130;20030328;1310000;A;R;RESIDENCE;;EF;;;9540750;
C;137;1391718;10;20030501 12:44;2//165616;
D;137;1391718;10;20030501 12:44;P;;;;;;
D;137;1391718;10;20030501 12:44;P;;;;;;
D;137;1391718;10;20030501 12:44;V;;;;;;
B;137;1392297;11;20030501 12:44;;2;17;GEORGE ST;BURWOOD;2134;;;20030301;20030407;406000;;3;HOME UNIT;2;;;;9524433;
C;137;1392297;11;20030501 12:44;2//SP 2497;
D;137;1392297;11;20030501 12:44;P;;;;;;
D;137;1392297;11;20030501 12:44;P;;;;;;
D;137;1392297;11;20030501 12:44;V;;;;;;
D;137;1392297;11;20030501 12:44;V;;;;;;
B;137;1392889;12;20030501 12:44;;;14 A;GROSVENOR ST;CROYDON;2132;385.7;M;20030208;20030328;626000;A;R;RESIDENCE;;ER;;;9523782;
C;137;1392889;12;20030501 12:44;46/4/733;
D;137;1392889;12;20030501 12:44;P;;;;;;
D;137;1392889;12;20030501 12:44;V;;;;;;
B;137;1393263;13;20030501 12:44;;;59;KEMBLA ST;CROYDON PARK;2133;;;20030228;20030411;470000;A;R;RESIDENCE;;ES;;;9546647;
C;137;1393263;13;20030501 12:44;2//534996;
D;137;1393263;13;20030501 12:44;P;;;;;;
D;137;1393263;13;20030501 12:44;P;;;;;;
D;137;1393263;13;20030501 12:44;V;;;;;;
D;137;1393263;13;20030501 12:44;V;;;;;;
B;137;1393832;14;20030501 12:44;;;174;LIVERPOOL RD;ENFIELD;2136;;;20030221;20030417;1280000;B;V;VACANT LAND;;CL;;;9547811;
C;137;1393832;14;20030501 12:44;1//305045;
D;137;1393832;14;20030501 12:44;P;;;;;;
D;137;1393832;14;20030501 12:44;V;;;;;;
D;137;1393832;14;20030501 12:44;V;;;;;;
B;137;1395668;15;20030501 12:44;;;55;PARK RD;BURWOOD;2134;1941;M;20020913;20030328;2800000;A;R;RESIDENCE;;EC;;;9500693;
C;137;1395668;15;20030501 12:44;1//188071;
D;137;1395668;15;20030501 12:44;P;;;;;;
D;137;1395668;15;20030501 12:44;P;;;;;;
B;137;1395904;16;20030501 12:44;;;4;PHILIP ST;STRATHFIELD;2135;524.8;M;20021215;20030314;870000;A;R;RESIDENCE;;EP;;;9521497;
C;137;1395904;16;20030501 12:44;1//900155;
D;137;1395904;16;20030501 12:44;P;;;;;;
D;137;1395904;16;20030501 12:44;P;;;;;;
D;137;1395904;16;20030501 12:44;V;;;;;;
D;137;1395904;16;20030501 12:44;V;;;;;;
B;137;1396396;17;20030501 12:44;;;16 B;ROBINSON ST;CROYDON;2132;;;20030222;20030407;550000;A;R;RESIDENCE;;EJ;;;9522629;
C;137;1396396;17;20030501 12:44;B//406474;
D;137;1396396;17;20030501 12:44;P;;;;;;
D;137;1396396;17;20030501 12:44;P;;;;;;
D;137;1396396;17;20030501 12:44;V;;;;;;
D;137;1396396;17;20030501 12:44;V;;;;;;
B;137;1396756;18;20030501 12:44;;2;12;RUSSELL ST;STRATHFIELD;2135;;;20030403;20030403;160000;;R;RESIDENCE;2;;;;9528572;
C;137;1396756;18;20030501 12:44;2//SP 440;
D;137;1396756;18;20030501 12:44;P;;;;;;
D;137;1396756;18;20030501 12:44;V;;;;;;
D;137;1396756;18;20030501 12:44;V;;;;;;
B;137;1396756;19;20030501 12:44;;22;12;RUSSELL ST;STRATHFIELD;2135;;;20030403;20030403;160000;;R;RESIDENCE;22;;;;9528572;
C;137;1396756;19;20030501 12:44;22//SP 440;
D;137;1396756;19;20030501 12:44;P;;;;;;
D;137;1396756;19;20030501 12:44;V;;;;;;
B;137;1398978;20;20030501 12:44;;7;11;WILGA ST;BURWOOD;2134;;;20030228;20030404;355000;;R;RESIDENCE;7;;;;9525864;
C;137;1398978;20;20030501 12:44;7//SP 19051;
D;137;1398978;20;20030501 12:44;P;;;;;;
D;137;1398978;20;20030501 12:44;P;;;;;;
D;137;1398978;20;20030501 12:44;V;;;;;;
