A;091;20030303 12:17;PDANN;
B;091;897561;1;20030303 12:17;;;23;ADAMS ST;CURL CURL;2096;;;20030104;20030217;720000;A;R;RESIDENCE;;EQ;;;9395455;
C;091;897561;1;20030303 12:17;56//6260;
D;091;897561;1;20030303 12:17;P;;;;;;
D;091;897561;1;20030303 12:17;P;;;;;;
D;091;897561;1;20030303 12:17;V;;;;;;
D;091;897561;1;20030303 12:17;V;;;;;;
B;091;899058;2;20030303 12:17;;;91;ANZAC AVE;COLLAROY;2097;727.2;M;20021006;20030124;1065000;A;R;RESIDENCE;;FJ;;;9395869;
C;091;899058;2;20030303 12:17;15//27482;
D;091;899058;2;20030303 12:17;P;;;;;;
D;091;899058;2;20030303 12:17;P;;;;;;
D;091;899058;2;20030303 12:17;V;;;;;;
D;091;899058;2;20030303 12:17;V;;;;;;
B;091;899332;3;20030303 12:17;;;11;ARANDA DR;FRENCHS FOREST;2086;708.2;M;20020726;20020909;630500;A;R;RESIDENCE;;EW;;;9177933;
C;091;899332;3;20030303 12:17;26//226810;
D;091;899332;3;20030303 12:17;P;;;;;;
D;091;899332;3;20030303 12:17;P;;;;;;
D;091;899332;3;20030303 12:17;V;;;;;;
B;091;899584;4;20030303 12:17;;;124;ARTHUR ST;FORESTVILLE;2087;771.4;M;20021024;20021202;600000;A;R;RESIDENCE;;EX;;;9202190;
C;091;899584;4;20030303 12:17;5//420225;
D;091;899584;4;20030303 12:17;P;;;;;;
D;091;899584;4;20030303 12:17;P;;;;;;
D;091;899584;4;20030303 12:17;V;;;;;;
B;091;900875;5;20030303 12:17;;;31;BEACON HILL RD;BEACON HILL;2100;480.6;M;20021206;20030117;680000;A;R;RESIDENCE;;EP;;;9407020;
C;091;900875;5;20030303 12:17;1//545478;
D;091;900875;5;20030303 12:17;P;;;;;;
D;091;900875;5;20030303 12:17;P;;;;;;
D;091;900875;5;20030303 12:17;V;;;;;;
D;091;900875;5;20030303 12:17;V;;;;;;
B;091;902196;6;20030303 12:17;;;77;BOORALIE RD;TERREY HILLS;2084;695.6;M;20021122;20030219;630500;A;R;RESIDENCE;;EC;;;9399499;
C;091;902196;6;20030303 12:17;2//238196;
D;091;902196;6;20030303 12:17;P;;;;;;
D;091;902196;6;20030303 12:17;P;;;;;;
D;091;902196;6;20030303 12:17;V;;;;;;
B;091;902379;7;20030303 12:17;;5;26;BORONIA ST;DEE WHY;2099;;;20030116;20030219;485000;;R;RESIDENCE;5;;;;9408823;
C;091;902379;7;20030303 12:17;5//SP 11312;
D;091;902379;7;20030303 12:17;P;;;;;;
D;091;902379;7;20030303 12:17;P;;;;;;
D;091;902379;7;20030303 12:17;V;;;;;;
B;091;902673;8;20030303 12:17;;;69;BRIGHTON ST;CURL CURL;2096;;;20021230;20030218;832500;A;R;RESIDENCE;;EQ;;;9394882;
C;091;902673;8;20030303 12:17;12/2/987;
D;091;902673;8;20030303 12:17;P;;;;;;
D;091;902673;8;20030303 12:17;P;;;;;;
D;091;902673;8;20030303 12:17;V;;;;;;
D;091;902673;8;20030303 12:17;V;;;;;;
B;091;902845;9;20030303 12:17;;;1092;BROOKER AVE;DUFFYS FOREST;2084;2.703;H;20020608;20020808;160000;R;V;VACANT LAND;;RR;;;9385692;
C;091;902845;9;20030303 12:17;1092//752038;
D;091;902845;9;20030303 12:17;P;;;;;;
D;091;902845;9;20030303 12:17;P;;;;;;
D;091;902845;9;20030303 12:17;P;;;;;;
D;091;902845;9;20030303 12:17;P;;;;;;
D;091;902845;9;20030303 12:17;P;;;;;;
D;091;902845;9;20030303 12:17;P;;;;;;
D;091;902845;9;20030303 12:17;V;;;;;;
D;091;902845;9;20030303 12:17;V;;;;;;
D;091;902845;9;20030303 12:17;V;;;;;;
D;091;902845;9;20030303 12:17;V;;;;;;
D;091;902845;9;20030303 12:17;V;;;;;;
D;091;902845;9;20030303 12:17;V;;;;;;
B;091;902846;10;20030303 12:17;;;1090;BROOKER AVE;DUFFYS FOREST;2084;2.177;H;20020608;20020808;28500;R;V;VACANT LAND;;RR;;;9385688;
C;091;902846;10;20030303 12:17;1090//752038;
D;091;902846;10;20030303 12:17;P;;;;;;
D;091;902846;10;20030303 12:17;P;;;;;;
D;091;902846;10;20030303 12:17;P;;;;;;
D;091;902846;10;20030303 12:17;V;;;;;;
D;091;902846;10;20030303 12:17;V;;;;;;
D;091;902846;10;20030303 12:17;V;;;;;;
D;091;902846;10;20030303 12:17;V;;;;;;
B;091;903455;11;20030303 12:17;;;10;CALEYI WAY;BELROSE;2085;555.1;M;20021220;20030131;760000;A;R;RESIDENCE;;EV;;;9384676;
C;091;903455;11;20030303 12:17;23//285490;
D;091;903455;11;20030303 12:17;P;;;;;;
D;091;903455;11;20030303 12:17;P;;;;;;
D;091;903455;11;20030303 12:17;V;;;;;;
D;091;903455;11;20030303 12:17;V;;;;;;
B;091;903876;12;20030303 12:17;;2;10;CAMPBELL PDE;MANLY VALE;2093;;;20021118;20030117;325000;;R;RESIDENCE;2;;;;9380241;
C;091;903876;12;20030303 12:17;2//SP 7428;
D;091;903876;12;20030303 12:17;P;;;;;;
D;091;903876;12;20030303 12:17;P;;;;;;
D;091;903876;12;20030303 12:17;V;;;;;;
D;091;903876;12;20030303 12:17;V;;;;;;
B;091;904111;13;20030303 12:17;;;64;CARAWA RD;CROMER;2099;575.4;M;20020710;20020801;540000;A;R;RESIDENCE;;FE;;;9401526;
C;091;904111;13;20030303 12:17;15//28592;
D;091;904111;13;20030303 12:17;P;;;;;;
D;091;904111;13;20030303 12:17;P;;;;;;
D;091;904111;13;20030303 12:17;V;;;;;;
B;091;905012;14;20030303 12:17;;11;36;CAVILL ST;QUEENSCLIFF;2096;;;20021230;20030211;365000;;R;RESIDENCE;11;;;;9389522;
C;091;905012;14;20030303 12:17;11//SP 1781;
D;091;905012;14;20030303 12:17;P;;;;;;
D;091;905012;14;20030303 12:17;P;;;;;;
D;091;905012;14;20030303 12:17;V;;;;;;
D;091;905012;14;20030303 12:17;V;;;;;;
B;091;905572;15;20030303 12:17;;10;15;CLARKE ST;NARRABEEN;2101;;;20030121;20030214;370000;;R;RESIDENCE;10;;;;9409301;
C;091;905572;15;20030303 12:17;10//SP 8823;
D;091;905572;15;20030303 12:17;P;;;;;;
D;091;905572;15;20030303 12:17;V;;;;;;
D;091;905572;15;20030303 12:17;V;;;;;;
B;091;905689;16;20030303 12:17;;9;26;CLARKE ST;NARRABEEN;2101;;;20021126;20030122;427500;;R;RESIDENCE;9;;;;9389841;
C;091;905689;16;20030303 12:17;9//SP 6938;
D;091;905689;16;20030303 12:17;P;;;;;;
D;091;905689;16;20030303 12:17;P;;;;;;
D;091;905689;16;20030303 12:17;V;;;;;;
D;091;905689;16;20030303 12:17;V;;;;;;
B;091;905733;17;20030303 12:17;;6;16;CLARKE ST;NARRABEEN;2101;;;20021203;20030114;370000;;R;RESIDENCE;6;;;;9393147;
C;091;905733;17;20030303 12:17;6//SP 6548;
D;091;905733;17;20030303 12:17;P;;;;;;
D;091;905733;17;20030303 12:17;V;;;;;;
B;091;906340;18;20030303 12:17;;;38;COLLAROY ST;COLLAROY;2097;328.83;M;20021213;20030207;750000;A;R;RESIDENCE;;FT;;;9379973;
C;091;906340;18;20030303 12:17;1//166747;
D;091;906340;18;20030303 12:17;P;;;;;;
D;091;906340;18;20030303 12:17;V;;;;;;
B;091;907664;19;20030303 12:17;;;21;COWRANG AVE;TERREY HILLS;2084;834.7;M;20021018;20021202;655000;A;R;RESIDENCE;;EC;;;9390830;
C;091;907664;19;20030303 12:17;71//240989;
D;091;907664;19;20030303 12:17;P;;;;;;
D;091;907664;19;20030303 12:17;P;;;;;;
D;091;907664;19;20030303 12:17;V;;;;;;
B;091;908571;20;20030303 12:17;;;11;DAISY ST;NORTH BALGOWLAH;2093;364;M;20020920;20021220;785000;A;R;RESIDENCE;;ES;;;9398002;
