A;091;20110801 02:07;VALNET;
B;091;2826302;1;20110801 02:07;;;52;MADISON WAY;ALLAMBIE HEIGHTS;2100;339.5;M;20110507;20110707;905000;A;R;RESIDENCE;;EM;;0;AG389675;
C;091;2826302;1;20110801 02:07;2305/1027892;
D;091;2826302;1;20110801 02:07;P;;;;;;
D;091;2826302;1;20110801 02:07;P;;;;;;
D;091;2826302;1;20110801 02:07;V;;;;;;
D;091;2826302;1;20110801 02:07;V;;;;;;
B;091;2819305;2;20110801 02:07;;15;24;DEE WHY PDE;DEE WHY;2099;;;20110602;20110714;599000;;R;RESIDENCE;15;;;0;AG380518;
C;091;2819305;2;20110801 02:07;15/SP65579;
D;091;2819305;2;20110801 02:07;P;;;;;;
D;091;2819305;2;20110801 02:07;V;;;;;;
D;091;2819305;2;20110801 02:07;V;;;;;;
B;091;2899548;3;20110801 02:07;;143;13;ORCHARD RD;BROOKVALE;2100;;;20110520;20110704;279000;;R;RESIDENCE;143;;;0;AG382420;
C;091;2899548;3;20110801 02:07;143/SP67555;
D;091;2899548;3;20110801 02:07;P;;;;;;
D;091;2899548;3;20110801 02:07;V;;;;;;
B;091;3399836;4;20110801 02:07;;9;178;PACIFIC PDE;DEE WHY;2099;;;20110624;20110715;925000;;R;RESIDENCE;9;;;0;AG371554;
C;091;3399836;4;20110801 02:07;9/SP80981;
D;091;3399836;4;20110801 02:07;P;;;;;;
D;091;3399836;4;20110801 02:07;P;;;;;;
D;091;3399836;4;20110801 02:07;V;;;;;;
B;091;3488204;5;20110801 02:07;;1;1238;PITTWATER RD;NARRABEEN;2101;;;20110412;20110713;1750000;;R;RESIDENCE;1;;;0;AG377597;
C;091;3488204;5;20110801 02:07;1/SP83024;
D;091;3488204;5;20110801 02:07;P;;;;;;
D;091;3488204;5;20110801 02:07;V;;;;;;
B;091;927883;6;20110801 02:07;;;55;NANDI AVE;FRENCHS FOREST;2086;556.4;M;20110416;20110530;850000;A;R;RESIDENCE;;ET;;0;AG392448;
C;091;927883;6;20110801 02:07;59/221359;
D;091;927883;6;20110801 02:07;P;;;;;;
D;091;927883;6;20110801 02:07;P;;;;;;
D;091;927883;6;20110801 02:07;V;;;;;;
D;091;927883;6;20110801 02:07;V;;;;;;
B;091;911923;7;20110801 02:07;;;28;ESSILIA ST;COLLAROY PLATEAU;2097;422.75;M;20110420;20110719;765000;A;R;RESIDENCE;;EG;;0;AG385652;
C;091;911923;7;20110801 02:07;37/Q/33000;
D;091;911923;7;20110801 02:07;P;;;;;;
D;091;911923;7;20110801 02:07;V;;;;;;
D;091;911923;7;20110801 02:07;V;;;;;;
B;091;930848;8;20110801 02:07;;11;57;PACIFIC PDE;DEE WHY;2099;;;20110617;20110715;350000;;R;RESIDENCE;11;;;0;AG382216;
C;091;930848;8;20110801 02:07;11/SP5092;
D;091;930848;8;20110801 02:07;P;;;;;;
D;091;930848;8;20110801 02:07;V;;;;;;
D;091;930848;8;20110801 02:07;V;;;;;;
B;091;901233;9;20110801 02:07;;;6;BENTLEY AVE;FORESTVILLE;2087;482.7;M;20110418;20110715;875000;A;R;RESIDENCE;;EX;;0;AG389324;
C;091;901233;9;20110801 02:07;201/850086;
D;091;901233;9;20110801 02:07;P;;;;;;
D;091;901233;9;20110801 02:07;V;;;;;;
D;091;901233;9;20110801 02:07;V;;;;;;
B;091;917625;10;20110801 02:07;;;5;HILMER ST;FRENCHS FOREST;2086;376.2;M;20110603;20110715;750000;A;R;RESIDENCE;;EY;;0;AG387931;
C;091;917625;10;20110801 02:07;201/850798;
D;091;917625;10;20110801 02:07;P;;;;;;
D;091;917625;10;20110801 02:07;P;;;;;;
D;091;917625;10;20110801 02:07;V;;;;;;
B;091;931051;11;20110801 02:07;;5;95;PACIFIC PDE;DEE WHY;2099;;;20110602;20110704;430000;;R;RESIDENCE;5;;;0;AG374178;
C;091;931051;11;20110801 02:07;5/SP8914;
D;091;931051;11;20110801 02:07;P;;;;;;
D;091;931051;11;20110801 02:07;V;;;;;;
B;091;898750;12;20110801 02:07;;;40;ALTONA AVE;FORESTVILLE;2087;695.6;M;20110331;20110718;1162500;A;R;RESIDENCE;;EX;;0;AG390487;
C;091;898750;12;20110801 02:07;3/30924;
