A;157;20030501 12:46;PBARBER;
B;157;1725325;1;20030501 12:46;;;38;ALBERT ST;SOUTH KEMPSEY;2440;607;M;20021023;20021120;49000;A;R;RESIDENCE;;AC;AC;;9545737;
C;157;1725325;1;20030501 12:46;5//36303;
D;157;1725325;1;20030501 12:46;P;;;;;;
D;157;1725325;1;20030501 12:46;P;;;;;;
D;157;1725325;1;20030501 12:46;V;;;;;;
B;157;1725357;2;20030501 12:46;;;5;ANGUS AVE;WEST KEMPSEY;2440;;;20030404;20030404;55000;A;R;RESIDENCE;;AA;AC;;9524917;
C;157;1725357;2;20030501 12:46;4/B/19728;
D;157;1725357;2;20030501 12:46;P;;;;;;
D;157;1725357;2;20030501 12:46;V;;;;;;
D;157;1725357;2;20030501 12:46;V;;;;;;
B;157;1725808;3;20030501 12:46;;2;2;CAMERON ST;WEST KEMPSEY;2440;;;20030327;20030411;108000;;R;RESIDENCE;2;;;;9537261;
C;157;1725808;3;20030501 12:46;2//SP 19135;
D;157;1725808;3;20030501 12:46;P;;;;;;
D;157;1725808;3;20030501 12:46;V;;;;;;
B;157;1726421;4;20030501 12:46;;;2;GEORGE GILFILLAN AVE;EAST KEMPSEY;2440;645;M;20030228;20030411;141000;A;R;RESIDENCE;;AB;AC;;9552304;
C;157;1726421;4;20030501 12:46;8//38979;
D;157;1726421;4;20030501 12:46;P;;;;;;
D;157;1726421;4;20030501 12:46;V;;;;;;
B;157;1727205;5;20030501 12:46;;;59;LORD ST;EAST KEMPSEY;2440;512.2;M;20030204;20030310;130000;A;R;RESIDENCE;;AC;AC;;9538257;
C;157;1727205;5;20030501 12:46;2//20661;
D;157;1727205;5;20030501 12:46;P;;;;;;
D;157;1727205;5;20030501 12:46;P;;;;;;
D;157;1727205;5;20030501 12:46;V;;;;;;
D;157;1727205;5;20030501 12:46;V;;;;;;
B;157;1727585;6;20030501 12:46;;;12;NEVILLE EVERSON ST;WEST KEMPSEY;2440;556.4;M;20030403;20030403;36000;A;R;RESIDENCE;;AA;ACI;;9518743;
C;157;1727585;6;20030501 12:46;6//36025;
D;157;1727585;6;20030501 12:46;P;;;;;;
D;157;1727585;6;20030501 12:46;P;;;;;;
D;157;1727585;6;20030501 12:46;V;;;;;;
D;157;1727585;6;20030501 12:46;V;;;;;;
D;157;1727585;6;20030501 12:46;V;;;;;;
B;157;1727949;7;20030501 12:46;;;19;REGINALD WARD ST;SOUTH KEMPSEY;2440;720.8;M;20030324;20030416;75000;A;R;RESIDENCE;;AC;AC;;9550455;
C;157;1727949;7;20030501 12:46;15//238595;
D;157;1727949;7;20030501 12:46;P;;;;;;
D;157;1727949;7;20030501 12:46;V;;;;;;
D;157;1727949;7;20030501 12:46;V;;;;;;
B;157;1729206;8;20030501 12:46;;;;WIDE ST;KEMPSEY;2440;4806;M;20020502;20020613;35000;R;V;VACANT LAND;;AF;RV;;9538360;
C;157;1729206;8;20030501 12:46;1//197366;
D;157;1729206;8;20030501 12:46;P;;;;;;
D;157;1729206;8;20030501 12:46;V;;;;;;
D;157;1729206;8;20030501 12:46;V;;;;;;
B;157;1729582;9;20030501 12:46;;;;ROCKS VIEW CRES;SPENCERVILLE;2431;1.949;H;20030226;20030321;141200;R;R;RESIDENCE;;RA;RR;;9531422;
C;157;1729582;9;20030501 12:46;39//819450;
D;157;1729582;9;20030501 12:46;P;;;;;;
D;157;1729582;9;20030501 12:46;P;;;;;;
D;157;1729582;9;20030501 12:46;V;;;;;;
D;157;1729582;9;20030501 12:46;V;;;;;;
B;157;1730395;10;20030501 12:46;;;20;COOK DR;SOUTH WEST ROCKS;2431;681.8;M;20030217;20030331;415000;A;R;RESIDENCE;;AL;AC;;9532907;
C;157;1730395;10;20030501 12:46;77//805382;
D;157;1730395;10;20030501 12:46;P;;;;;;
D;157;1730395;10;20030501 12:46;P;;;;;;
D;157;1730395;10;20030501 12:46;V;;;;;;
D;157;1730395;10;20030501 12:46;V;;;;;;
B;157;1730438;11;20030501 12:46;;;28;CURRAWONG CRES;SOUTH WEST ROCKS;2431;663.6;M;20030328;20030415;227000;A;R;RESIDENCE;;AQ;AC;;9544168;
C;157;1730438;11;20030501 12:46;168//247665;
D;157;1730438;11;20030501 12:46;P;;;;;;
D;157;1730438;11;20030501 12:46;V;;;;;;
B;157;1730838;12;20030501 12:46;;;113;GREGORY ST;SOUTH WEST ROCKS;2431;474.3;M;20030213;20030324;215000;A;R;RESIDENCE;;AL;AC;;9536814;
C;157;1730838;12;20030501 12:46;2//21927;
D;157;1730838;12;20030501 12:46;P;;;;;;
D;157;1730838;12;20030501 12:46;P;;;;;;
D;157;1730838;12;20030501 12:46;V;;;;;;
B;157;1730967;13;20030501 12:46;;6;11;HILL ST;SOUTH WEST ROCKS;2431;;;20030303;20030407;265000;;R;RESIDENCE;6;;;;9533174;
C;157;1730967;13;20030501 12:46;6//SP 15050;
D;157;1730967;13;20030501 12:46;P;;;;;;
D;157;1730967;13;20030501 12:46;V;;;;;;
B;157;1731177;14;20030501 12:46;;5;31;LIVINGSTONE ST;SOUTH WEST ROCKS;2431;;;20030203;20030403;377500;;R;RESIDENCE;5;;;;9522523;
C;157;1731177;14;20030501 12:46;5//SP 58666;
D;157;1731177;14;20030501 12:46;P;;;;;;
D;157;1731177;14;20030501 12:46;V;;;;;;
B;157;1731392;15;20030501 12:46;;2;76;MITCHELL ST;SOUTH WEST ROCKS;2431;;;20030320;20030416;249500;;R;RESIDENCE;2;;;;9548841;
C;157;1731392;15;20030501 12:46;2//SP 44929;
D;157;1731392;15;20030501 12:46;P;;;;;;
D;157;1731392;15;20030501 12:46;V;;;;;;
D;157;1731392;15;20030501 12:46;V;;;;;;
B;157;1731627;16;20030501 12:46;;1;21;PARAGON AVE;SOUTH WEST ROCKS;2431;;;20030221;20030404;360000;;R;RESIDENCE;1;;;;9534208;
C;157;1731627;16;20030501 12:46;1//SP 49991;
D;157;1731627;16;20030501 12:46;P;;;;;;
D;157;1731627;16;20030501 12:46;P;;;;;;
D;157;1731627;16;20030501 12:46;V;;;;;;
