A;062;20020916 13:49;PDANN;
B;062;535433;1;20020916 13:49;;;;PH JERILDERIE SOUTH;JERILDERIE;2716;156.8;H;20020801;20020808;96000;R;3;FARM;;RD;;;8921286;
C;062;535433;1;20020916 13:49;169//756426;
D;062;535433;1;20020916 13:49;P;;;;;;
D;062;535433;1;20020916 13:49;P;;;;;;
D;062;535433;1;20020916 13:49;V;;;;;;
B;062;535879;2;20020916 13:49;;;;NOWRANIE ST;JERILDERIE;2716;1012;M;20020612;20020823;66000;Z;R;RESIDENCE;;ZA;;;8936688;
C;062;535879;2;20020916 13:49;C//388915;
D;062;535879;2;20020916 13:49;P;;;;;;
D;062;535879;2;20020916 13:49;V;;;;;;
D;062;535879;2;20020916 13:49;V;;;;;;
B;062;536090;3;20020916 13:49;;;;W C I C FARMS;COLEAMBALLY;2707;216.6;H;20020708;20020815;373600;R;3;FARM;;RA;;;8898818;
C;062;536090;3;20020916 13:49;135//756458;
D;062;536090;3;20020916 13:49;P;;;;;;
D;062;536090;3;20020916 13:49;V;;;;;;
B;062;536256;4;20020916 13:49;;;;PH WUNNAMURRA;JERILDERIE;2716;2;H;20020523;20020725;115000;R;R;RESIDENCE;;RC;;;8915565;
C;062;536256;4;20020916 13:49;1//863733;
D;062;536256;4;20020916 13:49;P;;;;;;
D;062;536256;4;20020916 13:49;P;;;;;;
D;062;536256;4;20020916 13:49;V;;;;;;
D;062;536256;4;20020916 13:49;V;;;;;;
B;062;536289;5;20020916 13:49;;;;PH WUNNAMURRA;JERILDERIE;2716;338;H;20020619;20020619;682517;R;3;FARM;;RW;;;8797874;
C;062;536289;5;20020916 13:49;126//756456 Special Lease 1989/68 LEASE OVER PROPERTY;
D;062;536289;5;20020916 13:49;P;;;;;;
D;062;536289;5;20020916 13:49;V;;;;;;
D;062;536289;5;20020916 13:49;V;;;;;;
B;062;536290;6;20020916 13:49;;;;PH WUNNAMURRA;JERILDERIE;2716;354;H;20020619;20020619;682517;R;3;FARM;;RW;;;8797874;
C;062;536290;6;20020916 13:49;127//756456 Special Lease 1989/66 LEASE OVER PROPERTY;
D;062;536290;6;20020916 13:49;P;;;;;;
D;062;536290;6;20020916 13:49;V;;;;;;
Z;31;6;6;17;
