A;071;20020603 09:56;PTHIRLWELL;
B;071;552781;1;20020603 09:56;;;11;BRADNEY ST;KHANCOBAN;2642;765.1;M;20020211;20020322;65000;A;R;RESIDENCE;;AK;;;8577140;
C;071;552781;1;20020603 09:56;72//226654;
D;071;552781;1;20020603 09:56;P;;;;;;
D;071;552781;1;20020603 09:56;V;;;;;;
D;071;552781;1;20020603 09:56;V;;;;;;
B;071;552806;2;20020603 09:56;;;17;CHISHOLM ST;KHANCOBAN;2642;777.8;M;20020318;20020417;40000;A;R;RESIDENCE;;AK;;;8609081;
C;071;552806;2;20020603 09:56;40//226654;
D;071;552806;2;20020603 09:56;P;;;;;;
D;071;552806;2;20020603 09:56;P;;;;;;
D;071;552806;2;20020603 09:56;V;;;;;;
B;071;552881;3;20020603 09:56;;;18;MITCHELL AVE;KHANCOBAN;2642;720.8;M;20020404;20020429;92000;A;R;RESIDENCE;;AK;;;8575268;
C;071;552881;3;20020603 09:56;78//226654;
D;071;552881;3;20020603 09:56;P;;;;;;
D;071;552881;3;20020603 09:56;V;;;;;;
B;071;552944;4;20020603 09:56;;;12;READ ST;KHANCOBAN;2642;524.8;M;20020328;20020501;65000;A;R;RESIDENCE;;AK;;;8632587;
C;071;552944;4;20020603 09:56;157//226654;
D;071;552944;4;20020603 09:56;P;;;;;;
D;071;552944;4;20020603 09:56;V;;;;;;
B;071;553752;5;20020603 09:56;;;;CAPE ST;TUMBARUMBA;2653;297.2;M;20020327;20020424;6500;O;R;RESIDENCE;;PA;;;8566402;
C;071;553752;5;20020603 09:56;2/29/759003;
D;071;553752;5;20020603 09:56;P;;;;;;
D;071;553752;5;20020603 09:56;V;;;;;;
B;071;553755;6;20020603 09:56;;;;CAPE ST;TUMBARUMBA;2653;467.9;M;20020408;20020507;18000;A;R;RESIDENCE;;AA;;;8602593;
C;071;553755;6;20020603 09:56;5/29/759003;
D;071;553755;6;20020603 09:56;P;;;;;;
D;071;553755;6;20020603 09:56;V;;;;;;
B;071;553918;7;20020603 09:56;;;;KING ST;TUMBARUMBA;2653;1012;M;20020220;20020320;35000;A;R;RESIDENCE;;AA;;;8568548;
C;071;553918;7;20020603 09:56;A//419427;
D;071;553918;7;20020603 09:56;P;;;;;;
D;071;553918;7;20020603 09:56;P;;;;;;
D;071;553918;7;20020603 09:56;V;;;;;;
B;071;554311;8;20020603 09:56;;;108;WINTON ST;TUMBARUMBA;2653;1012;M;20020318;20020424;99500;A;R;RESIDENCE;;AA;;;8567524;
C;071;554311;8;20020603 09:56;1//618331;
D;071;554311;8;20020603 09:56;P;;;;;;
D;071;554311;8;20020603 09:56;P;;;;;;
D;071;554311;8;20020603 09:56;V;;;;;;
Z;38;8;8;20;
