A;RTSALEDATA;224;20250414 01:19;VALNET;
B;224;2528935;1;20250414 01:19;;;31;ANNETT ST;EMU PLAINS;2750;562.8;M;20240929;20250408;935000;R2;R;RESIDENCE;;RGL;;0;AU959128;
C;224;2528935;1;20250414 01:19;24/242282;
D;224;2528935;1;20250414 01:19;P;;;;;;
D;224;2528935;1;20250414 01:19;P;;;;;;
D;224;2528935;1;20250414 01:19;V;;;;;;
D;224;2528935;1;20250414 01:19;V;;;;;;
B;224;2529991;2;20250414 01:19;;;6;BAANYA PL;CRANEBROOK;2749;625.3;M;20250111;20250408;1300000;R2;R;RESIDENCE;;RAV;;0;AU962021;
C;224;2529991;2;20250414 01:19;1/785832;
D;224;2529991;2;20250414 01:19;P;;;;;;
D;224;2529991;2;20250414 01:19;V;;;;;;
D;224;2529991;2;20250414 01:19;V;;;;;;
B;224;2943413;3;20250414 01:19;;4;103;THE LAKES DRIVE;GLENMORE PARK;2745;;;20250222;20250407;850000;;R;RESIDENCE;4;;;0;AU956093;
C;224;2943413;3;20250414 01:19;4/SP68313;
D;224;2943413;3;20250414 01:19;P;;;;;;
D;224;2943413;3;20250414 01:19;P;;;;;;
D;224;2943413;3;20250414 01:19;V;;;;;;
D;224;2943413;3;20250414 01:19;V;;;;;;
B;224;2991388;4;20250414 01:19;;;7;WOODBROOK GR;GLENMORE PARK;2745;998.3;M;20250129;20250407;1699000;R2;R;RESIDENCE;;RKL;;0;AU958132;
C;224;2991388;4;20250414 01:19;10/1051616;
D;224;2991388;4;20250414 01:19;P;;;;;;
D;224;2991388;4;20250414 01:19;P;;;;;;
D;224;2991388;4;20250414 01:19;V;;;;;;
D;224;2991388;4;20250414 01:19;V;;;;;;
B;224;3411275;5;20250414 01:19;;21;13;WILSON ST;ST MARYS;2760;202;M;20250310;20250409;710000;;R;RESIDENCE;21;;;0;AU963590;
C;224;3411275;5;20250414 01:19;21/SP81331;
D;224;3411275;5;20250414 01:19;P;;;;;;
D;224;3411275;5;20250414 01:19;V;;;;;;
D;224;3411275;5;20250414 01:19;V;;;;;;
B;224;4204885;6;20250414 01:19;;305;240;GREAT WESTERN HWY;KINGSWOOD;2747;119;M;20250214;20250409;508000;;R;RESIDENCE;11;;;0;AU964834;
C;224;4204885;6;20250414 01:19;11/SP91028;
D;224;4204885;6;20250414 01:19;P;;;;;;
D;224;4204885;6;20250414 01:19;P;;;;;;
D;224;4204885;6;20250414 01:19;V;;;;;;
D;224;4204885;6;20250414 01:19;V;;;;;;
B;224;4226632;7;20250414 01:19;;5;110;CANBERRA ST;OXLEY PARK;2760;;;20250130;20250407;728000;;R;RESIDENCE;5;;;0;AU957273;
C;224;4226632;7;20250414 01:19;5/SP99821;
D;224;4226632;7;20250414 01:19;P;;;;;;
D;224;4226632;7;20250414 01:19;P;;;;;;
D;224;4226632;7;20250414 01:19;V;;;;;;
