A;172;20020102 13:01;PTHIRLWELL;
B;172;1801313;1;20020102 13:01;;;12;ARMIDALE RD;COUTTS CROSSING;2460;1928;M;20010905;20011003;87000;Z;R;RESIDENCE;;CF;AC;;8016593;
C;172;1801313;1;20020102 13:01;1//564111;
D;172;1801313;1;20020102 13:01;P;;;;;;
D;172;1801313;1;20020102 13:01;V;;;;;;
B;172;1801515;2;20020102 13:01;;;1;PARKLANDS DR;COUTTS CROSSING;2460;1128;M;20011012;20011130;18000;Z;V;VACANT LAND;;CF;AV;;8181096;
C;172;1801515;2;20020102 13:01;32//706997;
D;172;1801515;2;20020102 13:01;P;;;;;;
D;172;1801515;2;20020102 13:01;V;;;;;;
D;172;1801515;2;20020102 13:01;V;;;;;;
B;172;1802038;3;20020102 13:01;;;254;GLENS CREEK RD;NYMBOIDA;2460;20.15;H;20011005;20011102;50000;R;R;RESIDENCE;;SP;RG;;8150645;
C;172;1802038;3;20020102 13:01;457//879069;
D;172;1802038;3;20020102 13:01;P;;;;;;
D;172;1802038;3;20020102 13:01;P;;;;;;
D;172;1802038;3;20020102 13:01;V;;;;;;
B;172;1802368;4;20020102 13:01;;;52;ORARA ST;EATONSVILLE;2460;770;M;20011022;20011102;147000;Z;R;RESIDENCE;;EV;AC;;8089028;
C;172;1802368;4;20020102 13:01;PT 228//751383;
D;172;1802368;4;20020102 13:01;P;;;;;;
D;172;1802368;4;20020102 13:01;V;;;;;;
B;172;1802912;5;20020102 13:01;;;761;SEELANDS HALL RD;SEELANDS;2460;35.764;H;20010903;20010914;245000;R;R;RESIDENCE;;WT;RG;;8029882;
C;172;1802912;5;20020102 13:01;355, 389//751385;
D;172;1802912;5;20020102 13:01;P;;;;;;
D;172;1802912;5;20020102 13:01;P;;;;;;
B;172;1803033;6;20020102 13:01;;;29;WHITING DR;SEELANDS;2460;8023;M;20011112;20011212;22750;R;V;VACANT LAND;;SW;;;8205191;
C;172;1803033;6;20020102 13:01;5//711921;
D;172;1803033;6;20020102 13:01;P;;;;;;
D;172;1803033;6;20020102 13:01;P;;;;;;
D;172;1803033;6;20020102 13:01;V;;;;;;
B;172;1803177;7;20020102 13:01;;;1997;GWYDIR HWY;RAMORNIE;2460;59.16;H;20010828;20011009;50000;R;V;VACANT LAND;;JK;RV;;8017869;
C;172;1803177;7;20020102 13:01;162//731788;
D;172;1803177;7;20020102 13:01;P;;;;;;
D;172;1803177;7;20020102 13:01;P;;;;;;
B;172;1803227;8;20020102 13:01;;;640;HARNESS CASK RD;TYRINGHAM;2453;108.95;H;20011106;20011129;109900;R;V;VACANT LAND;;RE;;;8196004;
C;172;1803227;8;20020102 13:01;11//752847;
D;172;1803227;8;20020102 13:01;P;;;;;;
D;172;1803227;8;20020102 13:01;P;;;;;;
D;172;1803227;8;20020102 13:01;V;;;;;;
B;172;1837379;9;20020102 13:01;;;24;BINNUM PL;GLENREAGH;2450;16.62;H;20011002;20011015;111000;R;R;RESIDENCE;;RA;RG;;8061676;
C;172;1837379;9;20020102 13:01;3//717907;
D;172;1837379;9;20020102 13:01;P;;;;;;
D;172;1837379;9;20020102 13:01;V;;;;;;
D;172;1837379;9;20020102 13:01;V;;;;;;
D;172;1837379;9;20020102 13:01;V;;;;;;
B;172;1837380;10;20020102 13:01;;;1038;TALLAWUDJAH CREEK RD;GLENREAGH;2450;173.711;H;20010213;20010612;32000;R;V;VACANT LAND;;RG;RVI;;8018108;
C;172;1837380;10;20020102 13:01;10, 11, 9//113802 PT 57//752808;
D;172;1837380;10;20020102 13:01;P;;;;;;
D;172;1837380;10;20020102 13:01;P;;;;;;
D;172;1837380;10;20020102 13:01;P;;;;;;
D;172;1837380;10;20020102 13:01;P;;;;;;
D;172;1837380;10;20020102 13:01;P;;;;;;
D;172;1837380;10;20020102 13:01;P;;;;;;
D;172;1837380;10;20020102 13:01;P;;;;;;
D;172;1837380;10;20020102 13:01;V;;;;;;
D;172;1837380;10;20020102 13:01;V;;;;;;
D;172;1837380;10;20020102 13:01;V;;;;;;
D;172;1837380;10;20020102 13:01;V;;;;;;
D;172;1837380;10;20020102 13:01;V;;;;;;
B;172;1837399;11;20020102 13:01;;;352;SUNNY SIDE RD;GLENUGIE;2460;151.353;H;20010409;20010914;90000;R;3;FARM;;MC;RGO;50;8092793;
