A;134;20110801 02:14;VALNET;
B;134;1295378;1;20110801 02:14;;;1;CHURCH ST;ASHFIELD;2131;414.2;M;20110521;20110715;845000;A;R;RESIDENCE;;EG;;0;AG379575;
C;134;1295378;1;20110801 02:14;2/851821;
D;134;1295378;1;20110801 02:14;P;;;;;;
D;134;1295378;1;20110801 02:14;P;;;;;;
D;134;1295378;1;20110801 02:14;V;;;;;;
B;134;1295841;2;20110801 02:14;;;23;CROMWELL ST;CROYDON;2132;259.3;M;20110611;20110718;710000;A;R;RESIDENCE;;ES;;0;AG387697;
C;134;1295841;2;20110801 02:14;A/445213;
D;134;1295841;2;20110801 02:14;P;;;;;;
D;134;1295841;2;20110801 02:14;P;;;;;;
D;134;1295841;2;20110801 02:14;V;;;;;;
D;134;1295841;2;20110801 02:14;V;;;;;;
B;134;1306594;3;20110801 02:14;;;53;TILLOCK ST;HABERFIELD;2045;696.77;M;20110524;20110718;1180000;A;R;RESIDENCE;;EH;;0;AG384252;
C;134;1306594;3;20110801 02:14;30/9/7508;
D;134;1306594;3;20110801 02:14;P;;;;;;
D;134;1306594;3;20110801 02:14;P;;;;;;
D;134;1306594;3;20110801 02:14;V;;;;;;
B;134;1293647;4;20110801 02:14;;9;30;BLAND ST;ASHFIELD;2131;;;20110531;20110718;465000;;R;RESIDENCE;9;;;0;AG385044;
C;134;1293647;4;20110801 02:14;9/SP3512;
D;134;1293647;4;20110801 02:14;P;;;;;;
D;134;1293647;4;20110801 02:14;P;;;;;;
D;134;1293647;4;20110801 02:14;V;;;;;;
B;134;1293647;5;20110801 02:14;;22;30;BLAND ST;ASHFIELD;2131;;;20110531;20110718;465000;;R;RESIDENCE;22;;;0;AG385044;
C;134;1293647;5;20110801 02:14;22/SP3512;
D;134;1293647;5;20110801 02:14;P;;;;;;
D;134;1293647;5;20110801 02:14;P;;;;;;
D;134;1293647;5;20110801 02:14;V;;;;;;
B;134;1293738;6;20110801 02:14;;;47;BOOMERANG ST;HABERFIELD;2045;670.3;M;20110527;20110708;1850000;A;R;RESIDENCE;;EH;;0;AG367293;
C;134;1293738;6;20110801 02:14;1/501028;
D;134;1293738;6;20110801 02:14;P;;;;;;
D;134;1293738;6;20110801 02:14;P;;;;;;
D;134;1293738;6;20110801 02:14;V;;;;;;
B;134;1298980;7;20110801 02:14;;5;36;HAWTHORNE PDE;HABERFIELD;2045;;;20110502;20110704;575000;;R;RESIDENCE;5;;;0;AG386834;
C;134;1298980;7;20110801 02:14;5/SP9612;
D;134;1298980;7;20110801 02:14;P;;;;;;
D;134;1298980;7;20110801 02:14;V;;;;;;
D;134;1298980;7;20110801 02:14;V;;;;;;
B;134;1304725;8;20110801 02:14;;;194;QUEEN ST;ASHFIELD;2131;468.22;M;20110430;20110613;920000;A;R;RESIDENCE;;ES;;0;AG373139;
C;134;1304725;8;20110801 02:14;17/12839;
D;134;1304725;8;20110801 02:14;P;;;;;;
D;134;1304725;8;20110801 02:14;V;;;;;;
B;134;1304818;9;20110801 02:14;;4;95;QUEEN ST;ASHFIELD;2131;;;20110505;20110718;480000;;R;RESIDENCE;4;;;0;AG384225;
C;134;1304818;9;20110801 02:14;4/SP5443;
D;134;1304818;9;20110801 02:14;P;;;;;;
D;134;1304818;9;20110801 02:14;V;;;;;;
B;134;1307598;10;20110801 02:14;;8;16;WEBBS AVE;ASHFIELD;2131;;;20110606;20110718;482000;;R;RESIDENCE;8;;;0;AG386197;
C;134;1307598;10;20110801 02:14;8/SP3153;
D;134;1307598;10;20110801 02:14;P;;;;;;
D;134;1307598;10;20110801 02:14;V;;;;;;
D;134;1307598;10;20110801 02:14;V;;;;;;
B;134;1302613;11;20110801 02:14;;4;15;NORTON ST;ASHFIELD;2131;;;20110531;20110712;553000;;R;RESIDENCE;4;;;0;AG376194;
C;134;1302613;11;20110801 02:14;4/SP10023;
D;134;1302613;11;20110801 02:14;P;;;;;;
D;134;1302613;11;20110801 02:14;P;;;;;;
D;134;1302613;11;20110801 02:14;V;;;;;;
D;134;1302613;11;20110801 02:14;V;;;;;;
B;134;1297483;12;20110801 02:14;;;1;FEDERAL AVE;ASHFIELD;2131;376;M;20110506;20110617;995000;A;R;RESIDENCE;;EG;;0;AG380871;
C;134;1297483;12;20110801 02:14;A/342725;
D;134;1297483;12;20110801 02:14;P;;;;;;
D;134;1297483;12;20110801 02:14;P;;;;;;
D;134;1297483;12;20110801 02:14;V;;;;;;
B;134;1297769;13;20110801 02:14;;;153;FREDERICK ST;ASHFIELD;2131;550.1;M;20110520;20110701;700000;A;3;;;EG;;0;AG382640;
C;134;1297769;13;20110801 02:14;3/84245;
D;134;1297769;13;20110801 02:14;P;;;;;;
D;134;1297769;13;20110801 02:14;V;;;;;;
D;134;1297769;13;20110801 02:14;V;;;;;;
B;134;1300530;14;20110801 02:14;;5;45;KENSINGTON RD;SUMMER HILL;2130;;;20110704;20110704;500000;;R;RESIDENCE;5;;;0;AG374242;
C;134;1300530;14;20110801 02:14;5/SP13865;
D;134;1300530;14;20110801 02:14;P;;;;;;
D;134;1300530;14;20110801 02:14;P;;;;;;
D;134;1300530;14;20110801 02:14;V;;;;;;
D;134;1300530;14;20110801 02:14;V;;;;;;
Z;73;14;14;43;
