A;130;20030501 12:43;PBARBER;
B;130;1287154;1;20030501 12:43;;;5;BENGALLA CRES;WELLINGTON;2820;623.1;M;20030321;20030415;12500;A;V;VACANT LAND;;AB;;;9539724;
C;130;1287154;1;20030501 12:43;10//39488;
D;130;1287154;1;20030501 12:43;P;;;;;;
D;130;1287154;1;20030501 12:43;P;;;;;;
D;130;1287154;1;20030501 12:43;V;;;;;;
B;130;1287253;2;20030501 12:43;;;1;COUSIN DR;WELLINGTON;2820;690.1;M;20030227;20030325;125000;A;R;RESIDENCE;;AA;;;9536357;
C;130;1287253;2;20030501 12:43;10//260674;
D;130;1287253;2;20030501 12:43;P;;;;;;
D;130;1287253;2;20030501 12:43;V;;;;;;
B;130;1287504;3;20030501 12:43;;;109;GISBORNE ST;WELLINGTON;2820;746.1;M;20030313;20030403;124000;A;R;RESIDENCE;;AB;;;9527291;
C;130;1287504;3;20030501 12:43;1//360749;
D;130;1287504;3;20030501 12:43;P;;;;;;
D;130;1287504;3;20030501 12:43;P;;;;;;
D;130;1287504;3;20030501 12:43;V;;;;;;
B;130;1287616;4;20030501 12:43;;;124;GOBOLION ST;WELLINGTON;2820;3460;M;20030307;20030404;20000;A;R;RESIDENCE;;AA;;;9537186;
C;130;1287616;4;20030501 12:43;10//563806;
D;130;1287616;4;20030501 12:43;P;;;;;;
D;130;1287616;4;20030501 12:43;V;;;;;;
D;130;1287616;4;20030501 12:43;V;;;;;;
B;130;1287667;5;20030501 12:43;;;;GOBOLION ST;WELLINGTON;2820;809.9;M;20030117;20030228;30000;A;V;VACANT LAND;;AA;;;9531696;
C;130;1287667;5;20030501 12:43;5//883877;
D;130;1287667;5;20030501 12:43;P;;;;;;
D;130;1287667;5;20030501 12:43;V;;;;;;
D;130;1287667;5;20030501 12:43;V;;;;;;
B;130;1288414;6;20030501 12:43;;;12;PERCY ST;WELLINGTON;2820;490.4;M;20021106;20030114;55000;A;R;RESIDENCE;;AB;;;9490989;
C;130;1288414;6;20030501 12:43;7//2497;
D;130;1288414;6;20030501 12:43;P;;;;;;
B;130;1288414;7;20030501 12:43;;;12;PERCY ST;WELLINGTON;2820;490.4;M;20030203;20030220;70000;A;R;RESIDENCE;;AB;;;9490990;
