A;RTSALEDATA;217;20250623 01:09;VALNET;
B;217;3470987;1;20250623 01:09;;;25;DELAWARE ST;SPRING FARM;2570;550;M;20250508;20250616;1180000;R1;R;RESIDENCE;;EAA;;;AV151895;
C;217;3470987;1;20250623 01:09;2137/1135488;
D;217;3470987;1;20250623 01:09;P;;;;;;
D;217;3470987;1;20250623 01:09;P;;;;;;
D;217;3470987;1;20250623 01:09;V;;;;;;
D;217;3470987;1;20250623 01:09;V;;;;;;
B;217;3428373;2;20250623 01:09;;;22;ARISTIDA CCT;MOUNT ANNAN;2567;208.9;M;20250508;20250619;880000;R3;R;RESIDENCE;;AMA;;;AV164543;
C;217;3428373;2;20250623 01:09;4/1130481;
D;217;3428373;2;20250623 01:09;P;;;;;;
D;217;3428373;2;20250623 01:09;V;;;;;;
D;217;3428373;2;20250623 01:09;V;;;;;;
B;217;4161222;3;20250623 01:09;;;11;EACOTT ST;LEPPINGTON;2179;375;M;20250507;20250618;1250000;R2;R;RESIDENCE;;EHE;;;AV159083;
C;217;4161222;3;20250623 01:09;4050/1213167;
D;217;4161222;3;20250623 01:09;P;;;;;;
D;217;4161222;3;20250623 01:09;P;;;;;;
D;217;4161222;3;20250623 01:09;V;;;;;;
D;217;4161222;3;20250623 01:09;V;;;;;;
B;217;4142124;4;20250623 01:09;;;9;WOLLEMI CCT;GREGORY HILLS;2557;308.7;M;20250503;20250612;982000;R1;R;RESIDENCE;;GCJ;;;AV141583;
C;217;4142124;4;20250623 01:09;1266/1235227;
D;217;4142124;4;20250623 01:09;P;;;;;;
D;217;4142124;4;20250623 01:09;V;;;;;;
D;217;4142124;4;20250623 01:09;V;;;;;;
B;217;4169902;5;20250623 01:09;;;31;CHANNON ST;GLEDSWOOD HILLS;2557;423.4;M;20250501;20250616;1280000;R1;R;RESIDENCE;;GHN;;;AV151142;
C;217;4169902;5;20250623 01:09;267/1230815;
D;217;4169902;5;20250623 01:09;P;;;;;;
D;217;4169902;5;20250623 01:09;P;;;;;;
D;217;4169902;5;20250623 01:09;V;;;;;;
D;217;4169902;5;20250623 01:09;V;;;;;;
B;217;4151300;6;20250623 01:09;;;51;STRATTON RD;ORAN PARK;2570;376;M;20250329;20250613;1120000;R2;R;RESIDENCE;;AWA;;;AV144656;
C;217;4151300;6;20250623 01:09;2212/1225572;
D;217;4151300;6;20250623 01:09;P;;;;;;
D;217;4151300;6;20250623 01:09;P;;;;;;
D;217;4151300;6;20250623 01:09;V;;;;;;
