A;129;20020102 12:33;PTHIRLWELL;
B;129;1284284;1;20020102 12:33;THE CHURCH;;;VILLAGE OF TARANA;TARANA;2787;4047;M;20010911;20011019;95000;R;R;RESIDENCE;;CA;RR;;8086862;
C;129;1284284;1;20020102 12:33;1//199838;
D;129;1284284;1;20020102 12:33;P;;;;;;
D;129;1284284;1;20020102 12:33;P;;;;;;
D;129;1284284;1;20020102 12:33;V;;;;;;
D;129;1284284;1;20020102 12:33;V;;;;;;
B;129;1284560;2;20020102 12:33;"ADAVALE";;131;MOUNT RANKIN RD;MOUNT RANKIN;2795;26.45;H;20010907;20011019;337000;R;3;FARM;;CC;RR;;8061822;
C;129;1284560;2;20020102 12:33;20//852712;
D;129;1284560;2;20020102 12:33;P;;;;;;
D;129;1284560;2;20020102 12:33;P;;;;;;
D;129;1284560;2;20020102 12:33;V;;;;;;
B;129;1284953;3;20020102 12:33;"DALCROSS";;213;PINE RIDGE RD;ROCK FOREST;2795;40.53;H;20010830;20010924;310000;R;R;RESIDENCE;;CD;RR;;8027619;
C;129;1284953;3;20020102 12:33;4//249494;
D;129;1284953;3;20020102 12:33;P;;;;;;
D;129;1284953;3;20020102 12:33;P;;;;;;
D;129;1284953;3;20020102 12:33;V;;;;;;
D;129;1284953;3;20020102 12:33;V;;;;;;
B;129;1285449;4;20020102 12:33;"SYLVIA VALE";;1690;ROCKLEY RD;FOSTERS VALLEY;2795;175.6;H;20010528;20010911;340000;R;R;RESIDENCE;;CG;RG;;8012102;
C;129;1285449;4;20020102 12:33;33//750400;
D;129;1285449;4;20020102 12:33;P;;;;;;
D;129;1285449;4;20020102 12:33;V;;;;;;
B;129;1285497;5;20020102 12:33;"SHEARERS CREEK";;1336;LIMEKILNS RD;CLEAR CREEK;2795;40.86;H;20010820;20010924;340000;R;R;RESIDENCE;;CD;RR;;8016388;
C;129;1285497;5;20020102 12:33;10//252382;
D;129;1285497;5;20020102 12:33;P;;;;;;
D;129;1285497;5;20020102 12:33;P;;;;;;
D;129;1285497;5;20020102 12:33;V;;;;;;
B;129;1285531;6;20020102 12:33;"TIN TUPPA";;69;WELLINGTON ST;PEEL VILLAGE;2795;1.39;H;20010817;20010921;235000;R;R;RESIDENCE;;CA;RR;;8041639;
C;129;1285531;6;20020102 12:33;1//626935;
D;129;1285531;6;20020102 12:33;P;;;;;;
D;129;1285531;6;20020102 12:33;P;;;;;;
D;129;1285531;6;20020102 12:33;V;;;;;;
D;129;1285531;6;20020102 12:33;V;;;;;;
B;129;1286163;7;20020102 12:33;"SAGELY PARK";;354;WARRYS RD;HILL END;2850;784.2;H;20010516;20010620;159000;R;3;FARM;;NG;;;7716970;
C;129;1286163;7;20020102 12:33;;
D;129;1286163;7;20020102 12:33;P;;;;;;
D;129;1286163;7;20020102 12:33;V;;;;;;
B;129;1286816;8;20020102 12:33;"BUSHLANDS";;161;COLLEEN HAGNEY LANE;PEEL;2795;97.61;H;20010810;20011011;385000;R;R;RESIDENCE;;NE;RR;;8023486;
C;129;1286816;8;20020102 12:33;2//860959;
D;129;1286816;8;20020102 12:33;P;;;;;;
D;129;1286816;8;20020102 12:33;P;;;;;;
D;129;1286816;8;20020102 12:33;V;;;;;;
B;129;1286971;9;20020102 12:33;"GLENRAY PARK";;61;PORTERS LANE;YETHOLME;2795;10.05;H;20010426;20010824;397450;R;R;RESIDENCE;;CB;RR;;8061238;
C;129;1286971;9;20020102 12:33;1//130473 211, 39, 75//755805 2, 3, 40, 41, 6, 7/2/759141;
D;129;1286971;9;20020102 12:33;P;;;;;;
D;129;1286971;9;20020102 12:33;P;;;;;;
D;129;1286971;9;20020102 12:33;V;;;;;;
D;129;1286971;9;20020102 12:33;V;;;;;;
B;129;2878232;10;20020102 12:33;;;864;COW FLAT RD;FOSTERS VALLEY;2795;323.44;H;20010720;20010907;420000;;3;FARM;;;;;8007062;
C;129;2878232;10;20020102 12:33;254//40473 281, 282, 283//878616 Permissive Occupancy 82/9;
D;129;2878232;10;20020102 12:33;P;;;;;;
D;129;2878232;10;20020102 12:33;P;;;;;;
Z;53;10;10;31;
