A;252;20021119 10:40;PDANN;
B;252;2677318;1;20021119 10:40;;;200 E;FITZROY ST;WALCHA;2354;1755;M;20020828;20021018;125000;Z;R;RESIDENCE;;AA;;;9080469;
C;252;2677318;1;20021119 10:40;61//559185;
D;252;2677318;1;20021119 10:40;P;;;;;;
D;252;2677318;1;20021119 10:40;V;;;;;;
D;252;2677318;1;20021119 10:40;V;;;;;;
B;252;2677559;2;20021119 10:40;;;12 S;MIDDLE ST;WALCHA;2354;2023;M;20021002;20021028;72000;Z;R;RESIDENCE;;AA;;;9097418;
C;252;2677559;2;20021119 10:40;13/6/759035;
D;252;2677559;2;20021119 10:40;P;;;;;;
D;252;2677559;2;20021119 10:40;V;;;;;;
Z;11;2;2;5;
