A;069;20020102 12:59;PTHIRLWELL;
B;069;547419;1;20020102 12:59;;;;CURLEW CRES;COLEAMBALLY;2707;1194;M;20010912;20011012;23400;Z;V;VACANT LAND;;AA;AV;;8148104;
C;069;547419;1;20020102 12:59;432//862112;
D;069;547419;1;20020102 12:59;P;;;;;;
D;069;547419;1;20020102 12:59;P;;;;;;
D;069;547419;1;20020102 12:59;V;;;;;;
B;069;547696;2;20020102 12:59;;;;PH MALEY PH PORS;COLEAMBALLY;2707;1623;H;20010713;20010730;1036500;R;3;RURAL;;RD;RM;;7959674;
C;069;547696;2;20020102 12:59;10, 11, 5, 6, 7, 8, 9//114366 1, 2, 3, 5, 6, 7//185627 3//539482 147, ;
C;069;547696;2;20020102 12:59;148, 149, 41, 42, 43, 44, 45//750893;
D;069;547696;2;20020102 12:59;P;;;;;;
D;069;547696;2;20020102 12:59;V;;;;;;
B;069;548154;3;20020102 12:59;;;;CHANT ST;DARLINGTON POINT;2706;849.7;M;20010920;20011101;63500;Z;R;RESIDENCE;;VP;;;8195488;
C;069;548154;3;20020102 12:59;4//790793;
D;069;548154;3;20020102 12:59;P;;;;;;
D;069;548154;3;20020102 12:59;P;;;;;;
D;069;548154;3;20020102 12:59;V;;;;;;
D;069;548154;3;20020102 12:59;V;;;;;;
B;069;548155;4;20020102 12:59;;;;CHANT ST;DARLINGTON POINT;2706;849.8;M;20011116;20011214;137000;Z;R;RESIDENCE;;VP;;;8213550;
C;069;548155;4;20020102 12:59;3//790793;
D;069;548155;4;20020102 12:59;P;;;;;;
D;069;548155;4;20020102 12:59;V;;;;;;
B;069;548288;5;20020102 12:59;;;;W C I C FARMS;COLEAMBALLY;2707;227;H;20010607;20010730;400000;R;3;FARM;;RC;RS;;8041115;
C;069;548288;5;20020102 12:59;19//750879 Farm Number 161 LEASE OVER PROPERTY;
D;069;548288;5;20020102 12:59;P;;;;;;
D;069;548288;5;20020102 12:59;P;;;;;;
D;069;548288;5;20020102 12:59;V;;;;;;
B;069;548296;6;20020102 12:59;;;;W C I C FARMS;COLEAMBALLY;2707;250.8;H;20010608;20010706;128000;R;3;RURAL;;RC;RS;;7879575;
C;069;548296;6;20020102 12:59;82//750872 Farm Number 168 LEASE OVER PROPERTY;
D;069;548296;6;20020102 12:59;P;;;;;;
D;069;548296;6;20020102 12:59;V;;;;;;
B;069;548405;7;20020102 12:59;;;;W C I C FARMS;COLEAMBALLY;2707;214.6;H;20010510;20010713;500000;R;3;FARM;;RC;RS;;7862920;
C;069;548405;7;20020102 12:59;137, 138//750885 Irrigation Farm Purchase 102 LEASE OVER PROPERTY;
D;069;548405;7;20020102 12:59;P;;;;;;
D;069;548405;7;20020102 12:59;V;;;;;;
B;069;2855864;8;20020102 12:59;;;;RYAN ST;DARLINGTON POINT;2706;2325;M;20010409;20011112;45000;;V;VACANT LAND;;;AV;;8162821;
C;069;2855864;8;20020102 12:59;1//1033506;
D;069;2855864;8;20020102 12:59;P;;;;;;
D;069;2855864;8;20020102 12:59;P;;;;;;
D;069;2855864;8;20020102 12:59;V;;;;;;
B;069;2876497;9;20020102 12:59;;;;W C I C FARMS;COLEAMBALLY;2707;89.05;H;20010626;20010823;187500;;3;FARM/RURAL;;;RS;;7891730;
C;069;2876497;9;20020102 12:59;96//750883 Irrigation Farm Purchase 43;
D;069;2876497;9;20020102 12:59;P;;;;;;
B;069;2876498;10;20020102 12:59;;;;W C I C FARMS;COLEAMBALLY;2707;115.8;H;20010703;20010929;220000;;3;FARM;;;RS;;8073956;
C;069;2876498;10;20020102 12:59;97//750883;
D;069;2876498;10;20020102 12:59;P;;;;;;
B;069;2876912;11;20020102 12:59;;;;WCIC FARMS;COLEAMBALLY;2707;113.5;H;20010424;20010813;195000;;3;FARM;;;RS;;7911301;
C;069;2876912;11;20020102 12:59;88//750872 Farm Number Part 78;
D;069;2876912;11;20020102 12:59;P;;;;;;
B;069;2876913;12;20020102 12:59;;;;WCIC FARMS;COLEAMBALLY;2707;117.7;H;20010424;20010803;205000;;3;FARM;;;RS;;7911302;
C;069;2876913;12;20020102 12:59;101//750872 Farm Number Part 78;
D;069;2876913;12;20020102 12:59;P;;;;;;
D;069;2876913;12;20020102 12:59;P;;;;;;
Z;53;12;13;26;
