A;526;20110801 02:36;VALNET;
B;526;3506424;1;20110801 02:36;;;54;BIALA ST;GUNNING;2581;2023;M;20110531;20110629;130000;RU5;V;VACANT LAND;;UYA;;0;AG385360;
C;526;3506424;1;20110801 02:36;14/8/758493;
D;526;3506424;1;20110801 02:36;P;;;;;;
D;526;3506424;1;20110801 02:36;V;;;;;;
B;526;3506425;2;20110801 02:36;;;56;BIALA ST;GUNNING;2581;2023;M;20110531;20110629;130000;RU5;V;VACANT LAND;;UYA;;0;AG385360;
C;526;3506425;2;20110801 02:36;15/8/758493;
D;526;3506425;2;20110801 02:36;P;;;;;;
D;526;3506425;2;20110801 02:36;V;;;;;;
B;526;3506426;3;20110801 02:36;;;58;BIALA ST;GUNNING;2581;2023;M;20110531;20110629;130000;RU5;V;VACANT LAND;;UYA;;0;AG385360;
C;526;3506426;3;20110801 02:36;16/8/758493;
D;526;3506426;3;20110801 02:36;P;;;;;;
D;526;3506426;3;20110801 02:36;V;;;;;;
B;526;438868;4;20110801 02:36;;;24;CHURCH ST;COLLECTOR;2581;4390;M;20110609;20110701;550000;RU5;R;RESIDENCE;;UZK;;0;AG392471;
C;526;438868;4;20110801 02:36;1/256082 2, 3/554640;
D;526;438868;4;20110801 02:36;P;;;;;;
D;526;438868;4;20110801 02:36;V;;;;;;
B;526;447883;5;20110801 02:36;;;52;CHISHOLM ST;TARALGA;2580;2.557;H;20110602;20110718;300000;RU5;R;RESIDENCE;;UZQ;;0;AG381978;
C;526;447883;5;20110801 02:36;1/1098709;
D;526;447883;5;20110801 02:36;P;;;;;;
D;526;447883;5;20110801 02:36;P;;;;;;
D;526;447883;5;20110801 02:36;V;;;;;;
D;526;447883;5;20110801 02:36;V;;;;;;
D;526;447883;5;20110801 02:36;V;;;;;;
B;526;3592376;6;20110801 02:36;;;2748;WOODHOUSELEE RD;LAGGAN;2583;4.62;H;20110526;20110707;389000;;R;RESIDENCE;;;;0;AG368025;
C;526;3592376;6;20110801 02:36;1/1162318;
D;526;3592376;6;20110801 02:36;P;;;;;;
D;526;3592376;6;20110801 02:36;P;;;;;;
D;526;3592376;6;20110801 02:36;V;;;;;;
D;526;3592376;6;20110801 02:36;V;;;;;;
B;526;3592083;7;20110801 02:36;;;2134;WOODHOUSELEE RD;ROSLYN;2580;175.1;H;20110517;20110630;1800000;;3;FARM;;;;0;AG343051;
C;526;3592083;7;20110801 02:36;6/1161905 Enclosure Permit 27468;
D;526;3592083;7;20110801 02:36;P;;;;;;
D;526;3592083;7;20110801 02:36;P;;;;;;
D;526;3592083;7;20110801 02:36;V;;;;;;
B;526;3592359;8;20110801 02:36;;;2307;WOMBEYAN CAVES RD;WOMBEYAN CAVES;2580;2.507;H;20110411;20110701;9240;;V;VACANT LAND;;;;0;AG356501;
C;526;3592359;8;20110801 02:36;;
D;526;3592359;8;20110801 02:36;P;;;;;;
D;526;3592359;8;20110801 02:36;P;;;;;;
D;526;3592359;8;20110801 02:36;V;;;;;;
Z;41;8;8;23;
