A;678;20020109 10:40;PDANN;
B;678;1843872;1;20020109 10:40;;;19;INCES RD;COMMISSIONERS WATERS;2350;2.023;H;20010418;20010523;197500;R;R;RESIDENCE;;EV;RR;;7664632;
C;678;1843872;1;20020109 10:40;6//240862;
D;678;1843872;1;20020109 10:40;P;;;;;;
D;678;1843872;1;20020109 10:40;V;;;;;;
B;678;1843910;2;20020109 10:40;;;244;GRAFTON RD;NEWLING;2350;7.284;H;20010523;20010627;387500;R;R;RESIDENCE;;EX;RR;;7732350;
C;678;1843910;2;20020109 10:40;2//507650;
D;678;1843910;2;20020109 10:40;P;;;;;;
D;678;1843910;2;20020109 10:40;V;;;;;;
B;678;1843946;3;20020109 10:40;;;66;BIDDULPH RD;TILBUSTER;2350;9.912;H;20010703;20010817;310000;R;R;RESIDENCE;;EX;RF;;7898064;
C;678;1843946;3;20020109 10:40;1//566374;
D;678;1843946;3;20020109 10:40;P;;;;;;
D;678;1843946;3;20020109 10:40;P;;;;;;
D;678;1843946;3;20020109 10:40;V;;;;;;
B;678;1844006;4;20020109 10:40;;;5;ROUND RD;NEWLING;2350;3.9;H;20010403;20010508;98000;R;V;VACANT LAND;;EV;RV;;7605177;
C;678;1844006;4;20020109 10:40;1//812797;
D;678;1844006;4;20020109 10:40;P;;;;;;
D;678;1844006;4;20020109 10:40;P;;;;;;
D;678;1844006;4;20020109 10:40;V;;;;;;
D;678;1844006;4;20020109 10:40;V;;;;;;
B;678;1844013;5;20020109 10:40;;;14;GUNGURRU RD;NEWLING;2350;3.235;H;20010801;20010831;308000;R;R;RESIDENCE;;EV;RR;;7921476;
C;678;1844013;5;20020109 10:40;8//812797;
D;678;1844013;5;20020109 10:40;P;;;;;;
D;678;1844013;5;20020109 10:40;P;;;;;;
D;678;1844013;5;20020109 10:40;V;;;;;;
D;678;1844013;5;20020109 10:40;V;;;;;;
B;678;1844014;6;20020109 10:40;;;16;GUNGURRU RD;NEWLING;2350;2.069;H;20010227;20010403;310000;R;R;RESIDENCE;;EV;RR;;7592507;
C;678;1844014;6;20020109 10:40;9//812797;
D;678;1844014;6;20020109 10:40;P;;;;;;
D;678;1844014;6;20020109 10:40;P;;;;;;
D;678;1844014;6;20020109 10:40;V;;;;;;
B;678;1844032;7;20020109 10:40;;;50;AMBLE RD;ARMIDALE;2350;3.581;H;20010618;20010728;357000;R;R;RESIDENCE;;EV;RR;;7869464;
C;678;1844032;7;20020109 10:40;14//832420;
D;678;1844032;7;20020109 10:40;P;;;;;;
D;678;1844032;7;20020109 10:40;P;;;;;;
D;678;1844032;7;20020109 10:40;V;;;;;;
D;678;1844032;7;20020109 10:40;V;;;;;;
B;678;1844038;8;20020109 10:40;;;42;GUNGURRU RD;NEWLING;2350;2.464;H;20010411;20010521;350000;R;R;RESIDENCE;;EV;RR;;7635297;
C;678;1844038;8;20020109 10:40;20//832420;
D;678;1844038;8;20020109 10:40;P;;;;;;
D;678;1844038;8;20020109 10:40;P;;;;;;
D;678;1844038;8;20020109 10:40;V;;;;;;
B;678;1844044;9;20020109 10:40;;;55;GUNGURRU RD;NEWLING;2350;3.691;H;20010530;20010626;105000;R;V;VACANT LAND;;EV;RV;;7724563;
C;678;1844044;9;20020109 10:40;26//832420;
D;678;1844044;9;20020109 10:40;P;;;;;;
D;678;1844044;9;20020109 10:40;P;;;;;;
D;678;1844044;9;20020109 10:40;V;;;;;;
B;678;1844068;10;20020109 10:40;;;44;LYNLAND DR;KELLYS PLAINS;2350;2.178;H;20010518;20010601;70000;R;V;VACANT LAND;;EV;RV;;7694834;
C;678;1844068;10;20020109 10:40;24//844110;
D;678;1844068;10;20020109 10:40;P;;;;;;
D;678;1844068;10;20020109 10:40;P;;;;;;
D;678;1844068;10;20020109 10:40;V;;;;;;
B;678;1844301;11;20020109 10:40;DINNINGTON;;193;OLD INVERELL RD;ARMIDALE;2350;10.26;H;20010711;20010829;475000;R;R;RESIDENCE;;EX;RF;;7903196;
C;678;1844301;11;20020109 10:40;6//605638;
D;678;1844301;11;20020109 10:40;P;;;;;;
D;678;1844301;11;20020109 10:40;V;;;;;;
B;678;1844324;12;20020109 10:40;;;5;HIGHLANDS RD;DUMARESQ;2350;2.058;H;20010216;20010323;250000;R;R;RESIDENCE;;EV;RR;;7521936;
C;678;1844324;12;20020109 10:40;9//803009;
D;678;1844324;12;20020109 10:40;P;;;;;;
D;678;1844324;12;20020109 10:40;P;;;;;;
D;678;1844324;12;20020109 10:40;V;;;;;;
B;678;1844347;13;20020109 10:40;;;43;ROWLANDS RD;DUMARESQ;2350;7.884;H;20001028;20010110;305000;R;3;SMALL ACREAGE;;EX;RR;;7640618;
C;678;1844347;13;20020109 10:40;21//871384;
D;678;1844347;13;20020109 10:40;P;;;;;;
D;678;1844347;13;20020109 10:40;V;;;;;;
B;678;1844415;14;20020109 10:40;;;;GREEN HILLS RD;THALGARRAH;2350;157.4;H;20010727;20010831;340000;R;3;FARM;;KZ;RG;;8023296;
C;678;1844415;14;20020109 10:40;171//755812;
D;678;1844415;14;20020109 10:40;P;;;;;;
D;678;1844415;14;20020109 10:40;V;;;;;;
B;678;1844530;15;20020109 10:40;;;5;THOMSONS RD;DONALD CREEK;2350;10;H;20010803;20010903;175000;R;R;RESIDENCE;;EX;RF;;7918748;
C;678;1844530;15;20020109 10:40;1//246548;
D;678;1844530;15;20020109 10:40;P;;;;;;
D;678;1844530;15;20020109 10:40;P;;;;;;
D;678;1844530;15;20020109 10:40;V;;;;;;
B;678;1844546;16;20020109 10:40;;;14;DONALD RD;DONALD CREEK;2350;4047;M;20010731;20010831;182000;R;R;RESIDENCE;;EV;RR;;7927671;
C;678;1844546;16;20020109 10:40;1//544156;
D;678;1844546;16;20020109 10:40;P;;;;;;
D;678;1844546;16;20020109 10:40;P;;;;;;
D;678;1844546;16;20020109 10:40;V;;;;;;
B;678;1844555;17;20020109 10:41;;;71;EDWARD DR;DONALD CREEK;2350;10.15;H;20010507;20010601;280000;R;R;RESIDENCE;;EX;RR;;7711570;
C;678;1844555;17;20020109 10:41;9//560703;
D;678;1844555;17;20020109 10:41;P;;;;;;
D;678;1844555;17;20020109 10:41;V;;;;;;
B;678;1844732;18;20020109 10:41;;;52;BLANCH RD;TILBUSTER;2350;7.692;H;20010315;20010419;150000;R;3;FARM RURAL;;EX;RF;;7573038;
C;678;1844732;18;20020109 10:41;1//571156;
D;678;1844732;18;20020109 10:41;P;;;;;;
D;678;1844732;18;20020109 10:41;P;;;;;;
D;678;1844732;18;20020109 10:41;V;;;;;;
B;678;1844846;19;20020109 10:41;;;270;ENMORE RD;DANGARSLEIGH;2350;46.12;H;20010516;20010615;100000;R;3;FARMLAND;;SZ;RF;;7861523;
C;678;1844846;19;20020109 10:41;1//827466;
D;678;1844846;19;20020109 10:41;P;;;;;;
D;678;1844846;19;20020109 10:41;P;;;;;;
D;678;1844846;19;20020109 10:41;V;;;;;;
B;678;1844912;20;20020109 10:41;WINDARRA;;;PINE FOREST RD;DONALD CREEK;2350;33.76;H;20010507;20010612;335000;R;R;RESIDENCE;;EY;RF;;7707949;
C;678;1844912;20;20020109 10:41;1//557164 155, 156//755826;
D;678;1844912;20;20020109 10:41;P;;;;;;
D;678;1844912;20;20020109 10:41;V;;;;;;
B;678;1844941;21;20020109 10:41;;;93;MIDDLE FARM RD;COMMISSIONERS WATERS;2350;4.046;H;20010629;20010809;116000;R;R;RESIDENCE;;EV;RR;;7900508;
C;678;1844941;21;20020109 10:41;7//568489;
D;678;1844941;21;20020109 10:41;P;;;;;;
D;678;1844941;21;20020109 10:41;P;;;;;;
