A;RTSALEDATA;082;20250519 01:15;VALNET;
B;082;2844749;1;20250519 01:15;;;35;AMAROO AVE;MOUNT COLAH;2079;807.4;M;20250315;20250512;1545000;R2;R;RESIDENCE;;REP;;0;AV49550;
C;082;2844749;1;20250519 01:15;8460/1031595;
D;082;2844749;1;20250519 01:15;P;;;;;;
D;082;2844749;1;20250519 01:15;P;;;;;;
D;082;2844749;1;20250519 01:15;V;;;;;;
D;082;2844749;1;20250519 01:15;V;;;;;;
B;082;4179348;2;20250519 01:15;;15;10;BELAIR CL;HORNSBY;2077;;;20250410;20250512;740000;;R;RESIDENCE;15;;;0;AV50694;
C;082;4179348;2;20250519 01:15;15/SP92842;
D;082;4179348;2;20250519 01:15;P;;;;;;
D;082;4179348;2;20250519 01:15;V;;;;;;
D;082;4179348;2;20250519 01:15;V;;;;;;
B;082;4135538;3;20250519 01:15;;207;442;PEATS FERRY RD;ASQUITH;2077;;;20250330;20250512;630000;;R;RESIDENCE;31;;;0;AV50476;
C;082;4135538;3;20250519 01:15;31/SP97895;
D;082;4135538;3;20250519 01:15;P;;;;;;
D;082;4135538;3;20250519 01:15;V;;;;;;
D;082;4135538;3;20250519 01:15;V;;;;;;
B;082;3017528;4;20250519 01:15;WILDASH GROVE;;12;MELALEUCA WAY;THORNLEIGH;2120;188;M;20250329;20250512;1235000;;R;RESIDENCE;10;;;0;AV53045;
C;082;3017528;4;20250519 01:15;10/SP68372;
D;082;3017528;4;20250519 01:15;P;;;;;;
D;082;3017528;4;20250519 01:15;V;;;;;;
D;082;3017528;4;20250519 01:15;V;;;;;;
B;082;3017528;5;20250519 01:15;WILDASH GROVE;;4;WILD ASH WAY;THORNLEIGH;2120;255;M;20250404;20250514;1740000;;R;RESIDENCE;19;;;0;AV59469;
C;082;3017528;5;20250519 01:15;19/SP71169;
D;082;3017528;5;20250519 01:15;P;;;;;;
D;082;3017528;5;20250519 01:15;V;;;;;;
B;082;3103911;6;20250519 01:15;;14;35;BEROWRA WATERS RD;BEROWRA;2081;;;20250320;20250513;1275000;;R;RESIDENCE;14;;;0;AV53856;
C;082;3103911;6;20250519 01:15;14/SP72769;
D;082;3103911;6;20250519 01:15;P;;;;;;
D;082;3103911;6;20250519 01:15;V;;;;;;
B;082;4038751;7;20250519 01:15;;52;16;PARK AVE;WAITARA;2077;;;20250314;20250513;685000;;R;RESIDENCE;52;;;0;AV55508;
C;082;4038751;7;20250519 01:15;52/SP91025;
D;082;4038751;7;20250519 01:15;P;;;;;;
D;082;4038751;7;20250519 01:15;V;;;;;;
D;082;4038751;7;20250519 01:15;V;;;;;;
B;082;4044236;8;20250519 01:15;;6;319;PEATS FERRY RD;ASQUITH;2077;125;M;20250218;20250512;753000;;R;RESIDENCE;6;;;0;AV51868;
C;082;4044236;8;20250519 01:15;6/SP91155;
D;082;4044236;8;20250519 01:15;P;;;;;;
D;082;4044236;8;20250519 01:15;P;;;;;;
D;082;4044236;8;20250519 01:15;V;;;;;;
B;082;4514525;9;20250519 01:15;;3;3;RUPERT ST;MOUNT COLAH;2079;258;M;20250217;20250512;1590000;;R;RESIDENCE;3;;;0;AV51238;
C;082;4514525;9;20250519 01:15;3/SP106357;
D;082;4514525;9;20250519 01:15;P;;;;;;
D;082;4514525;9;20250519 01:15;P;;;;;;
D;082;4514525;9;20250519 01:15;V;;;;;;
D;082;4514525;9;20250519 01:15;V;;;;;;
B;082;624935;10;20250519 01:15;;2;10;ALBION ST;PENNANT HILLS;2120;;;20250329;20250512;1100000;;R;RESIDENCE;2;;;0;AV49474;
C;082;624935;10;20250519 01:15;2/SP54007;
D;082;624935;10;20250519 01:15;P;;;;;;
D;082;624935;10;20250519 01:15;P;;;;;;
D;082;624935;10;20250519 01:15;V;;;;;;
