A;205;20020603 10:28;MSMITH;
D;205;1916100;17;20020603 10:28;V;;;;;;
B;205;1916341;18;20020603 10:28;;;66;BRIDGE RD;GLEBE;2037;;;20020417;20020517;525000;A;R;RESIDENCE;;EB;;;8613589;
C;205;1916341;18;20020603 10:28;A//445169;
D;205;1916341;18;20020603 10:28;P;;;;;;
D;205;1916341;18;20020603 10:28;V;;;;;;
D;205;1916341;18;20020603 10:28;V;;;;;;
B;205;1916428;19;20020603 10:28;;10;173;BRIDGE RD;GLEBE;2037;;;20020327;20020508;165000;;R;RESIDENCE;10;;;;8580954;
C;205;1916428;19;20020603 10:28;10//13372;
D;205;1916428;19;20020603 10:28;P;;;;;;
D;205;1916428;19;20020603 10:28;V;;;;;;
B;205;1916596;20;20020603 10:28;"UNIVERSITY HALL";84;281;BROADWAY;GLEBE;2037;;;20020308;20020503;295000;;R;RESIDENCE;84;;;;8591628;
C;205;1916596;20;20020603 10:28;84//SP 48928;
D;205;1916596;20;20020603 10:28;P;;;;;;
D;205;1916596;20;20020603 10:28;P;;;;;;
D;205;1916596;20;20020603 10:28;V;;;;;;
B;205;1916911;21;20020603 10:28;;;43;BURFITT ST;LEICHHARDT;2040;;;20020302;20020412;465000;A;R;RESIDENCE;;EA;;;8553937;
C;205;1916911;21;20020603 10:28;1//313362;
D;205;1916911;21;20020603 10:28;P;;;;;;
D;205;1916911;21;20020603 10:28;P;;;;;;
D;205;1916911;21;20020603 10:28;V;;;;;;
B;205;1916961;22;20020603 10:28;;;86;BURFITT ST;LEICHHARDT;2040;;;20020316;20020503;491000;A;R;RESIDENCE;;EA;;;8573961;
C;205;1916961;22;20020603 10:28;1//210353;
D;205;1916961;22;20020603 10:28;P;;;;;;
D;205;1916961;22;20020603 10:28;P;;;;;;
D;205;1916961;22;20020603 10:28;V;;;;;;
B;205;1916962;23;20020603 10:28;;;84;BURFITT ST;LEICHHARDT;2040;;;20020316;20020429;475000;A;R;RESIDENCE;;EA;;;8573617;
C;205;1916962;23;20020603 10:28;2//210353;
D;205;1916962;23;20020603 10:28;P;;;;;;
D;205;1916962;23;20020603 10:28;P;;;;;;
D;205;1916962;23;20020603 10:28;V;;;;;;
