A;130;20020201 12:09;CDIXON;
B;130;1287423;1;20020201 12:09;;;2;GISBORNE LANE;WELLINGTON;2820;967.9;M;20011123;20011221;160000;A;R;RESIDENCE;;AB;;;8252906;
C;130;1287423;1;20020201 12:09;21//567561;
D;130;1287423;1;20020201 12:09;P;;;;;;
D;130;1287423;1;20020201 12:09;V;;;;;;
B;130;1287458;2;20020201 12:09;;;54;GISBORNE ST;WELLINGTON;2820;2024;M;20010814;20010925;95000;A;R;RESIDENCE;;AB;AC;;7982884;
C;130;1287458;2;20020201 12:09;18/5/759073;
D;130;1287458;2;20020201 12:09;P;;;;;;
D;130;1287458;2;20020201 12:09;P;;;;;;
D;130;1287458;2;20020201 12:09;V;;;;;;
D;130;1287458;2;20020201 12:09;V;;;;;;
B;130;1287472;3;20020201 12:09;;;82;GISBORNE ST;WELLINGTON;2820;1012;M;20010706;20010727;65000;A;R;RESIDENCE;;AB;AC;;7872375;
C;130;1287472;3;20020201 12:09;2//415422;
D;130;1287472;3;20020201 12:09;P;;;;;;
D;130;1287472;3;20020201 12:09;P;;;;;;
D;130;1287472;3;20020201 12:09;V;;;;;;
B;130;1287544;4;20020201 12:09;;;9;GISBORNE ST;WELLINGTON;2820;2023;M;20011203;20020107;165000;A;R;RESIDENCE;;AA;;;8288162;
C;130;1287544;4;20020201 12:09;6/73/759073;
D;130;1287544;4;20020201 12:09;P;;;;;;
D;130;1287544;4;20020201 12:09;P;;;;;;
D;130;1287544;4;20020201 12:09;V;;;;;;
D;130;1287544;4;20020201 12:09;V;;;;;;
B;130;1287550;5;20020201 12:09;;;4;GLASSON ST;WELLINGTON;2820;727.2;M;20011022;20011122;18000;A;R;RESIDENCE;;AC;;;8228045;
C;130;1287550;5;20020201 12:09;2//36334;
D;130;1287550;5;20020201 12:09;P;;;;;;
D;130;1287550;5;20020201 12:09;V;;;;;;
D;130;1287550;5;20020201 12:09;V;;;;;;
B;130;1287625;6;20020201 12:09;;;117;GOBOLION ST;WELLINGTON;2820;626;M;20010725;20010813;40000;A;R;RESIDENCE;;AB;AC;;7869368;
C;130;1287625;6;20020201 12:09;4/31/22033;
D;130;1287625;6;20020201 12:09;P;;;;;;
D;130;1287625;6;20020201 12:09;P;;;;;;
D;130;1287625;6;20020201 12:09;V;;;;;;
