A;RTSALEDATA;139;20250120 01:07;VALNET;
B;139;1904051;1;20250120 01:07;;52;100;WILLIAM ST;FIVE DOCK;2046;;;20241127;20250110;1172000;;R;RESIDENCE;25;;;0;AU736969;
C;139;1904051;1;20250120 01:07;25/SP64727;
D;139;1904051;1;20250120 01:07;P;;;;;;
D;139;1904051;1;20250120 01:07;V;;;;;;
D;139;1904051;1;20250120 01:07;V;;;;;;
B;139;2881315;2;20250120 01:07;;70;1;BAYSIDE TCE;CABARITA;2137;;;20241128;20250110;1700000;;R;RESIDENCE;60;;;0;AU738793;
C;139;2881315;2;20250120 01:07;60/SP68715;
D;139;2881315;2;20250120 01:07;P;;;;;;
D;139;2881315;2;20250120 01:07;V;;;;;;
B;139;3064391;3;20250120 01:07;;30;143;PARRAMATTA RD;CONCORD;2137;;;20241201;20250113;590000;;R;RESIDENCE;30;;;0;AU742036;
C;139;3064391;3;20250120 01:07;30/SP72131;
D;139;3064391;3;20250120 01:07;P;;;;;;
D;139;3064391;3;20250120 01:07;V;;;;;;
B;139;3494818;4;20250120 01:07;;38;24;WALKER ST;RHODES;2138;;;20241125;20250115;830888;;R;RESIDENCE;38;;;0;AU750913;
C;139;3494818;4;20250120 01:07;38/SP73772;
D;139;3494818;4;20250120 01:07;P;;;;;;
D;139;3494818;4;20250120 01:07;V;;;;;;
D;139;3494818;4;20250120 01:07;V;;;;;;
B;139;3506599;5;20250120 01:07;;67;48;WALKER ST;RHODES;2138;;;20241203;20250114;820000;;R;RESIDENCE;60;;;0;AU745908;
C;139;3506599;5;20250120 01:07;60/SP82939;
D;139;3506599;5;20250120 01:07;P;;;;;;
D;139;3506599;5;20250120 01:07;V;;;;;;
D;139;3506599;5;20250120 01:07;V;;;;;;
B;139;3506599;6;20250120 01:07;;100;48;WALKER ST;RHODES;2138;;;20241122;20250110;1490000;;R;RESIDENCE;90;;;0;AU736522;
C;139;3506599;6;20250120 01:07;90/SP82939;
D;139;3506599;6;20250120 01:07;P;;;;;;
D;139;3506599;6;20250120 01:07;V;;;;;;
D;139;3506599;6;20250120 01:07;V;;;;;;
B;139;3588583;7;20250120 01:07;;127;54 A;BLACKWALL POINT RD;CHISWICK;2046;;;20241122;20250109;760000;;R;RESIDENCE;127;;;0;AU734894;
C;139;3588583;7;20250120 01:07;127/SP85480;
D;139;3588583;7;20250120 01:07;P;;;;;;
D;139;3588583;7;20250120 01:07;P;;;;;;
D;139;3588583;7;20250120 01:07;V;;;;;;
B;139;4102332;8;20250120 01:07;;346;2;MILL PARK ST;RHODES;2138;91;M;20241129;20250110;690000;;R;RESIDENCE;12;;;0;AU739094;
C;139;4102332;8;20250120 01:07;12/SP82380;
D;139;4102332;8;20250120 01:07;P;;;;;;
D;139;4102332;8;20250120 01:07;V;;;;;;
B;139;4051370;9;20250120 01:07;;12;64;MAJORS BAY RD;CONCORD;2137;;;20241130;20250113;1260000;;R;RESIDENCE;12;;;0;AU740458;
C;139;4051370;9;20250120 01:07;12/SP95921;
D;139;4051370;9;20250120 01:07;P;;;;;;
D;139;4051370;9;20250120 01:07;V;;;;;;
B;139;4587350;10;20250120 01:07;;1102;35;MARQUET ST;RHODES;2138;114;M;20220926;20250113;1050000;;R;RESIDENCE;56;;;0;AU741837;
C;139;4587350;10;20250120 01:07;56/SP108635;
D;139;4587350;10;20250120 01:07;P;;;;;;
D;139;4587350;10;20250120 01:07;P;;;;;;
D;139;4587350;10;20250120 01:07;V;;;;;;
B;139;4587350;11;20250120 01:07;;1103;35;MARQUET ST;RHODES;2138;110;M;20221213;20250114;1045000;;R;RESIDENCE;57;;;0;AU744625;
C;139;4587350;11;20250120 01:07;57/SP108635;
D;139;4587350;11;20250120 01:07;P;;;;;;
D;139;4587350;11;20250120 01:07;V;;;;;;
B;139;4587350;12;20250120 01:07;;1108;35;MARQUET ST;RHODES;2138;134;M;20221004;20250109;1479800;;R;RESIDENCE;62;;;0;AU735142;
C;139;4587350;12;20250120 01:07;62/SP108635;
D;139;4587350;12;20250120 01:07;P;;;;;;
D;139;4587350;12;20250120 01:07;V;;;;;;
B;139;4587350;13;20250120 01:07;;1202;35;MARQUET ST;RHODES;2138;112;M;20220914;20250110;1055000;;R;RESIDENCE;64;;;0;AU738691;
C;139;4587350;13;20250120 01:07;64/SP108635;
D;139;4587350;13;20250120 01:07;P;;;;;;
D;139;4587350;13;20250120 01:07;V;;;;;;
B;139;4587350;14;20250120 01:07;;1203;35;MARQUET ST;RHODES;2138;115;M;20220527;20250110;1033900;;R;RESIDENCE;65;;;0;AU739066;
C;139;4587350;14;20250120 01:07;65/SP108635;
D;139;4587350;14;20250120 01:07;P;;;;;;
D;139;4587350;14;20250120 01:07;V;;;;;;
B;139;4587350;15;20250120 01:07;;1205;35;MARQUET ST;RHODES;2138;131;M;20241210;20250110;1425600;;R;RESIDENCE;67;;;0;AU738280;
C;139;4587350;15;20250120 01:07;67/SP108635;
D;139;4587350;15;20250120 01:07;P;;;;;;
D;139;4587350;15;20250120 01:07;V;;;;;;
B;139;4587350;16;20250120 01:07;;1601;35;MARQUET ST;RHODES;2138;131;M;20241122;20250110;1504800;;R;RESIDENCE;70;;;0;AU737754;
C;139;4587350;16;20250120 01:07;70/SP108635;
D;139;4587350;16;20250120 01:07;P;;;;;;
D;139;4587350;16;20250120 01:07;P;;;;;;
D;139;4587350;16;20250120 01:07;V;;;;;;
B;139;4587350;17;20250120 01:07;;1304;35;MARQUET ST;RHODES;2138;131;M;20231205;20250115;1633500;;R;RESIDENCE;74;;;0;AU750313;
C;139;4587350;17;20250120 01:07;74/SP108635;
D;139;4587350;17;20250120 01:07;P;;;;;;
D;139;4587350;17;20250120 01:07;V;;;;;;
B;139;4587350;18;20250120 01:07;;1307;35;MARQUET ST;RHODES;2138;107;M;20221216;20250115;1083000;;R;RESIDENCE;77;;;0;AU748405;
C;139;4587350;18;20250120 01:07;77/SP108635;
D;139;4587350;18;20250120 01:07;P;;;;;;
D;139;4587350;18;20250120 01:07;V;;;;;;
B;139;4587350;19;20250120 01:07;;1308;35;MARQUET ST;RHODES;2138;129;M;20221005;20250110;1530000;;R;RESIDENCE;78;;;0;AU738289;
C;139;4587350;19;20250120 01:07;78/SP108635;
D;139;4587350;19;20250120 01:07;P;;;;;;
D;139;4587350;19;20250120 01:07;V;;;;;;
B;139;4587350;20;20250120 01:07;;1406;35;MARQUET ST;RHODES;2138;105;M;20220516;20250110;1087750;;R;RESIDENCE;84;;;0;AU737807;
C;139;4587350;20;20250120 01:07;84/SP108635;
D;139;4587350;20;20250120 01:07;P;;;;;;
D;139;4587350;20;20250120 01:07;V;;;;;;
B;139;4587350;21;20250120 01:07;;1601;35;MARQUET ST;RHODES;2138;131;M;20220502;20250110;1484700;;R;RESIDENCE;96;;;0;AU737730;
C;139;4587350;21;20250120 01:07;96/SP108635;
D;139;4587350;21;20250120 01:07;P;;;;;;
D;139;4587350;21;20250120 01:07;V;;;;;;
B;139;4587350;22;20250120 01:07;;1607;35;MARQUET ST;RHODES;2138;107;M;20220510;20250114;1125000;;R;RESIDENCE;102;;;0;AU744591;
C;139;4587350;22;20250120 01:07;102/SP108635;
D;139;4587350;22;20250120 01:07;P;;;;;;
D;139;4587350;22;20250120 01:07;V;;;;;;
B;139;4587350;23;20250120 01:07;;1608;35;MARQUET ST;RHODES;2138;134;M;20241001;20250110;1528800;;R;RESIDENCE;103;;;0;AU737712;
C;139;4587350;23;20250120 01:07;103/SP108635;
D;139;4587350;23;20250120 01:07;P;;;;;;
D;139;4587350;23;20250120 01:07;V;;;;;;
B;139;4587350;24;20250120 01:07;;1703;35;MARQUET ST;RHODES;2138;108;M;20220712;20250110;1080000;;R;RESIDENCE;106;;;0;AU739112;
C;139;4587350;24;20250120 01:07;106/SP108635;
D;139;4587350;24;20250120 01:07;P;;;;;;
D;139;4587350;24;20250120 01:07;V;;;;;;
B;139;4587350;25;20250120 01:07;;1707;35;MARQUET ST;RHODES;2138;110;M;20220524;20250110;1136800;;R;RESIDENCE;110;;;0;AU739123;
C;139;4587350;25;20250120 01:07;110/SP108635;
D;139;4587350;25;20250120 01:07;P;;;;;;
D;139;4587350;25;20250120 01:07;V;;;;;;
