A;RTSALEDATA;271;20250217 01:09;VALNET;
B;271;736153;1;20250217 01:09;;16;105;BALGOWLAH RD;FAIRLIGHT;2094;;;20241106;20241218;1260000;;R;RESIDENCE;16;;;0;AU695471;
C;271;736153;1;20250217 01:09;16/SP34879;
D;271;736153;1;20250217 01:09;P;;;;;;
D;271;736153;1;20250217 01:09;P;;;;;;
D;271;736153;1;20250217 01:09;V;;;;;;
D;271;736153;1;20250217 01:09;V;;;;;;
B;271;750349;2;20250217 01:09;;15;133;SYDNEY RD;FAIRLIGHT;2094;;;20241116;20250206;3850000;;R;RESIDENCE;15;;;0;AU807667;
C;271;750349;2;20250217 01:09;15/SP2446;
D;271;750349;2;20250217 01:09;P;;;;;;
D;271;750349;2;20250217 01:09;P;;;;;;
D;271;750349;2;20250217 01:09;V;;;;;;
D;271;750349;2;20250217 01:09;V;;;;;;
B;271;750400;3;20250217 01:09;;4;115;SYDNEY RD;MANLY;2095;;;20241216;20250213;1330000;;R;RESIDENCE;4;;;0;AU823164;
C;271;750400;3;20250217 01:09;4/SP30901;
D;271;750400;3;20250217 01:09;P;;;;;;
D;271;750400;3;20250217 01:09;V;;;;;;
B;271;745463;4;20250217 01:09;;;85;NEW ST W;CLONTARF;2093;486.9;M;20241108;20250206;4600000;R2;R;RESIDENCE;;RAA;;0;AU807540;
C;271;745463;4;20250217 01:09;1/507020;
D;271;745463;4;20250217 01:09;P;;;;;;
D;271;745463;4;20250217 01:09;P;;;;;;
D;271;745463;4;20250217 01:09;P;;;;;;
D;271;745463;4;20250217 01:09;V;;;;;;
D;271;745463;4;20250217 01:09;V;;;;;;
B;271;2885377;5;20250217 01:09;;;;BEACON HILL RD;BROOKVALE;2100;9.78;H;20241217;20250211;2325000;C2;V;VACANT LAND;;WEC;;0;AU818053;
C;271;2885377;5;20250217 01:09;8/1035344;
D;271;2885377;5;20250217 01:09;P;;;;;;
D;271;2885377;5;20250217 01:09;V;;;;;;
D;271;2885377;5;20250217 01:09;V;;;;;;
