A;RTSALEDATA;263;20250414 01:21;VALNET;
B;263;518358;1;20250414 01:21;;;32;PAYNE ST;MULWALA;2647;902;M;20250205;20250407;620000;R1;R;RESIDENCE;;AMC;;0;AU958309;
C;263;518358;1;20250414 01:21;12/801604;
D;263;518358;1;20250414 01:21;P;;;;;;
D;263;518358;1;20250414 01:21;P;;;;;;
D;263;518358;1;20250414 01:21;V;;;;;;
D;263;518358;1;20250414 01:21;V;;;;;;
B;263;514174;2;20250414 01:21;;;251;SKEHANS LANE;COROWA;2646;4.049;H;20250219;20250404;490000;RU1;R;RESIDENCE;;RHC;;0;AU950755;
C;263;514174;2;20250414 01:21;4/248972;
D;263;514174;2;20250414 01:21;P;;;;;;
D;263;514174;2;20250414 01:21;V;;;;;;
B;263;4607141;3;20250414 01:21;;;2514;BOREE CREEK RD;BOREE CREEK;2652;202.4;H;20240912;20250328;2000000;;3;FARM;;;;0;AU931592;
C;263;4607141;3;20250414 01:21;114/756428;
D;263;4607141;3;20250414 01:21;P;;;;;;
D;263;4607141;3;20250414 01:21;P;;;;;;
D;263;4607141;3;20250414 01:21;V;;;;;;
B;263;530737;4;20250414 01:21;;;4;PELL ST;HOWLONG;2643;1005;M;20250304;20250403;510000;R1;R;RESIDENCE;;AHA;;0;AU947949;
C;263;530737;4;20250414 01:21;7/248003;
D;263;530737;4;20250414 01:21;P;;;;;;
D;263;530737;4;20250414 01:21;V;;;;;;
D;263;530737;4;20250414 01:21;V;;;;;;
B;263;4325205;5;20250414 01:21;;;5;HUGHES CT;COROWA;2646;812;M;20250307;20250404;640000;R2;R;RESIDENCE;;LCW;;0;AU952757;
C;263;4325205;5;20250414 01:21;1/1268732;
D;263;4325205;5;20250414 01:21;P;;;;;;
D;263;4325205;5;20250414 01:21;P;;;;;;
D;263;4325205;5;20250414 01:21;V;;;;;;
Z;27;5;5;15;
