A;207;20011109 15:24;CDIXON;
B;207;1972184;1;20011109 15:24;;16;2;ABBOTT ST;COOGEE;2034;;;20010709;20010827;416000;;R;RESIDENCE;16;;;;7918263;
C;207;1972184;1;20011109 15:24;16//SP 8810;
D;207;1972184;1;20011109 15:24;P;;;;;;
D;207;1972184;1;20011109 15:24;P;;;;;;
D;207;1972184;1;20011109 15:24;V;;;;;;
D;207;1972184;1;20011109 15:24;V;;;;;;
B;207;1972330;2;20011109 15:24;;;23;ABOUD AVE;KINGSFORD;2032;;;20010719;20010830;775000;A;3;;;AC;;;7905238;
C;207;1972330;2;20011109 15:24;34//11592;
D;207;1972330;2;20011109 15:24;P;;;;;;
D;207;1972330;2;20011109 15:24;P;;;;;;
D;207;1972330;2;20011109 15:24;V;;;;;;
B;207;1972341;3;20011109 15:24;;6;6;ADA ST;RANDWICK;2031;;;20010719;20010830;425000;;R;RESIDENCE;6;;;;7906745;
C;207;1972341;3;20011109 15:24;6//12431;
D;207;1972341;3;20011109 15:24;P;;;;;;
D;207;1972341;3;20011109 15:24;V;;;;;;
D;207;1972341;3;20011109 15:24;V;;;;;;
B;207;1972605;4;20011109 15:24;;1;10;ALBERT ST;RANDWICK;2031;;;20010719;20010830;331000;;R;RESIDENCE;1;;;;7916754;
C;207;1972605;4;20011109 15:24;1//4973;
D;207;1972605;4;20011109 15:24;P;;;;;;
D;207;1972605;4;20011109 15:24;V;;;;;;
D;207;1972605;4;20011109 15:24;V;;;;;;
B;207;1972725;5;20011109 15:24;;2;66;ALBION ST;RANDWICK;2031;;;20010726;20010906;335000;;R;RESIDENCE;2;;;;7930001;
C;207;1972725;5;20011109 15:24;2//41790;
D;207;1972725;5;20011109 15:24;P;;;;;;
D;207;1972725;5;20011109 15:24;V;;;;;;
B;207;1972737;6;20011109 15:24;;2;72;ALBION ST;RANDWICK;2031;;;20010712;20010831;347000;;R;RESIDENCE;2;;;;7920699;
C;207;1972737;6;20011109 15:24;2//SP 55893;
D;207;1972737;6;20011109 15:24;P;;;;;;
D;207;1972737;6;20011109 15:24;V;;;;;;
D;207;1972737;6;20011109 15:24;V;;;;;;
B;207;1972847;7;20011109 15:24;;;27;ALEXANDER ST;COOGEE;2034;164.4;M;20010807;20010904;541000;A;R;RESIDENCE;;AG;;;7924909;
