A;187;20110801 02:23;VALNET;
B;187;3472444;1;20110801 02:23;BONNIE DOWNS & CRAIGIE LEA;;;KEECH'S RD;MULLALEY;2379;607.91;H;20110418;20110603;1350000;R;3;FARM;;CG;;0;AG341751;
C;187;3472444;1;20110801 02:23;1/623928 74, 75, 83, 87/755491 1/1135278 , Licence 316803;
D;187;3472444;1;20110801 02:23;P;;;;;;
D;187;3472444;1;20110801 02:23;P;;;;;;
D;187;3472444;1;20110801 02:23;V;;;;;;
D;187;3472444;1;20110801 02:23;V;;;;;;
B;187;1851120;2;20110801 02:23;;;6;LITTLE HUNTER ST;GUNNEDAH;2380;556.4;M;20110602;20110708;108000;A;R;RESIDENCE;;AR;;0;AG381243;
C;187;1851120;2;20110801 02:23;B/368984;
D;187;1851120;2;20110801 02:23;P;;;;;;
D;187;1851120;2;20110801 02:23;V;;;;;;
D;187;1851120;2;20110801 02:23;V;;;;;;
B;187;1848832;3;20110801 02:23;;;20;BANKSIA PL;GUNNEDAH;2380;1063;M;20110530;20110711;382000;A;R;RESIDENCE;;AS;;0;AG381591;
C;187;1848832;3;20110801 02:23;41/844718;
D;187;1848832;3;20110801 02:23;P;;;;;;
D;187;1848832;3;20110801 02:23;P;;;;;;
D;187;1848832;3;20110801 02:23;V;;;;;;
B;187;1851344;4;20110801 02:23;;;79;OXLEY HWY;GUNNEDAH;2380;4.249;H;20110603;20110715;350000;R;R;RESIDENCE;;FA;;0;AG383864;
C;187;1851344;4;20110801 02:23;219/755503;
D;187;1851344;4;20110801 02:23;P;;;;;;
D;187;1851344;4;20110801 02:23;V;;;;;;
B;187;1849902;5;20110801 02:23;;;16;ELIZABETH ST;GUNNEDAH;2380;841;M;20110524;20110705;365000;A;R;RESIDENCE;;AS;;0;AG366687;
C;187;1849902;5;20110801 02:23;16/223986;
D;187;1849902;5;20110801 02:23;P;;;;;;
D;187;1849902;5;20110801 02:23;P;;;;;;
D;187;1849902;5;20110801 02:23;V;;;;;;
B;187;1850138;6;20110801 02:23;;;101;GEORGE ST;GUNNEDAH;2380;910.5;M;20110629;20110708;332500;A;R;RESIDENCE;;AR;;0;AG384424;
C;187;1850138;6;20110801 02:23;8/18131;
D;187;1850138;6;20110801 02:23;P;;;;;;
D;187;1850138;6;20110801 02:23;V;;;;;;
D;187;1850138;6;20110801 02:23;V;;;;;;
D;187;1850138;6;20110801 02:23;V;;;;;;
B;187;1852697;7;20110801 02:23;;;13;MOFFATT ST;BREEZA;2381;2023;M;20100826;20110712;20000;A;V;VACANT LAND;;AT;;0;AG375639;
C;187;1852697;7;20110801 02:23;1/21/758160;
D;187;1852697;7;20110801 02:23;P;;;;;;
D;187;1852697;7;20110801 02:23;V;;;;;;
B;187;1853538;8;20110801 02:23;;;11861;KAMILAROI HWY;EMERALD HILL;2380;194.8;H;20110524;20110705;4137000;R;3;FARM;;WB;;0;AG367540;
C;187;1853538;8;20110801 02:23;95, 303/755495;
D;187;1853538;8;20110801 02:23;P;;;;;;
D;187;1853538;8;20110801 02:23;V;;;;;;
D;187;1853538;8;20110801 02:23;V;;;;;;
Z;42;8;8;24;
