A;205;20030716 14:02;PDANN;
B;205;1912676;1;20030716 14:02;;;43;AINSWORTH ST;LILYFIELD;2040;;;20030430;20030625;655000;A;R;RESIDENCE;;EA;;0;9752162;
C;205;1912676;1;20030716 14:02;11/B/4725;
D;205;1912676;1;20030716 14:02;P;;;;;;
D;205;1912676;1;20030716 14:02;V;;;;;;
D;205;1912676;1;20030716 14:02;V;;;;;;
B;205;1912802;2;20030716 14:02;;1;1;ALBERT ST;ROZELLE;2039;;;20030610;20030630;500000;;R;RESIDENCE;1;;;0;9752092;
C;205;1912802;2;20030716 14:02;1//SP 19680;
D;205;1912802;2;20030716 14:02;P;;;;;;
D;205;1912802;2;20030716 14:02;P;;;;;;
D;205;1912802;2;20030716 14:02;V;;;;;;
B;205;1913537;3;20030716 14:02;;;79;ALLEN ST;LEICHHARDT;2040;360.4;M;20030415;20030610;500667;A;3;SHOP;;EA;;0;9753232;
C;205;1913537;3;20030716 14:02;1/1/318;
D;205;1913537;3;20030716 14:02;P;;;;;;
D;205;1913537;3;20030716 14:02;P;;;;;;
D;205;1913537;3;20030716 14:02;V;;;;;;
B;205;1914149;4;20030716 14:02;;;7;ARTHUR ST;BALMAIN;2041;229.4;M;20030412;20030526;1320000;A;R;RESIDENCE;;EC;;0;9753482;
C;205;1914149;4;20030716 14:02;501//831417;
D;205;1914149;4;20030716 14:02;P;;;;;;
D;205;1914149;4;20030716 14:02;V;;;;;;
B;205;1914943;5;20030716 14:02;;;431;BALMAIN RD;LILYFIELD;2040;;;20030517;20030627;625000;A;R;RESIDENCE;;EA;;0;9766182;
C;205;1914943;5;20030716 14:02;2//316529;
D;205;1914943;5;20030716 14:02;P;;;;;;
D;205;1914943;5;20030716 14:02;P;;;;;;
D;205;1914943;5;20030716 14:02;V;;;;;;
B;205;1915351;6;20030716 14:02;;;84;BEATTIE ST;BALMAIN;2041;;;20030520;20030627;838000;A;R;RESIDENCE;;EB;;0;9760208;
C;205;1915351;6;20030716 14:02;A//438304;
D;205;1915351;6;20030716 14:02;P;;;;;;
D;205;1915351;6;20030716 14:02;P;;;;;;
D;205;1915351;6;20030716 14:02;V;;;;;;
