A;195;20011109 09:56;CDIXON;
B;195;1872339;1;20011109 09:56;;;;ATTUNGA ST;ATTUNGA;2345;4540;M;20010502;20010613;105000;Z;R;RESIDENCE;;ZA;AC;;7758253;
C;195;1872339;1;20011109 09:56;312//753834 6, 7, 8/1/758039;
D;195;1872339;1;20011109 09:56;P;;;;;;
D;195;1872339;1;20011109 09:56;P;;;;;;
D;195;1872339;1;20011109 09:56;V;;;;;;
B;195;1872432;2;20011109 09:56;;;;ATTUNGA ST;ATTUNGA;2345;3.998;H;20010601;20010629;142000;R;R;RESIDENCE;;FG;RF;;7740701;
C;195;1872432;2;20011109 09:56;14, 15//7799;
D;195;1872432;2;20011109 09:56;P;;;;;;
D;195;1872432;2;20011109 09:56;V;;;;;;
B;195;1872700;3;20011109 09:56;;;7;CORONATION AVE;WERRIS CREEK;2341;493.2;M;20010629;20010706;22000;Z;R;RESIDENCE;;ZW;AC;;7781551;
C;195;1872700;3;20011109 09:56;11//662328;
D;195;1872700;3;20011109 09:56;P;;;;;;
D;195;1872700;3;20011109 09:56;V;;;;;;
B;195;1872912;4;20011109 09:56;;;35;GORDON ST;WERRIS CREEK;2341;739.8;M;20010601;20010704;33600;Z;R;RESIDENCE;;ZW;RR;;7808800;
C;195;1872912;4;20011109 09:56;5/11/9988;
D;195;1872912;4;20011109 09:56;P;;;;;;
D;195;1872912;4;20011109 09:56;V;;;;;;
B;195;1873085;5;20011109 09:56;;;6;KURRARA ST;WERRIS CREEK;2341;714.5;M;20010612;20010709;49000;Z;R;RESIDENCE;;ZW;AC;;7786137;
C;195;1873085;5;20011109 09:56;17/9/9988;
D;195;1873085;5;20011109 09:56;P;;;;;;
D;195;1873085;5;20011109 09:56;P;;;;;;
D;195;1873085;5;20011109 09:56;V;;;;;;
B;195;1873739;6;20011109 09:56;;;;PH HANING;TAMWORTH;2340;1.867;H;20010504;20010601;33000;R;V;VACANT LAND;;FR;RV;;7716310;
C;195;1873739;6;20011109 09:56;52//753839;
D;195;1873739;6;20011109 09:56;P;;;;;;
D;195;1873739;6;20011109 09:56;P;;;;;;
D;195;1873739;6;20011109 09:56;V;;;;;;
B;195;1874211;7;20011109 09:56;;;;PH MOONBI;MOONBI;2353;3.194;H;20010626;20010719;170000;R;R;RESIDENCE;;FT;RF;;7797876;
C;195;1874211;7;20011109 09:56;1//732512;
D;195;1874211;7;20011109 09:56;P;;;;;;
D;195;1874211;7;20011109 09:56;P;;;;;;
D;195;1874211;7;20011109 09:56;V;;;;;;
B;195;1874363;8;20011109 09:56;;;;MOONBI GAP RD;MOONBI;2353;29.03;H;20010327;20010405;190000;R;3;HOBBY FARM ;;HT;RF;;7755729;
C;195;1874363;8;20011109 09:56;11//864878;
D;195;1874363;8;20011109 09:56;P;;;;;;
D;195;1874363;8;20011109 09:56;P;;;;;;
D;195;1874363;8;20011109 09:56;V;;;;;;
B;195;1874442;9;20011109 09:56;;;;CHAFFEY ST;KOOTINGAL;2352;683.6;M;20010221;20010409;107000;Z;R;RESIDENCE;;ZK;AC;;7746857;
C;195;1874442;9;20011109 09:56;1//816367;
D;195;1874442;9;20011109 09:56;P;;;;;;
D;195;1874442;9;20011109 09:56;P;;;;;;
D;195;1874442;9;20011109 09:56;V;;;;;;
D;195;1874442;9;20011109 09:56;V;;;;;;
B;195;1874685;10;20011109 09:56;;;18;JOHNS DR;KOOTINGAL;2352;806;M;20010620;20010726;90000;Z;R;RESIDENCE;;ZK;AC;;7813869;
C;195;1874685;10;20011109 09:56;25//258805;
D;195;1874685;10;20011109 09:56;P;;;;;;
D;195;1874685;10;20011109 09:56;P;;;;;;
D;195;1874685;10;20011109 09:56;V;;;;;;
B;195;1874738;11;20011109 09:56;;;;LEONORA CRES;KOOTINGAL;2352;650;M;20010525;20010706;6000;Z;V;VACANT LAND;;ZK;AV;;7763581;
C;195;1874738;11;20011109 09:56;33//817020;
D;195;1874738;11;20011109 09:56;P;;;;;;
D;195;1874738;11;20011109 09:56;V;;;;;;
B;195;1874850;12;20011109 09:56;;;;STATION ST;KOOTINGAL;2352;720;M;20010601;20010629;116000;Z;R;RESIDENCE;;ZK;AC;;7781590;
C;195;1874850;12;20011109 09:56;7//828304;
D;195;1874850;12;20011109 09:56;P;;;;;;
D;195;1874850;12;20011109 09:56;P;;;;;;
D;195;1874850;12;20011109 09:56;V;;;;;;
B;195;1874896;13;20011109 09:56;;;4;WAGONIA DR;KOOTINGAL;2352;987.7;M;20010606;20010713;89000;Z;R;RESIDENCE;;ZK;AC;;7782073;
C;195;1874896;13;20011109 09:56;6//263750;
D;195;1874896;13;20011109 09:56;P;;;;;;
D;195;1874896;13;20011109 09:56;P;;;;;;
D;195;1874896;13;20011109 09:56;V;;;;;;
B;195;1875473;14;20011109 09:56;;;;BROOKLYN PARK RD;NEMINGHA;2340;2;H;20010531;20010626;160000;R;R;RESIDENCE;;FB;RR;;7731689;
C;195;1875473;14;20011109 09:56;30//719925;
D;195;1875473;14;20011109 09:56;P;;;;;;
D;195;1875473;14;20011109 09:56;P;;;;;;
D;195;1875473;14;20011109 09:56;V;;;;;;
B;195;1875521;15;20011109 09:56;;;;ADOLPHUS DR;NEMINGHA;2340;2.043;H;20010522;20010706;44000;R;V;VACANT LAND;;FB;RV;;7761449;
C;195;1875521;15;20011109 09:56;406//813108;
D;195;1875521;15;20011109 09:56;P;;;;;;
D;195;1875521;15;20011109 09:56;P;;;;;;
D;195;1875521;15;20011109 09:56;V;;;;;;
B;195;1876250;16;20011109 09:56;;;;PH TANGARATTA;TAMWORTH;2340;39.16;H;20010509;20010625;140000;R;3;FARM/RURAL ;;HM;RF;;7762553;
C;195;1876250;16;20011109 09:56;1//579693;
D;195;1876250;16;20011109 09:56;P;;;;;;
D;195;1876250;16;20011109 09:56;V;;;;;;
B;195;1876254;17;20011109 09:56;;;;PH TANGARATTA;TAMWORTH;2340;6.855;H;20010619;20010716;160000;R;R;RESIDENCE;;FM;RF;;7789453;
C;195;1876254;17;20011109 09:56;111//584957;
D;195;1876254;17;20011109 09:56;P;;;;;;
D;195;1876254;17;20011109 09:56;P;;;;;;
D;195;1876254;17;20011109 09:56;V;;;;;;
B;195;1876392;18;20011109 09:56;;;;PH TIMBUMBURI;TAMWORTH;2340;13.35;H;20010430;20010629;86000;R;R;RESIDENCE;;HC;RF;;7771482;
C;195;1876392;18;20011109 09:56;15//245297;
D;195;1876392;18;20011109 09:56;P;;;;;;
D;195;1876392;18;20011109 09:56;P;;;;;;
D;195;1876392;18;20011109 09:56;V;;;;;;
B;195;1876405;19;20011109 09:56;;;;PH TIMBUMBURI;TAMWORTH;2340;40.47;H;20010607;20010705;120000;R;R;RESIDENCE;;HC;RR;;7788145;
C;195;1876405;19;20011109 09:56;352//253731;
D;195;1876405;19;20011109 09:56;P;;;;;;
D;195;1876405;19;20011109 09:56;P;;;;;;
D;195;1876405;19;20011109 09:56;P;;;;;;
D;195;1876405;19;20011109 09:56;V;;;;;;
B;195;1876512;20;20011109 09:56;;;;WARRAL ST;DURI;2344;2023;M;20010518;20010704;107000;Z;R;RESIDENCE;;ZD;AC;;7783613;
C;195;1876512;20;20011109 09:56;4/1/758368;
D;195;1876512;20;20011109 09:56;P;;;;;;
D;195;1876512;20;20011109 09:56;P;;;;;;
D;195;1876512;20;20011109 09:56;V;;;;;;
B;195;1876587;21;20011109 09:56;;;;RAILWAY AVE;DURI;2344;1012;M;20010507;20010604;79500;Z;R;RESIDENCE;;ZD;AC;;7751763;
C;195;1876587;21;20011109 09:56;3/13/758368;
D;195;1876587;21;20011109 09:56;P;;;;;;
D;195;1876587;21;20011109 09:56;P;;;;;;
D;195;1876587;21;20011109 09:56;V;;;;;;
B;195;1876930;22;20011109 09:56;;;;MANILLA RD;HALLSVILLE;2340;2.031;H;20010510;20010614;190000;R;R;RESIDENCE;;FW;AC;;7732937;
C;195;1876930;22;20011109 09:56;11//240530;
D;195;1876930;22;20011109 09:56;P;;;;;;
D;195;1876930;22;20011109 09:56;P;;;;;;
D;195;1876930;22;20011109 09:56;V;;;;;;
B;195;2822961;23;20011109 09:56;;;;PH ATTUNGA;MOORE CREEK;2340;37.19;H;20010501;20010628;100000;R;V;VACANT LAND;;HT;RF;;7797841;
C;195;2822961;23;20011109 09:56;2//1024950;
