A;059;20020603 09:54;PTHIRLWELL;
B;059;527718;1;20020603 09:54;;;;PH HOLBROOK;HOLBROOK;2644;27.92;H;20020403;20020503;70000;R;V;VACANT LAND;;HM;;;8581901;
C;059;527718;1;20020603 09:54;73//753340;
D;059;527718;1;20020603 09:54;P;;;;;;
D;059;527718;1;20020603 09:54;V;;;;;;
D;059;527718;1;20020603 09:54;V;;;;;;
B;059;527835;2;20020603 09:54;;;;OFF BRUCE ST;HOLBROOK;2644;50.73;H;20020319;20020412;210000;R;V;VACANT LAND;;HM;;;8610362;
C;059;527835;2;20020603 09:54;1//839714;
D;059;527835;2;20020603 09:54;P;;;;;;
D;059;527835;2;20020603 09:54;V;;;;;;
D;059;527835;2;20020603 09:54;V;;;;;;
B;059;527910;3;20020603 09:54;;;;ALBURY;HOLBROOK;2644;834.7;M;20020326;20020412;40000;A;R;RESIDENCE;;AA;;;8589006;
C;059;527910;3;20020603 09:54;A//359474;
D;059;527910;3;20020603 09:54;P;;;;;;
D;059;527910;3;20020603 09:54;V;;;;;;
B;059;528236;4;20020603 09:54;;;68;PEEL;HOLBROOK;2644;1012;M;20020218;20020314;30000;A;R;RESIDENCE;;AB;;;8626422;
C;059;528236;4;20020603 09:54;9/36/758522;
D;059;528236;4;20020603 09:54;P;;;;;;
D;059;528236;4;20020603 09:54;V;;;;;;
B;059;528543;5;20020603 09:54;;;;YOUNG ST;HOLBROOK;2644;2023;M;20020328;20020426;95000;A;R;RESIDENCE;;AA;;;8570092;
C;059;528543;5;20020603 09:54;6/9/758522;
D;059;528543;5;20020603 09:54;P;;;;;;
D;059;528543;5;20020603 09:54;P;;;;;;
D;059;528543;5;20020603 09:54;V;;;;;;
D;059;528543;5;20020603 09:54;V;;;;;;
D;059;528543;5;20020603 09:54;V;;;;;;
B;059;528687;6;20020603 09:54;;;;PH MURRAY PH PORS;HOLBROOK;2644;473.38;H;20011130;20020304;1310000;R;3;RURAL LAND;;RC;;;8459321;
C;059;528687;6;20020603 09:54;78, 79//753331 146//753338 3, 37, 44, 94//753352;
D;059;528687;6;20020603 09:54;P;;;;;;
D;059;528687;6;20020603 09:54;P;;;;;;
D;059;528687;6;20020603 09:54;V;;;;;;
B;059;528729;7;20020603 09:54;'AVOCA';;;RIVER RD;TALMALMO;2640;1449;H;20011203;20020207;1300000;R;3;FARM;;RL;;;8421338;
C;059;528729;7;20020603 09:54;1//104010 1, 2, 3//134678 104, 105, 107, 124, 126, 128, 36, 43, 44, 45;
C;059;528729;7;20020603 09:54;, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 61, 69, 80, 81, 82, 85, ;
C;059;528729;7;20020603 09:54;97//753355 Enclosure Permit 14591 Enclosure Permit 14536 . .;
D;059;528729;7;20020603 09:54;P;;;;;;
D;059;528729;7;20020603 09:54;P;;;;;;
D;059;528729;7;20020603 09:54;V;;;;;;
D;059;528729;7;20020603 09:54;V;;;;;;
B;059;2898548;8;20020603 09:54;;;;FORD;HOLBROOK;2644;1985.4;M;20020418;20020423;16000;A;V;VACANT LAND;;AD;;;8562259;
C;059;2898548;8;20020603 09:54;13/38/758522;
D;059;2898548;8;20020603 09:54;P;;;;;;
D;059;2898548;8;20020603 09:54;V;;;;;;
D;059;2898548;8;20020603 09:54;V;;;;;;
Z;45;8;10;25;
