A;251;20030501 13:04;PBARBER;
B;251;2673742;1;20030501 13:04;;;100;DANDALOO ST;TRANGIE;2823;1012;M;20021023;20021115;30000;Z;R;RESIDENCE;;AF;;;9383573;
C;251;2673742;1;20030501 13:04;10/1/3903;
D;251;2673742;1;20030501 13:04;P;;;;;;
D;251;2673742;1;20030501 13:04;V;;;;;;
B;251;2674318;2;20030501 13:04;;;133;A'BECKETT ST;NARROMINE;2821;1014;M;20030131;20030402;129000;Z;R;RESIDENCE;;AA;;;9532350;
C;251;2674318;2;20030501 13:04;91//589390;
D;251;2674318;2;20030501 13:04;P;;;;;;
D;251;2674318;2;20030501 13:04;V;;;;;;
B;251;2674621;3;20030501 13:04;;;106;CATHUNDRIL ST;NARROMINE;2821;739.8;M;20030303;20030411;82000;Z;R;RESIDENCE;;AA;;;9543223;
C;251;2674621;3;20030501 13:04;1/40/244259;
D;251;2674621;3;20030501 13:04;P;;;;;;
D;251;2674621;3;20030501 13:04;P;;;;;;
D;251;2674621;3;20030501 13:04;V;;;;;;
B;251;2674754;4;20030501 13:04;;;;DANDALOO ST;NARROMINE;2821;2023;M;20030402;20030407;860000;Z;3;HOTEL;;BA;;;9539073;
C;251;2674754;4;20030501 13:04;4/23/758759;
D;251;2674754;4;20030501 13:04;P;;;;;;
D;251;2674754;4;20030501 13:04;P;;;;;;
D;251;2674754;4;20030501 13:04;V;;;;;;
D;251;2674754;4;20030501 13:04;V;;;;;;
B;251;2675067;5;20030501 13:04;;;;KURRAJONG PDE;NARROMINE;2821;1367;M;20020416;20030404;22000;Z;V;VACANT LAND;;AB;;;9521795;
C;251;2675067;5;20030501 13:04;203//873411;
D;251;2675067;5;20030501 13:04;P;;;;;;
D;251;2675067;5;20030501 13:04;P;;;;;;
D;251;2675067;5;20030501 13:04;V;;;;;;
B;251;2675309;6;20030501 13:04;;;110;MERYULA ST;NARROMINE;2821;1492;M;20030113;20030128;100000;Z;R;RESIDENCE;;AA;AC;;9357984;
C;251;2675309;6;20030501 13:04;B//348563 PT 8/25/755131;
D;251;2675309;6;20030501 13:04;P;;;;;;
D;251;2675309;6;20030501 13:04;P;;;;;;
D;251;2675309;6;20030501 13:04;V;;;;;;
B;251;2675565;7;20030501 13:04;;;112;PAYTEN CL;NARROMINE;2821;701.9;M;20030221;20030403;103000;Z;3;;;AB;;;9533535;
C;251;2675565;7;20030501 13:04;49//262069;
D;251;2675565;7;20030501 13:04;P;;;;;;
D;251;2675565;7;20030501 13:04;V;;;;;;
B;251;2675600;8;20030501 13:04;;;329;RIVER DR;NARROMINE;2821;2.72;H;20030226;20030411;91000;R;V;VACANT LAND;;RC;;;9546684;
C;251;2675600;8;20030501 13:04;4//261903;
D;251;2675600;8;20030501 13:04;P;;;;;;
D;251;2675600;8;20030501 13:04;P;;;;;;
D;251;2675600;8;20030501 13:04;V;;;;;;
D;251;2675600;8;20030501 13:04;V;;;;;;
B;251;2675858;9;20030501 13:04;;;152;THIRD AVE S;NARROMINE;2821;;;20030210;20030415;74000;Z;R;RESIDENCE;;AA;;;9540085;
C;251;2675858;9;20030501 13:04;3/2/15250;
D;251;2675858;9;20030501 13:04;P;;;;;;
D;251;2675858;9;20030501 13:04;P;;;;;;
D;251;2675858;9;20030501 13:04;V;;;;;;
B;251;2790050;10;20030501 13:04;;;;PART 'MYALL';NARROMINE;2821;486.9;H;20021224;20030204;995000;R;3;FARM;;RJ;RM;;9438938;
C;251;2790050;10;20030501 13:04;12, 30//755118 . WA GL3;
D;251;2790050;10;20030501 13:04;P;;;;;;
D;251;2790050;10;20030501 13:04;P;;;;;;
D;251;2790050;10;20030501 13:04;V;;;;;;
D;251;2790050;10;20030501 13:04;V;;;;;;
Z;52;10;10;30;
