A;538;20030916 09:58;PDANN;
B;538;2690549;1;20030916 09:58;;;19;BEATTIE ST;TEMORA;2666;750;M;20030801;20030829;12950;A;V;VACANT LAND;;AB;;0;9939968;
C;538;2690549;1;20030916 09:58;12//854161;
D;538;2690549;1;20030916 09:58;P;;;;;;
D;538;2690549;1;20030916 09:58;V;;;;;;
D;538;2690549;1;20030916 09:58;V;;;;;;
B;538;2690674;2;20030916 09:58;;;123;BRITANNIA ST;TEMORA;2666;;;20030710;20030807;90000;A;R;RESIDENCE;;AB;;0;9936345;
C;538;2690674;2;20030916 09:58;26//13818;
D;538;2690674;2;20030916 09:58;P;;;;;;
D;538;2690674;2;20030916 09:58;V;;;;;;
D;538;2690674;2;20030916 09:58;V;;;;;;
B;538;2691275;3;20030916 09:58;;;119;GREY ST;TEMORA;2666;1080;M;20030804;20030902;80000;A;3;;;AB;;0;9944329;
C;538;2691275;3;20030916 09:58;1//594177;
D;538;2691275;3;20030916 09:58;P;;;;;;
D;538;2691275;3;20030916 09:58;V;;;;;;
D;538;2691275;3;20030916 09:58;V;;;;;;
B;538;2691315;4;20030916 09:58;;;78;HAIG ST;TEMORA;2666;1407;M;20030707;20030718;75000;A;R;RESIDENCE;;AA;;0;9921931;
C;538;2691315;4;20030916 09:58;11//593894;
D;538;2691315;4;20030916 09:58;P;;;;;;
D;538;2691315;4;20030916 09:58;P;;;;;;
D;538;2691315;4;20030916 09:58;V;;;;;;
B;538;2691362;5;20030916 09:58;;;189;HOSKINS ST;TEMORA;2666;252.9;M;20030613;20030808;50000;B;3;SHOP;;BA;;0;9958792;
C;538;2691362;5;20030916 09:58;2//350536;
D;538;2691362;5;20030916 09:58;P;;;;;;
D;538;2691362;5;20030916 09:58;P;;;;;;
D;538;2691362;5;20030916 09:58;V;;;;;;
B;538;2691364;6;20030916 09:58;;;185;HOSKINS ST;TEMORA;2666;234;M;20030613;20030808;50000;B;3;SHOP;;BA;;0;9958866;
C;538;2691364;6;20030916 09:58;4//350536;
D;538;2691364;6;20030916 09:58;P;;;;;;
D;538;2691364;6;20030916 09:58;P;;;;;;
D;538;2691364;6;20030916 09:58;V;;;;;;
D;538;2691364;6;20030916 09:58;V;;;;;;
B;538;2691588;7;20030916 09:58;;;5;JOFFRE ST;TEMORA;2666;3.583;H;20030523;20030806;170000;R;R;RESIDENCE;;HR;;0;9942425;
C;538;2691588;7;20030916 09:58;42//871871;
D;538;2691588;7;20030916 09:58;P;;;;;;
D;538;2691588;7;20030916 09:58;P;;;;;;
D;538;2691588;7;20030916 09:58;V;;;;;;
D;538;2691588;7;20030916 09:58;V;;;;;;
