A;097;20110801 02:09;VALNET;
B;097;2998773;1;20110801 02:09;;;150;EDWARD RD;BATEHAVEN;2536;629.4;M;20110610;20110715;450000;A;R;RESIDENCE;;YH;;0;AG369458;
C;097;2998773;1;20110801 02:09;23/1054142;
D;097;2998773;1;20110801 02:09;P;;;;;;
D;097;2998773;1;20110801 02:09;P;;;;;;
D;097;2998773;1;20110801 02:09;V;;;;;;
B;097;3485979;2;20110801 02:09;;;4;BEACHSIDE BVD;TOMAKIN;2537;768.3;M;20090529;20091125;330000;A;V;VACANT LAND;;XP;;0;AG186542;
C;097;3485979;2;20110801 02:09;2/1141361;
D;097;3485979;2;20110801 02:09;P;;;;;;
D;097;3485979;2;20110801 02:09;P;;;;;;
D;097;3485979;2;20110801 02:09;V;;;;;;
B;097;3020341;3;20110801 02:09;;;5;GOSSE PL;SUNSHINE BAY;2536;831.6;M;20110421;20110720;478000;A;R;RESIDENCE;;YH;;0;AG388631;
C;097;3020341;3;20110801 02:09;354/1058030;
D;097;3020341;3;20110801 02:09;P;;;;;;
D;097;3020341;3;20110801 02:09;P;;;;;;
D;097;3020341;3;20110801 02:09;V;;;;;;
D;097;3020341;3;20110801 02:09;V;;;;;;
B;097;3079385;4;20110801 02:09;;;8 A;BERNADETTE BVD;BATEHAVEN;2536;;;20110601;20110701;187000;;R;RESIDENCE;1;;;0;AG380811;
C;097;3079385;4;20110801 02:09;1/SP72546;
D;097;3079385;4;20110801 02:09;P;;;;;;
D;097;3079385;4;20110801 02:09;P;;;;;;
D;097;3079385;4;20110801 02:09;V;;;;;;
D;097;3079385;4;20110801 02:09;V;;;;;;
B;097;3581957;5;20110801 02:09;;;;WENTWORTH AVE;SUNSHINE BAY;2536;630;M;20110421;20110624;170000;A;V;VACANT LAND;;YH;;0;AG377725;
C;097;3581957;5;20110801 02:09;436/1165169;
D;097;3581957;5;20110801 02:09;P;;;;;;
D;097;3581957;5;20110801 02:09;P;;;;;;
D;097;3581957;5;20110801 02:09;V;;;;;;
B;097;3372765;6;20110801 02:09;;;2162;GEORGE BASS DR;TOMAKIN;2537;;;20110601;20110630;220000;;R;RESIDENCE;11;;;0;AG379599;
C;097;3372765;6;20110801 02:09;11/SP85368;
D;097;3372765;6;20110801 02:09;P;;;;;;
D;097;3372765;6;20110801 02:09;V;;;;;;
B;097;1002635;7;20110801 02:09;;9;30;MATTHEW PDE;BATEHAVEN;2536;;;20110610;20110711;156000;;R;RESIDENCE;9;;;0;AG378589;
C;097;1002635;7;20110801 02:09;9/SP21124;
D;097;1002635;7;20110801 02:09;P;;;;;;
D;097;1002635;7;20110801 02:09;P;;;;;;
D;097;1002635;7;20110801 02:09;V;;;;;;
B;097;1013546;8;20110801 02:09;;;3;WALLARAH ST;SURFSIDE;2536;689.2;M;20110304;20110330;305000;A;R;RESIDENCE;;SF;;0;AG186557;
C;097;1013546;8;20110801 02:09;663/214161;
D;097;1013546;8;20110801 02:09;P;;;;;;
D;097;1013546;8;20110801 02:09;P;;;;;;
D;097;1013546;8;20110801 02:09;V;;;;;;
B;097;1016284;9;20110801 02:09;;;343;OLD HWY;NAROOMA;2546;2;H;20110415;20110715;900000;R;R;RESIDENCE;;LX;;0;AG391550;
C;097;1016284;9;20110801 02:09;82/859150;
D;097;1016284;9;20110801 02:09;P;;;;;;
D;097;1016284;9;20110801 02:09;P;;;;;;
D;097;1016284;9;20110801 02:09;V;;;;;;
D;097;1016284;9;20110801 02:09;V;;;;;;
B;097;1016343;10;20110801 02:09;;;26;OLD SOUTH COAST RD;NAROOMA;2546;1.1;H;20110526;20110707;340000;A;R;RESIDENCE;;VC;;0;AG384883;
C;097;1016343;10;20110801 02:09;2/836908;
D;097;1016343;10;20110801 02:09;P;;;;;;
D;097;1016343;10;20110801 02:09;P;;;;;;
D;097;1016343;10;20110801 02:09;V;;;;;;
B;097;1008457;11;20110801 02:09;;;120;NORTHCOVE RD;LONG BEACH;2536;727.2;M;20110608;20110708;285000;A;R;RESIDENCE;;SE;;0;AG388708;
C;097;1008457;11;20110801 02:09;110/222540;
D;097;1008457;11;20110801 02:09;P;;;;;;
D;097;1008457;11;20110801 02:09;P;;;;;;
D;097;1008457;11;20110801 02:09;V;;;;;;
D;097;1008457;11;20110801 02:09;V;;;;;;
B;097;1019362;12;20110801 02:09;;;156;WAINCOURT RD;EUROBODALLA;2545;12.65;H;20110705;20110719;235000;R;R;RESIDENCE;;QD;;0;AG382822;
C;097;1019362;12;20110801 02:09;17/252742;
D;097;1019362;12;20110801 02:09;P;;;;;;
D;097;1019362;12;20110801 02:09;P;;;;;;
D;097;1019362;12;20110801 02:09;V;;;;;;
B;097;1019558;13;20110801 02:09;;;21;BINALONG ST;DALMENY;2546;613.4;M;20110715;20110715;130000;A;V;VACANT LAND;;WR;;0;AG383500;
C;097;1019558;13;20110801 02:09;11/203032;
D;097;1019558;13;20110801 02:09;P;;;;;;
D;097;1019558;13;20110801 02:09;P;;;;;;
D;097;1019558;13;20110801 02:09;V;;;;;;
D;097;1019558;13;20110801 02:09;V;;;;;;
D;097;1019558;13;20110801 02:09;V;;;;;;
D;097;1019558;13;20110801 02:09;V;;;;;;
D;097;1019558;13;20110801 02:09;V;;;;;;
D;097;1019558;13;20110801 02:09;V;;;;;;
B;097;1014357;14;20110801 02:09;;;59;CAMPBELL ST;MORUYA;2537;638.6;M;20110701;20110701;116000;A;R;RESIDENCE;;TD;;0;AG379386;
C;097;1014357;14;20110801 02:09;2/531754;
D;097;1014357;14;20110801 02:09;P;;;;;;
D;097;1014357;14;20110801 02:09;P;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
D;097;1014357;14;20110801 02:09;V;;;;;;
B;097;1003702;15;20110801 02:09;;;43;VISTA AVE;CATALINA;2536;739.8;M;20110616;20110630;300000;A;R;RESIDENCE;;YP;;0;AG379108;
C;097;1003702;15;20110801 02:09;126/27222;
D;097;1003702;15;20110801 02:09;P;;;;;;
D;097;1003702;15;20110801 02:09;P;;;;;;
D;097;1003702;15;20110801 02:09;V;;;;;;
D;097;1003702;15;20110801 02:09;V;;;;;;
D;097;1003702;15;20110801 02:09;V;;;;;;
D;097;1003702;15;20110801 02:09;V;;;;;;
B;097;1011819;16;20110801 02:09;;;13;LAKE ST;TUROSS HEAD;2537;556.4;M;20110503;20110525;260000;A;R;RESIDENCE;;TG;;0;AG384272;
C;097;1011819;16;20110801 02:09;1204/218665;
D;097;1011819;16;20110801 02:09;P;;;;;;
D;097;1011819;16;20110801 02:09;V;;;;;;
D;097;1011819;16;20110801 02:09;V;;;;;;
B;097;1004221;17;20110801 02:09;;7;13;BENT ST;BATEMANS BAY;2536;;;20110603;20110630;200000;;R;RESIDENCE;7;;;0;AG380244;
C;097;1004221;17;20110801 02:09;7/SP23015;
D;097;1004221;17;20110801 02:09;P;;;;;;
D;097;1004221;17;20110801 02:09;V;;;;;;
B;097;1006888;18;20110801 02:09;;;121;AINSLIE PDE;TOMAKIN;2537;556.4;M;20110624;20110720;500000;A;R;RESIDENCE;;XP;;0;AG388113;
C;097;1006888;18;20110801 02:09;342/211966;
D;097;1006888;18;20110801 02:09;P;;;;;;
D;097;1006888;18;20110801 02:09;P;;;;;;
D;097;1006888;18;20110801 02:09;V;;;;;;
D;097;1006888;18;20110801 02:09;V;;;;;;
B;097;1012201;19;20110801 02:09;;;35;SALMON ST;TUROSS HEAD;2537;505.9;M;20110621;20110707;363000;A;R;RESIDENCE;;TG;;0;AG369033;
C;097;1012201;19;20110801 02:09;15/225184;
D;097;1012201;19;20110801 02:09;P;;;;;;
D;097;1012201;19;20110801 02:09;P;;;;;;
D;097;1012201;19;20110801 02:09;V;;;;;;
D;097;1012201;19;20110801 02:09;V;;;;;;
B;097;1012266;20;20110801 02:09;;;14;SHELL ST;TUROSS HEAD;2537;562.8;M;20110524;20110629;445000;A;R;RESIDENCE;;TG;;0;AG377383;
C;097;1012266;20;20110801 02:09;159/218664;
D;097;1012266;20;20110801 02:09;P;;;;;;
D;097;1012266;20;20110801 02:09;P;;;;;;
D;097;1012266;20;20110801 02:09;V;;;;;;
D;097;1012266;20;20110801 02:09;V;;;;;;
D;097;1012266;20;20110801 02:09;V;;;;;;
D;097;1012266;20;20110801 02:09;V;;;;;;
D;097;1012266;20;20110801 02:09;V;;;;;;
B;097;1020575;21;20110801 02:09;;;24;WILLIAM ST;DALMENY;2546;607;M;20110419;20110718;549000;A;R;RESIDENCE;;WS;;0;AG387857;
C;097;1020575;21;20110801 02:09;187/25668;
D;097;1020575;21;20110801 02:09;P;;;;;;
D;097;1020575;21;20110801 02:09;V;;;;;;
D;097;1020575;21;20110801 02:09;V;;;;;;
B;097;1018133;22;20110801 02:09;;2;8;TILBA ST;NAROOMA;2546;;;20110602;20110714;235000;;R;RESIDENCE;2;;;0;AG386195;
C;097;1018133;22;20110801 02:09;2/SP62001;
D;097;1018133;22;20110801 02:09;P;;;;;;
D;097;1018133;22;20110801 02:09;P;;;;;;
D;097;1018133;22;20110801 02:09;V;;;;;;
B;097;3214100;23;20110801 02:09;;;18;FREYCINET DR;SUNSHINE BAY;2536;736.6;M;20110530;20110630;515000;A;R;RESIDENCE;;YH;;0;AG369759;
C;097;3214100;23;20110801 02:09;422/1089473;
D;097;3214100;23;20110801 02:09;P;;;;;;
D;097;3214100;23;20110801 02:09;P;;;;;;
D;097;3214100;23;20110801 02:09;V;;;;;;
D;097;3214100;23;20110801 02:09;V;;;;;;
B;097;3208013;24;20110801 02:09;;1;4;MARINE DR;NAROOMA;2546;;;20110610;20110708;420000;;R;RESIDENCE;1;;;0;AG371044;
C;097;3208013;24;20110801 02:09;1/SP75864;
D;097;3208013;24;20110801 02:09;P;;;;;;
D;097;3208013;24;20110801 02:09;P;;;;;;
D;097;3208013;24;20110801 02:09;V;;;;;;
D;097;3208013;24;20110801 02:09;V;;;;;;
B;097;3352441;25;20110801 02:09;;48;147;PRINCES HWY;NAROOMA;2546;;;20110510;20110630;190900;;R;RESIDENCE;48;;;0;AG374077;
C;097;3352441;25;20110801 02:09;48/SP79586;
