A;154;20030501 12:46;PBARBER;
B;154;1718081;1;20030501 12:46;;;34;ARCHER ST;SOUTH GRAFTON;2460;1948;M;20030227;20030321;95000;A;R;RESIDENCE;;AD;;;9477434;
C;154;1718081;1;20030501 12:46;332//751385;
D;154;1718081;1;20030501 12:46;P;;;;;;
D;154;1718081;1;20030501 12:46;P;;;;;;
D;154;1718081;1;20030501 12:46;V;;;;;;
D;154;1718081;1;20030501 12:46;V;;;;;;
B;154;1719001;2;20030501 12:46;;1;1;BLACKWOOD CL;GRAFTON;2460;;;20030211;20030325;124000;;R;RESIDENCE;1;;;;9536406;
C;154;1719001;2;20030501 12:46;1//SP 20805;
D;154;1719001;2;20030501 12:46;P;;;;;;
D;154;1719001;2;20030501 12:46;V;;;;;;
B;154;1719271;3;20030501 12:46;;;6;BROMLEY ST;GRAFTON;2460;809.3;M;20030131;20030307;129000;A;R;RESIDENCE;;AC;;;4381955;
C;154;1719271;3;20030501 12:46;3, 4//781284;
D;154;1719271;3;20030501 12:46;P;;;;;;
D;154;1719271;3;20030501 12:46;P;;;;;;
D;154;1719271;3;20030501 12:46;V;;;;;;
B;154;1719643;4;20030501 12:46;;;18 A;CLARENCE ST;GRAFTON;2460;531.1;M;20030310;20030409;80000;A;V;VACANT LAND;;AC;;;9533096;
C;154;1719643;4;20030501 12:46;1//542846;
D;154;1719643;4;20030501 12:46;P;;;;;;
D;154;1719643;4;20030501 12:46;V;;;;;;
D;154;1719643;4;20030501 12:46;V;;;;;;
B;154;1719724;5;20030501 12:46;;;59;CLARENCE ST;GRAFTON;2460;862.5;M;20030312;20030407;85000;A;R;RESIDENCE;;AC;;;9530033;
C;154;1719724;5;20030501 12:46;1//321113;
D;154;1719724;5;20030501 12:46;P;;;;;;
D;154;1719724;5;20030501 12:46;V;;;;;;
D;154;1719724;5;20030501 12:46;V;;;;;;
B;154;1720004;6;20030501 12:46;;;138;DOBIE ST;GRAFTON;2460;;;20030306;20030408;140000;A;R;RESIDENCE;;AB;;;9532923;
C;154;1720004;6;20030501 12:46;1//14306;
D;154;1720004;6;20030501 12:46;P;;;;;;
D;154;1720004;6;20030501 12:46;P;;;;;;
D;154;1720004;6;20030501 12:46;V;;;;;;
D;154;1720004;6;20030501 12:46;V;;;;;;
B;154;1720489;7;20030501 12:46;;2;19;FEDERATION ST;SOUTH GRAFTON;2460;;;20030218;20030312;65000;;R;RESIDENCE;2;;;;9524605;
C;154;1720489;7;20030501 12:46;2//SP 20163;
D;154;1720489;7;20030501 12:46;P;;;;;;
D;154;1720489;7;20030501 12:46;V;;;;;;
D;154;1720489;7;20030501 12:46;V;;;;;;
B;154;1720524;8;20030501 12:46;;;3;FITZGERALD ST;SOUTH GRAFTON;2460;543.8;M;20030225;20030404;75000;A;R;RESIDENCE;;AE;;;9527527;
C;154;1720524;8;20030501 12:46;21//31963;
D;154;1720524;8;20030501 12:46;P;;;;;;
D;154;1720524;8;20030501 12:46;P;;;;;;
D;154;1720524;8;20030501 12:46;V;;;;;;
B;154;1721588;9;20030501 12:46;;;14;KENT ST;GRAFTON;2460;670.2;M;20030303;20030411;87000;A;R;RESIDENCE;;AC;;;9544328;
C;154;1721588;9;20030501 12:46;1//782843;
D;154;1721588;9;20030501 12:46;P;;;;;;
D;154;1721588;9;20030501 12:46;V;;;;;;
D;154;1721588;9;20030501 12:46;V;;;;;;
B;154;1721610;10;20030501 12:46;;;64;KENT ST;GRAFTON;2460;359;M;20030222;20030401;170000;A;R;RESIDENCE;;AC;;;9517063;
C;154;1721610;10;20030501 12:46;1//856093;
D;154;1721610;10;20030501 12:46;P;;;;;;
D;154;1721610;10;20030501 12:46;P;;;;;;
D;154;1721610;10;20030501 12:46;V;;;;;;
D;154;1721610;10;20030501 12:46;V;;;;;;
B;154;1722707;11;20030501 12:46;;;362;NORTH ST;GRAFTON;2460;8.251;H;20021205;20030328;750000;A;V;VACANT LAND;;AV;;;9518109;
C;154;1722707;11;20030501 12:46;46//751371 1, 2//799823;
D;154;1722707;11;20030501 12:46;P;;;;;;
D;154;1722707;11;20030501 12:46;V;;;;;;
D;154;1722707;11;20030501 12:46;V;;;;;;
D;154;1722707;11;20030501 12:46;V;;;;;;
D;154;1722707;11;20030501 12:46;V;;;;;;
B;154;1722733;12;20030501 12:46;;;6;OBRIEN PL;SOUTH GRAFTON;2460;708.2;M;20030306;20030410;118000;A;R;RESIDENCE;;AE;;;9531526;
C;154;1722733;12;20030501 12:46;144//242614;
D;154;1722733;12;20030501 12:46;P;;;;;;
D;154;1722733;12;20030501 12:46;P;;;;;;
D;154;1722733;12;20030501 12:46;V;;;;;;
D;154;1722733;12;20030501 12:46;V;;;;;;
B;154;1722875;13;20030501 12:46;;;139;OLIVER ST;GRAFTON;2460;;;20011222;20020208;105000;A;R;RESIDENCE;;AW;;;4384044;
C;154;1722875;13;20030501 12:46;1//14907;
D;154;1722875;13;20030501 12:46;P;;;;;;
D;154;1722875;13;20030501 12:46;V;;;;;;
D;154;1722875;13;20030501 12:46;V;;;;;;
B;154;1723015;14;20030501 12:46;;;23;PEPPERMINT PL;SOUTH GRAFTON;2460;809.1;M;20030110;20030210;149500;A;R;RESIDENCE;;SJ;;;9534992;
C;154;1723015;14;20030501 12:46;633//253160;
D;154;1723015;14;20030501 12:46;P;;;;;;
D;154;1723015;14;20030501 12:46;P;;;;;;
D;154;1723015;14;20030501 12:46;V;;;;;;
D;154;1723015;14;20030501 12:46;V;;;;;;
B;154;1723322;15;20030501 12:46;;;203;POWELL ST;GRAFTON;2460;512;M;20030219;20030402;85000;A;R;RESIDENCE;;AB;;;9527524;
C;154;1723322;15;20030501 12:46;1//707041;
D;154;1723322;15;20030501 12:46;P;;;;;;
D;154;1723322;15;20030501 12:46;P;;;;;;
D;154;1723322;15;20030501 12:46;V;;;;;;
D;154;1723322;15;20030501 12:46;V;;;;;;
B;154;1723421;16;20030501 12:46;;;122;PRINCE ST;GRAFTON;2460;164.4;M;20030314;20030411;98000;B;3;COMMERCIAL BL;;CB;;;9552640;
C;154;1723421;16;20030501 12:46;1A//159816;
D;154;1723421;16;20030501 12:46;P;;;;;;
D;154;1723421;16;20030501 12:46;V;;;;;;
B;154;1723909;17;20030501 12:46;;;4;RIVERVIEW ST;SOUTH GRAFTON;2460;442.6;M;20030226;20030407;90650;A;R;RESIDENCE;;AD;;;9522068;
C;154;1723909;17;20030501 12:46;13//37800;
D;154;1723909;17;20030501 12:46;P;;;;;;
D;154;1723909;17;20030501 12:46;P;;;;;;
D;154;1723909;17;20030501 12:46;V;;;;;;
B;154;1724102;18;20030501 12:46;;;246;RYAN ST;SOUTH GRAFTON;2460;;;20030328;20030423;105000;A;R;RESIDENCE;;AJ;;;9552357;
C;154;1724102;18;20030501 12:46;9//35837;
D;154;1724102;18;20030501 12:46;P;;;;;;
D;154;1724102;18;20030501 12:46;P;;;;;;
D;154;1724102;18;20030501 12:46;V;;;;;;
B;154;1724318;19;20030501 12:46;;;60;SKINNER ST;SOUTH GRAFTON;2460;878.9;M;20030210;20030310;180000;B;3;COMMERCIAL BL;;CC;;;9524394;
C;154;1724318;19;20030501 12:46;1//75844;
D;154;1724318;19;20030501 12:46;P;;;;;;
D;154;1724318;19;20030501 12:46;P;;;;;;
D;154;1724318;19;20030501 12:46;V;;;;;;
D;154;1724318;19;20030501 12:46;V;;;;;;
D;154;1724318;19;20030501 12:46;V;;;;;;
B;154;1724660;20;20030501 12:46;;;221;TURF ST;GRAFTON;2460;787.3;M;20030225;20030401;40000;A;V;VACANT LAND;;AB;;;9514712;
C;154;1724660;20;20030501 12:46;1//788965;
D;154;1724660;20;20030501 12:46;P;;;;;;
D;154;1724660;20;20030501 12:46;P;;;;;;
D;154;1724660;20;20030501 12:46;V;;;;;;
D;154;1724660;20;20030501 12:46;V;;;;;;
B;154;1725043;21;20030501 12:46;;;75;VILLIERS ST;GRAFTON;2460;619.7;M;20021023;20021118;98000;A;R;RESIDENCE;;AC;;;9523396;
C;154;1725043;21;20030501 12:46;1//978007;
D;154;1725043;21;20030501 12:46;P;;;;;;
D;154;1725043;21;20030501 12:46;P;;;;;;
D;154;1725043;21;20030501 12:46;V;;;;;;
B;154;2824528;22;20030501 12:46;;;;BUSH DR;SOUTH GRAFTON;2460;1098;M;20030226;20030408;263000;A;V;VACANT LAND;;AE;;;9520317;
C;154;2824528;22;20030501 12:46;65//1028269;
D;154;2824528;22;20030501 12:46;P;;;;;;
D;154;2824528;22;20030501 12:46;P;;;;;;
D;154;2824528;22;20030501 12:46;V;;;;;;
B;154;2970503;23;20030501 12:46;;;472;BENT ST;SOUTH GRAFTON;2460;3068;M;20030213;20030331;39500;R;V;VACANT LAND;;RC;;;9526306;
C;154;2970503;23;20030501 12:46;624//1049890;
D;154;2970503;23;20030501 12:46;P;;;;;;
D;154;2970503;23;20030501 12:46;P;;;;;;
B;154;2983059;24;20030501 12:46;;;47;CLARENCE ST;GRAFTON;2460;701.2;M;20030305;20030324;125000;;R;RESIDENCE;;;;;9485903;
C;154;2983059;24;20030501 12:46;21//1049521;
D;154;2983059;24;20030501 12:46;P;;;;;;
D;154;2983059;24;20030501 12:46;P;;;;;;
D;154;2983059;24;20030501 12:46;V;;;;;;
Z;130;24;24;80;
