A;575;20020102 13:44;PTHIRLWELL;
B;575;2693595;1;20020102 13:44;;;29;ADAMS ST;ASHMONT;2650;683.4;M;20011106;20011123;76500;A;R;RESIDENCE;;CW;AC;;8171518;
C;575;2693595;1;20020102 13:44;328//253309;
D;575;2693595;1;20020102 13:44;P;;;;;;
D;575;2693595;1;20020102 13:44;V;;;;;;
D;575;2693595;1;20020102 13:44;V;;;;;;
B;575;2693931;2;20020102 13:44;;;27;AMSTERDAM CRES;TOLLAND;2650;959.3;M;20011022;20011121;213000;A;R;RESIDENCE;;CQ;;;8206531;
C;575;2693931;2;20020102 13:44;396//262304;
D;575;2693931;2;20020102 13:44;P;;;;;;
D;575;2693931;2;20020102 13:44;P;;;;;;
D;575;2693931;2;20020102 13:44;V;;;;;;
D;575;2693931;2;20020102 13:44;V;;;;;;
B;575;2693953;3;20020102 13:44;;;50;ANDREWS AVE;KOORINGAL;2650;1166;M;20011029;20011130;269000;A;R;RESIDENCE;;DF;;;8196467;
C;575;2693953;3;20020102 13:44;3//247299;
D;575;2693953;3;20020102 13:44;P;;;;;;
D;575;2693953;3;20020102 13:44;P;;;;;;
D;575;2693953;3;20020102 13:44;V;;;;;;
B;575;2694020;4;20020102 13:44;;;16;ANGELA RD;LAKE ALBERT;2650;4279;M;20010810;20011126;337000;R;R;RESIDENCE;;KF;RR;;8165609;
C;575;2694020;4;20020102 13:44;19//775377;
D;575;2694020;4;20020102 13:44;P;;;;;;
D;575;2694020;4;20020102 13:44;P;;;;;;
D;575;2694020;4;20020102 13:44;V;;;;;;
B;575;2694027;5;20020102 13:44;;;2;ANGELA RD;LAKE ALBERT;2650;4271;M;20010928;20011026;275000;R;R;RESIDENCE;;KF;RR;;8155367;
C;575;2694027;5;20020102 13:44;26//775377;
D;575;2694027;5;20020102 13:44;P;;;;;;
D;575;2694027;5;20020102 13:44;P;;;;;;
D;575;2694027;5;20020102 13:44;V;;;;;;
B;575;2694564;6;20020102 13:44;;;91;BALMORAL CRES;WAGGA WAGGA;2650;930.1;M;20011023;20011123;155000;A;R;RESIDENCE;;DY;AC;;8161337;
C;575;2694564;6;20020102 13:44;200//253613;
D;575;2694564;6;20020102 13:44;P;;;;;;
D;575;2694564;6;20020102 13:44;V;;;;;;
B;575;2695065;7;20020102 13:44;;10;109;BECKWITH ST;WAGGA WAGGA;2650;;;20011103;20011130;132000;;3;HOME  UNIT;10;;;;8187624;
C;575;2695065;7;20020102 13:44;10//SP 51128;
D;575;2695065;7;20020102 13:44;P;;;;;;
D;575;2695065;7;20020102 13:44;V;;;;;;
B;575;2695213;8;20020102 13:44;;;15;BENTLEY PL;WAGGA WAGGA;2650;357.2;M;20011029;20011119;176500;A;R;RESIDENCE;;EC;AC;;8171304;
C;575;2695213;8;20020102 13:44;6//845080;
D;575;2695213;8;20020102 13:44;P;;;;;;
D;575;2695213;8;20020102 13:44;V;;;;;;
B;575;2695371;9;20020102 13:44;;;56;BEST ST;WAGGA WAGGA;2650;;;20010925;20011123;132000;A;R;RESIDENCE;;CD;AC;;8164545;
C;575;2695371;9;20020102 13:44;1//198950;
D;575;2695371;9;20020102 13:44;P;;;;;;
D;575;2695371;9;20020102 13:44;P;;;;;;
D;575;2695371;9;20020102 13:44;V;;;;;;
B;575;2695930;10;20020102 13:44;;;232;BOURKE ST;TOLLAND;2650;645;M;20011018;20011122;77500;A;R;RESIDENCE;;DZ;;;8209963;
C;575;2695930;10;20020102 13:44;8//39331;
D;575;2695930;10;20020102 13:44;P;;;;;;
D;575;2695930;10;20020102 13:44;P;;;;;;
D;575;2695930;10;20020102 13:44;V;;;;;;
D;575;2695930;10;20020102 13:44;V;;;;;;
B;575;2696031;11;20020102 13:44;;;6;BRADFIELD PL;LLOYD;2650;939;M;20010802;20011130;220000;A;R;RESIDENCE;;FS;AC;;8174247;
C;575;2696031;11;20020102 13:44;29//846716;
D;575;2696031;11;20020102 13:44;P;;;;;;
D;575;2696031;11;20020102 13:44;P;;;;;;
D;575;2696031;11;20020102 13:44;V;;;;;;
D;575;2696031;11;20020102 13:44;V;;;;;;
B;575;2696107;12;20020102 13:44;;;14;BROOKLYN DR;BOURKELANDS;2650;830.4;M;20011029;20011126;213000;A;R;RESIDENCE;;DV;AC;;8155981;
C;575;2696107;12;20020102 13:44;109//792156;
D;575;2696107;12;20020102 13:44;P;;;;;;
D;575;2696107;12;20020102 13:44;P;;;;;;
D;575;2696107;12;20020102 13:44;V;;;;;;
D;575;2696107;12;20020102 13:44;V;;;;;;
B;575;2696122;13;20020102 13:44;;2;40;BROOKLYN DR;BOURKELANDS;2650;;;20011005;20011130;125000;;3;HOME UNIT;2;;;;8198013;
C;575;2696122;13;20020102 13:44;2//58145;
D;575;2696122;13;20020102 13:44;P;;;;;;
D;575;2696122;13;20020102 13:44;V;;;;;;
D;575;2696122;13;20020102 13:44;V;;;;;;
D;575;2696122;13;20020102 13:44;V;;;;;;
