A;022;20030818 09:50;PDANN;
B;022;412075;1;20030818 09:50;SOUTHFORK;;;WATERVIEW RD;MONTEAGLE;2594;21.04;H;20030702;20030729;257000;R;R;RESIDENCE;;HG;;0;9841637;
C;022;412075;1;20030818 09:50;248//754582 Group Purchase Lease 44/37;
D;022;412075;1;20030818 09:50;P;;;;;;
D;022;412075;1;20030818 09:50;P;;;;;;
D;022;412075;1;20030818 09:50;V;;;;;;
B;022;412282;2;20030818 09:50;;;101;BOOROWA ST;KOORAWATHA;2807;4050;M;20030625;20030730;20000;Z;R;RESIDENCE;;ZA;;0;9875302;
C;022;412282;2;20030818 09:50;4, 5/1/758580;
D;022;412282;2;20030818 09:50;P;;;;;;
D;022;412282;2;20030818 09:50;V;;;;;;
B;022;412363;3;20030818 09:50;;;;CRESCENT ST;KOORAWATHA;2807;3079;M;20030702;20030806;47000;Z;R;RESIDENCE;;ZA;;0;9871968;
C;022;412363;3;20030818 09:50;23, 24/5/4899;
D;022;412363;3;20030818 09:50;P;;;;;;
D;022;412363;3;20030818 09:50;P;;;;;;
D;022;412363;3;20030818 09:50;V;;;;;;
B;022;412413;4;20030818 09:50;;;13;LACHLAN ST;KOORAWATHA;2807;1128;M;20030618;20030730;2200;Z;V;VACANT LAND;;ZA;;0;9875965;
C;022;412413;4;20030818 09:50;14//10992;
D;022;412413;4;20030818 09:50;P;;;;;;
D;022;412413;4;20030818 09:50;V;;;;;;
B;022;412844;5;20030818 09:50;;;;'STONERIDGE';YOUNG;2594;454;H;20030404;20030404;1618500;R;3;FARM;;ME;;0;9847003;
C;022;412844;5;20030818 09:50;2//216667 108, 296, 297, 303, 304, 305, //754605;
D;022;412844;5;20030818 09:50;P;;;;;;
D;022;412844;5;20030818 09:50;P;;;;;;
D;022;412844;5;20030818 09:50;V;;;;;;
B;022;413450;6;20030818 09:50;;;163;CHUMS LANE;YOUNG;2594;1.62;H;20030520;20030730;40000;R;3;;;LY;;0;9868326;
C;022;413450;6;20030818 09:50;3//810595;
D;022;413450;6;20030818 09:50;P;;;;;;
D;022;413450;6;20030818 09:50;V;;;;;;
D;022;413450;6;20030818 09:50;V;;;;;;
B;022;413493;7;20030818 09:50;;;38;WICKHAM LANE;YOUNG;2594;1.975;H;20030414;20030728;270000;I;R;RESIDENCE;;CY;;0;9844952;
C;022;413493;7;20030818 09:50;2//814402;
D;022;413493;7;20030818 09:50;P;;;;;;
D;022;413493;7;20030818 09:50;P;;;;;;
D;022;413493;7;20030818 09:50;V;;;;;;
B;022;413807;8;20030818 09:50;;;110;CHUMS LANE;YOUNG;2594;1.656;H;20030328;20030429;39000;R;V;VACANT LAND;;LY;;0;9807003;
C;022;413807;8;20030818 09:50;1//805775;
D;022;413807;8;20030818 09:50;P;;;;;;
D;022;413807;8;20030818 09:50;P;;;;;;
D;022;413807;8;20030818 09:50;V;;;;;;
B;022;414388;9;20030818 09:50;;;9;ANGEL CT;YOUNG;2594;895.7;M;20030625;20030806;27000;A;V;VACANT LAND;;AA;;0;9870775;
C;022;414388;9;20030818 09:50;5//843487;
D;022;414388;9;20030818 09:50;P;;;;;;
D;022;414388;9;20030818 09:50;P;;;;;;
D;022;414388;9;20030818 09:50;V;;;;;;
D;022;414388;9;20030818 09:50;V;;;;;;
B;022;414554;10;20030818 09:50;;3;26;BINALONG ST;YOUNG;2594;420.9;M;20030522;20030701;183000;A;R;RESIDENCE;;AC;;0;9866953;
C;022;414554;10;20030818 09:50;3//285069;
D;022;414554;10;20030818 09:50;P;;;;;;
D;022;414554;10;20030818 09:50;P;;;;;;
D;022;414554;10;20030818 09:50;V;;;;;;
B;022;414618;11;20030818 09:50;;;34;BLACKETT AVE;YOUNG;2594;2349;M;20020812;20030227;65000;A;R;RESIDENCE;;AA;;0;9842497;
C;022;414618;11;20030818 09:50;2//582110;
D;022;414618;11;20030818 09:50;P;;;;;;
D;022;414618;11;20030818 09:50;P;;;;;;
D;022;414618;11;20030818 09:50;V;;;;;;
B;022;414794;12;20030818 09:50;;;8;BOOROWA ST;YOUNG;2594;973.8;M;20030530;20030716;280000;A;R;RESIDENCE;;AH;;0;9857758;
C;022;414794;12;20030818 09:50;2//541343;
D;022;414794;12;20030818 09:50;P;;;;;;
D;022;414794;12;20030818 09:50;P;;;;;;
D;022;414794;12;20030818 09:50;V;;;;;;
D;022;414794;12;20030818 09:50;V;;;;;;
