A;152;20030619 09:10;PDANN;
B;152;1688990;1;20030619 09:10;;;136;ARCHVILLE STATION RD;BONVILLE;2441;4047;M;20030122;20030122;78047;R;R;RESIDENCE;;RS;RR;50;9487303;
C;152;1688990;1;20030619 09:10;20//565669;
D;152;1688990;1;20030619 09:10;P;;;;;;
D;152;1688990;1;20030619 09:10;V;;;;;;
D;152;1688990;1;20030619 09:10;V;;;;;;
D;152;1688990;1;20030619 09:10;V;;;;;;
D;152;1688990;1;20030619 09:10;V;;;;;;
B;152;1689303;2;20030619 09:10;;;15;BARDSLEY CRES;TOORMINA;2452;699.8;M;20030217;20030306;250000;A;R;RESIDENCE;;AP;AC;0;9452137;
C;152;1689303;2;20030619 09:10;150//730904;
D;152;1689303;2;20030619 09:10;P;;;;;;
D;152;1689303;2;20030619 09:10;P;;;;;;
D;152;1689303;2;20030619 09:10;V;;;;;;
B;152;1689761;3;20030619 09:10;;;60;BOWER CRES;TOORMINA;2452;612;M;20030130;20030228;162000;A;R;RESIDENCE;;AR;AC;0;9463355;
C;152;1689761;3;20030619 09:10;134//711081;
D;152;1689761;3;20030619 09:10;P;;;;;;
D;152;1689761;3;20030619 09:10;V;;;;;;
D;152;1689761;3;20030619 09:10;V;;;;;;
B;152;1689938;4;20030619 09:10;;;29;BRUCE KING DR;BOAMBEE EAST;2452;404.1;M;20030224;20030324;185000;A;R;RESIDENCE;;AP;AC;0;9483802;
C;152;1689938;4;20030619 09:10;3//1016355;
D;152;1689938;4;20030619 09:10;P;;;;;;
D;152;1689938;4;20030619 09:10;P;;;;;;
D;152;1689938;4;20030619 09:10;V;;;;;;
D;152;1689938;4;20030619 09:10;V;;;;;;
B;152;1689942;5;20030619 09:10;;;33;BRUCE KING DR;BOAMBEE EAST;2452;3;M;20020902;20021106;167000;A;R;RESIDENCE;;AP;AC;0;9482057;
C;152;1689942;5;20030619 09:10;11//1021568;
D;152;1689942;5;20030619 09:10;P;;;;;;
D;152;1689942;5;20030619 09:10;V;;;;;;
D;152;1689942;5;20030619 09:10;V;;;;;;
B;152;1690144;6;20030619 09:10;;;55;CAVANBA RD;TOORMINA;2452;699.9;M;20021211;20030122;245000;A;R;RESIDENCE;;AV;AC;0;9415188;
C;152;1690144;6;20030619 09:10;199//730904;
D;152;1690144;6;20030619 09:10;P;;;;;;
D;152;1690144;6;20030619 09:10;P;;;;;;
D;152;1690144;6;20030619 09:10;V;;;;;;
D;152;1690144;6;20030619 09:10;V;;;;;;
B;152;1690286;7;20030619 09:10;;;23;COOK DR;COFFS HARBOUR;2450;1947;M;20030121;20030218;220000;I;3;SHED;;SK;IF;0;9401173;
C;152;1690286;7;20030619 09:10;13//255597;
D;152;1690286;7;20030619 09:10;P;;;;;;
D;152;1690286;7;20030619 09:10;P;;;;;;
D;152;1690286;7;20030619 09:10;P;;;;;;
D;152;1690286;7;20030619 09:10;V;;;;;;
B;152;1690317;8;20030619 09:10;;;18;COORABIN CRES;TOORMINA;2452;;;20020819;20021011;130000;A;3;;;AV;AC;0;9457416;
C;152;1690317;8;20030619 09:10;17//242844;
D;152;1690317;8;20030619 09:10;P;;;;;;
D;152;1690317;8;20030619 09:10;P;;;;;;
D;152;1690317;8;20030619 09:10;V;;;;;;
B;152;1690356;9;20030619 09:10;;3;12;CORAMBARA CRES;TOORMINA;2452;;;20030211;20030311;99250;;R;RESIDENCE;3;;;0;9476896;
C;152;1690356;9;20030619 09:10;3//SP 21895;
D;152;1690356;9;20030619 09:10;P;;;;;;
