A;114;20020102 13:52;PTHIRLWELL;
B;114;1222252;1;20020102 13:52;;;12;ALFRED ST;DUBBO;2830;;;20010830;20011012;180000;B;3;FLATS;;BM;;;8211995;
C;114;1222252;1;20020102 13:52;B//367491;
D;114;1222252;1;20020102 13:52;P;;;;;;
D;114;1222252;1;20020102 13:52;P;;;;;;
D;114;1222252;1;20020102 13:52;V;;;;;;
D;114;1222252;1;20020102 13:52;V;;;;;;
B;114;1222412;2;20020102 13:52;;;2;ANNE ST;DUBBO;2830;664.6;M;20010616;20011130;131500;A;R;RESIDENCE;;AA;;;8213731;
C;114;1222412;2;20020102 13:52;16//246712;
D;114;1222412;2;20020102 13:52;P;;;;;;
D;114;1222412;2;20020102 13:52;V;;;;;;
D;114;1222412;2;20020102 13:52;V;;;;;;
B;114;1222933;3;20020102 13:52;;;12;BELLBIRD WAY;DUBBO;2830;1062;M;20010621;20010802;36500;A;V;VACANT LAND;;AV;;;8159604;
C;114;1222933;3;20020102 13:52;1015//1017176;
D;114;1222933;3;20020102 13:52;P;;;;;;
D;114;1222933;3;20020102 13:52;V;;;;;;
B;114;1222976;4;20020102 13:52;;;22;BELMORE PL;DUBBO;2830;580.6;M;20011012;20011123;147000;A;R;RESIDENCE;;AE;;;8149422;
C;114;1222976;4;20020102 13:52;41//249150;
D;114;1222976;4;20020102 13:52;P;;;;;;
D;114;1222976;4;20020102 13:52;P;;;;;;
D;114;1222976;4;20020102 13:52;V;;;;;;
D;114;1222976;4;20020102 13:52;V;;;;;;
B;114;1223454;5;20020102 13:52;;;31;BONNER CRES;DUBBO;2830;832;M;20011013;20011114;133000;A;R;RESIDENCE;;AQ;;;8170842;
C;114;1223454;5;20020102 13:52;11//704106;
D;114;1223454;5;20020102 13:52;P;;;;;;
D;114;1223454;5;20020102 13:52;V;;;;;;
B;114;1224750;6;20020102 13:52;;;72;CARRINGTON AVE;DUBBO;2830;607.1;M;20011123;20011130;74000;B;R;RESIDENCE;;BG;;;8199763;
C;114;1224750;6;20020102 13:52;1//17273;
D;114;1224750;6;20020102 13:52;P;;;;;;
D;114;1224750;6;20020102 13:52;V;;;;;;
B;114;1224751;7;20020102 13:52;;;70;CARRINGTON AVE;DUBBO;2830;784.1;M;20011106;20011213;155000;B;R;RESIDENCE;;BG;;;8211398;
C;114;1224751;7;20020102 13:52;2//17273;
D;114;1224751;7;20020102 13:52;P;;;;;;
D;114;1224751;7;20020102 13:52;P;;;;;;
D;114;1224751;7;20020102 13:52;V;;;;;;
D;114;1224751;7;20020102 13:52;V;;;;;;
B;114;1224954;8;20020102 13:52;;;9;CHANARA CRES;DUBBO;2830;4002;M;20011123;20011212;70000;A;V;VACANT LAND;;GA;;;8204975;
