A;043;20010822 12:44;CDIXON;
B;043;478427;1;20010822 12:44;;;;WYALONG ST;CARAGABAL;2810;2889;M;20010330;20010508;4000;Z;R;;;ZC;;;7607177;
C;043;478427;1;20010822 12:44;10, 11, 9/C/7915;
D;043;478427;1;20010822 12:44;P;;;;;;
D;043;478427;1;20010822 12:44;V;;;;;;
B;043;479382;2;20010822 12:44;;;6;MONGER ST;GRENFELL;2810;619.7;M;20010407;20010504;15000;Z;R;;;AA;;;7629933;
C;043;479382;2;20010822 12:44;5//12368;
D;043;479382;2;20010822 12:44;P;;;;;;
D;043;479382;2;20010822 12:44;P;;;;;;
D;043;479382;2;20010822 12:44;V;;;;;;
B;043;479383;3;20010822 12:44;;;8;MONGER ST;GRENFELL;2810;619.7;M;20010407;20010504;15000;Z;R;;;AA;;;7629933;
C;043;479383;3;20010822 12:44;6//12368;
D;043;479383;3;20010822 12:44;P;;;;;;
D;043;479383;3;20010822 12:44;P;;;;;;
D;043;479383;3;20010822 12:44;V;;;;;;
B;043;479384;4;20010822 12:44;;;10;MONGER ST;GRENFELL;2810;619.7;M;20010407;20010504;15000;Z;R;;;AA;;;7629933;
C;043;479384;4;20010822 12:44;7//12368;
D;043;479384;4;20010822 12:44;P;;;;;;
D;043;479384;4;20010822 12:44;P;;;;;;
D;043;479384;4;20010822 12:44;V;;;;;;
B;043;479386;5;20010822 12:44;;;14;MONGER ST;GRENFELL;2810;619.7;M;20010407;20010504;15000;Z;R;;;AA;;;7629933;
C;043;479386;5;20010822 12:44;9//12368;
D;043;479386;5;20010822 12:44;P;;;;;;
D;043;479386;5;20010822 12:44;P;;;;;;
D;043;479386;5;20010822 12:44;V;;;;;;
B;043;479387;6;20010822 12:44;;;16;MONGER ST;GRENFELL;2810;619.7;M;20010407;20010504;15000;Z;R;;;AA;;;7629933;
C;043;479387;6;20010822 12:44;10//12368;
D;043;479387;6;20010822 12:44;P;;;;;;
D;043;479387;6;20010822 12:44;P;;;;;;
D;043;479387;6;20010822 12:44;V;;;;;;
B;043;479388;7;20010822 12:44;;;15;MONGER ST;GRENFELL;2810;619.7;M;20010407;20010504;15000;Z;R;;;AA;;;7629933;
C;043;479388;7;20010822 12:44;11//12368;
D;043;479388;7;20010822 12:44;P;;;;;;
D;043;479388;7;20010822 12:44;P;;;;;;
D;043;479388;7;20010822 12:44;V;;;;;;
