A;233;20021016 12:40;PDANN;
B;233;2612919;1;20021016 12:40;WHYMAN;;;;BREWARRINA;2839;9840;H;20020507;20020708;175000;R;3;FARM;;WE;RG;;8892367;
C;233;2612919;1;20021016 12:40;2171//764105 5904//768795 Western Land Lease 4346 Western Land Lease 8;
C;233;2612919;1;20021016 12:40;72;
D;233;2612919;1;20021016 12:40;P;;;;;;
D;233;2612919;1;20021016 12:40;P;;;;;;
D;233;2612919;1;20021016 12:40;V;;;;;;
D;233;2612919;1;20021016 12:40;V;;;;;;
B;233;2613073;2;20021016 12:40;NARRAN LAKE;;;;BREWARRINA;2839;22646;H;20020307;20020704;3100000;R;3;FARM;;GC;RG;;8857182;
C;233;2613073;2;20021016 12:40;PT 4017//766490 4353//767190 Tenants Lease 1038 Public Watering Place ;
C;233;2613073;2;20021016 12:40;1038 Western Land Lease 7714 Western Land Lease 7714 LEASE OVER PROPER;
C;233;2613073;2;20021016 12:40;TY ROCKY TANK;
D;233;2613073;2;20021016 12:40;P;;;;;;
D;233;2613073;2;20021016 12:40;P;;;;;;
D;233;2613073;2;20021016 12:40;V;;;;;;
D;233;2613073;2;20021016 12:40;V;;;;;;
D;233;2613073;2;20021016 12:40;V;;;;;;
Z;18;2;5;9;
