A;RTSALEDATA;081;20250526 01:13;VALNET;
B;081;3016218;1;20250526 01:13;;22;2;CONIE AVE;BAULKHAM HILLS;2153;;;20250408;20250520;850000;;R;RESIDENCE;34;;;0;AV76800;
C;081;3016218;1;20250526 01:13;34/SP70909;
D;081;3016218;1;20250526 01:13;P;;;;;;
D;081;3016218;1;20250526 01:13;P;;;;;;
D;081;3016218;1;20250526 01:13;V;;;;;;
B;081;2875143;2;20250526 01:13;;;73;WRIGHTS RD;CASTLE HILL;2154;687.4;M;20250405;20250519;1940000;R3;R;RESIDENCE;;KEM;;0;AV70812;
C;081;2875143;2;20250526 01:13;801/1033894;
D;081;2875143;2;20250526 01:13;P;;;;;;
D;081;2875143;2;20250526 01:13;P;;;;;;
D;081;2875143;2;20250526 01:13;V;;;;;;
B;081;3387087;3;20250526 01:13;;;11;WOODBRIDGE PL;BELLA VISTA;2153;816.2;M;20250220;20250521;4700000;R2;R;RESIDENCE;;BVA;;0;AV80083;
C;081;3387087;3;20250526 01:13;1908/1121526;
D;081;3387087;3;20250526 01:13;P;;;;;;
D;081;3387087;3;20250526 01:13;P;;;;;;
D;081;3387087;3;20250526 01:13;V;;;;;;
B;081;3370841;4;20250526 01:13;;;51;BELLCAST RD;ROUSE HILL;2155;452.9;M;20250404;20250516;1850000;R3;R;RESIDENCE;;RHM;;0;AV66257;
C;081;3370841;4;20250526 01:13;106/280009;
D;081;3370841;4;20250526 01:13;P;;;;;;
D;081;3370841;4;20250526 01:13;P;;;;;;
D;081;3370841;4;20250526 01:13;V;;;;;;
D;081;3370841;4;20250526 01:13;V;;;;;;
B;081;4242127;5;20250526 01:13;;;102;WITHERS RD;KELLYVILLE;2155;280.4;M;20250421;20250521;1200000;R1;R;RESIDENCE;;NKG;;0;AV80693;
C;081;4242127;5;20250526 01:13;6/1240536;
D;081;4242127;5;20250526 01:13;P;;;;;;
D;081;4242127;5;20250526 01:13;V;;;;;;
B;081;4207510;6;20250526 01:13;;;26;LANTERN ST;GABLES;2765;500;M;20250415;20250521;1515000;R3;R;RESIDENCE;;GBM;;0;AV78396;
C;081;4207510;6;20250526 01:13;374/1230476;
D;081;4207510;6;20250526 01:13;P;;;;;;
D;081;4207510;6;20250526 01:13;P;;;;;;
D;081;4207510;6;20250526 01:13;V;;;;;;
D;081;4207510;6;20250526 01:13;V;;;;;;
B;081;4233495;7;20250526 01:13;;14;68;LUMSDEN AVE;NORTH KELLYVILLE;2155;136;M;20250506;20250522;660000;;R;RESIDENCE;38;;;0;AV84043;
C;081;4233495;7;20250526 01:13;38/SP99432;
D;081;4233495;7;20250526 01:13;P;;;;;;
D;081;4233495;7;20250526 01:13;P;;;;;;
D;081;4233495;7;20250526 01:13;V;;;;;;
D;081;4233495;7;20250526 01:13;V;;;;;;
B;081;4179648;8;20250526 01:13;;;41;WEID PL;KELLYVILLE;2155;;;20250310;20250521;1255000;;R;RESIDENCE;29;;;0;AV78353;
C;081;4179648;8;20250526 01:13;29/SP98805;
D;081;4179648;8;20250526 01:13;P;;;;;;
D;081;4179648;8;20250526 01:13;V;;;;;;
B;081;4251739;9;20250526 01:13;;208;8;THOROGOOD BVD;NORTH KELLYVILLE;2155;;;20250404;20250516;460000;;R;RESIDENCE;50;;;0;AV66927;
C;081;4251739;9;20250526 01:13;50/SP100471;
D;081;4251739;9;20250526 01:13;P;;;;;;
D;081;4251739;9;20250526 01:13;V;;;;;;
B;081;3582048;10;20250526 01:13;;201;2;BROOKHOLLOW AVE;NORWEST;2153;193;M;20250320;20250520;1413500;;3;OFFICE;37;;;0;AV75263;
C;081;3582048;10;20250526 01:13;37/SP85410;
D;081;3582048;10;20250526 01:13;P;;;;;;
D;081;3582048;10;20250526 01:13;V;;;;;;
B;081;4100475;11;20250526 01:13;;38;23;REGENT HONEYEATER GR;NORTH KELLYVILLE;2155;;;20250306;20250516;1030000;;R;RESIDENCE;38;;;0;AV65893;
C;081;4100475;11;20250526 01:13;38/SP97070;
D;081;4100475;11;20250526 01:13;P;;;;;;
D;081;4100475;11;20250526 01:13;V;;;;;;
D;081;4100475;11;20250526 01:13;V;;;;;;
B;081;4100475;12;20250526 01:13;;85;23;REGENT HONEYEATER GR;NORTH KELLYVILLE;2155;;;20250426;20250519;880000;;R;RESIDENCE;85;;;0;AV73462;
C;081;4100475;12;20250526 01:13;85/SP97070;
D;081;4100475;12;20250526 01:13;P;;;;;;
D;081;4100475;12;20250526 01:13;P;;;;;;
D;081;4100475;12;20250526 01:13;V;;;;;;
B;081;4115967;13;20250526 01:13;;;30;BOSAL ST;BOX HILL;2765;347;M;20250407;20250519;1200000;R2;R;RESIDENCE;;BHE;;0;AV71992;
C;081;4115967;13;20250526 01:13;312/1229375;
D;081;4115967;13;20250526 01:13;P;;;;;;
D;081;4115967;13;20250526 01:13;P;;;;;;
D;081;4115967;13;20250526 01:13;V;;;;;;
D;081;4115967;13;20250526 01:13;V;;;;;;
B;081;4032774;14;20250526 01:13;;;40;HANNAFORD AVE;BOX HILL;2765;380.9;M;20250410;20250522;1350000;R2;R;RESIDENCE;;BHR;;0;AV82802;
C;081;4032774;14;20250526 01:13;3089/1217139;
D;081;4032774;14;20250526 01:13;P;;;;;;
D;081;4032774;14;20250526 01:13;P;;;;;;
D;081;4032774;14;20250526 01:13;V;;;;;;
