A;220;20110801 02:31;VALNET;
B;220;2394448;1;20110801 02:31;;;24;HAMERSLEY ST;FAIRFIELD WEST;2165;556.4;M;20110504;20110615;455000;A;3;;;JK;;0;AG370025;
C;220;2394448;1;20110801 02:31;45/232268;
D;220;2394448;1;20110801 02:31;P;;;;;;
D;220;2394448;1;20110801 02:31;P;;;;;;
D;220;2394448;1;20110801 02:31;V;;;;;;
B;220;2418593;2;20110801 02:31;;;2;ROSINA ST;FAIRFIELD WEST;2165;531.2;M;20110507;20110704;392000;A;R;RESIDENCE;;JK;;0;AG381110;
C;220;2418593;2;20110801 02:31;68, 69/2/486;
D;220;2418593;2;20110801 02:31;P;;;;;;
D;220;2418593;2;20110801 02:31;V;;;;;;
D;220;2418593;2;20110801 02:31;V;;;;;;
B;220;2413323;3;20110801 02:31;;;35;ORCHARDLEIGH ST;YENNORA;2161;961.1;M;20110510;20110705;500000;A;R;RESIDENCE;;KA;;0;AG375353;
C;220;2413323;3;20110801 02:31;1/526914;
D;220;2413323;3;20110801 02:31;P;;;;;;
D;220;2413323;3;20110801 02:31;V;;;;;;
D;220;2413323;3;20110801 02:31;V;;;;;;
B;220;2394791;4;20110801 02:31;;;89;HAMILTON RD;FAIRFIELD;2165;1012;M;20110521;20110712;617000;A;R;RESIDENCE;;JK;;0;AG379969;
C;220;2394791;4;20110801 02:31;16/A/4334;
D;220;2394791;4;20110801 02:31;P;;;;;;
D;220;2394791;4;20110801 02:31;P;;;;;;
D;220;2394791;4;20110801 02:31;V;;;;;;
D;220;2394791;4;20110801 02:31;V;;;;;;
B;220;2394860;5;20110801 02:31;;3;225;HAMILTON RD;FAIRFIELD WEST;2165;;;20110601;20110720;363000;;R;RESIDENCE;3;;;0;AG392485;
C;220;2394860;5;20110801 02:31;3/SP54005;
D;220;2394860;5;20110801 02:31;P;;;;;;
D;220;2394860;5;20110801 02:31;V;;;;;;
D;220;2394860;5;20110801 02:31;V;;;;;;
B;220;2394918;6;20110801 02:31;;8;345;HAMILTON RD;FAIRFIELD WEST;2165;;;20110520;20110715;330000;;R;RESIDENCE;8;;;0;AG377734;
C;220;2394918;6;20110801 02:31;8/SP49326;
D;220;2394918;6;20110801 02:31;P;;;;;;
D;220;2394918;6;20110801 02:31;V;;;;;;
B;220;2416363;7;20110801 02:31;;;47;QUEEN ST;CANLEY HEIGHTS;2166;682.8;M;20110620;20110712;720000;A;R;RESIDENCE;;GW;;0;AG380480;
C;220;2416363;7;20110801 02:31;3, 4, 5/76/729;
D;220;2416363;7;20110801 02:31;P;;;;;;
D;220;2416363;7;20110801 02:31;V;;;;;;
B;220;2418963;8;20110801 02:31;;;13;RUTH ST;CANLEY HEIGHTS;2166;638.6;M;20110608;20110713;432000;A;R;RESIDENCE;;GD;;0;AG376723;
C;220;2418963;8;20110801 02:31;28/214462;
D;220;2418963;8;20110801 02:31;P;;;;;;
D;220;2418963;8;20110801 02:31;V;;;;;;
B;220;2422407;9;20110801 02:31;;;11;STALWART ST;PRAIRIEWOOD;2176;557.7;M;20110405;20110708;565000;A;R;RESIDENCE;;GL;;0;AG385598;
C;220;2422407;9;20110801 02:31;366/258161;
D;220;2422407;9;20110801 02:31;P;;;;;;
D;220;2422407;9;20110801 02:31;P;;;;;;
D;220;2422407;9;20110801 02:31;V;;;;;;
D;220;2422407;9;20110801 02:31;V;;;;;;
B;220;2384244;10;20110801 02:31;;;30;CONDELLO CRES;EDENSOR PARK;2176;567.4;M;20110623;20110712;450000;A;R;RESIDENCE;;HA;;0;AG375198;
C;220;2384244;10;20110801 02:31;297/706486;
D;220;2384244;10;20110801 02:31;P;;;;;;
D;220;2384244;10;20110801 02:31;V;;;;;;
D;220;2384244;10;20110801 02:31;V;;;;;;
D;220;2384244;10;20110801 02:31;V;;;;;;
D;220;2384244;10;20110801 02:31;V;;;;;;
B;220;2389481;11;20110801 02:31;;16;21;EQUITY PL;CANLEY VALE;2166;;;20110701;20110720;233000;;R;RESIDENCE;16;;;0;AG392421;
C;220;2389481;11;20110801 02:31;16/SP7613;
D;220;2389481;11;20110801 02:31;P;;;;;;
D;220;2389481;11;20110801 02:31;V;;;;;;
B;220;2392306;12;20110801 02:31;;;4;GAWLER PL;BOSSLEY PARK;2176;672.5;M;20110520;20110718;700000;A;R;RESIDENCE;;HA;;0;AG386042;
C;220;2392306;12;20110801 02:31;154/264122;
D;220;2392306;12;20110801 02:31;P;;;;;;
D;220;2392306;12;20110801 02:31;V;;;;;;
D;220;2392306;12;20110801 02:31;V;;;;;;
D;220;2392306;12;20110801 02:31;V;;;;;;
B;220;2427009;13;20110801 02:31;;;1;TUNCOEE RD;VILLAWOOD;2163;701.9;M;20110516;20110711;375000;A;R;RESIDENCE;;KA;;0;AG370106;
C;220;2427009;13;20110801 02:31;47/26012;
D;220;2427009;13;20110801 02:31;P;;;;;;
D;220;2427009;13;20110801 02:31;V;;;;;;
B;220;2429944;14;20110801 02:31;;;52;WHITAKER ST;YENNORA;2161;436.3;M;20110708;20110713;400000;I;R;RESIDENCE;;FC;;0;AG378969;
C;220;2429944;14;20110801 02:31;29/6/1625;
