A;109;20030818 09:57;PDANN;
B;109;1213527;1;20030818 09:57;;;;GOOLOOGONG RD;CANOWINDRA;2804;127.3;H;20011221;20020125;200000;R;3;RURAL LANDS;;RK;RM;0;9433525;
C;109;1213527;1;20030818 09:57;82, 187//750134;
D;109;1213527;1;20030818 09:57;P;;;;;;
D;109;1213527;1;20030818 09:57;P;;;;;;
D;109;1213527;1;20030818 09:57;V;;;;;;
D;109;1213527;1;20030818 09:57;V;;;;;;
B;109;1213590;2;20030818 09:57;;;;"MALONGULLIE";VIA CUMNOCK;2867;1036;H;20030120;20030303;460000;R;R;RESIDENCE;;RH;RG;0;9456173;
C;109;1213590;2;20030818 09:57;5, 6//753222 41, 42//753224;
D;109;1213590;2;20030818 09:57;P;;;;;;
D;109;1213590;2;20030818 09:57;P;;;;;;
D;109;1213590;2;20030818 09:57;P;;;;;;
D;109;1213590;2;20030818 09:57;V;;;;;;
B;109;1213631;3;20030818 09:57;;;;'THE DELTA';MOLONG;2866;116;H;20030313;20030428;250000;R;3;FARM;;RE;RM;0;9632738;
C;109;1213631;3;20030818 09:57;13//756868 1, 2, 3, 4//1003832;
D;109;1213631;3;20030818 09:57;P;;;;;;
D;109;1213631;3;20030818 09:57;P;;;;;;
D;109;1213631;3;20030818 09:57;V;;;;;;
B;109;1213939;4;20030818 09:57;;;LOT2;LOOP RD;BOWEN PARK;2800;6.13;H;20030616;20030725;292000;R;R;RESIDENCE;;HB;;0;9834075;
C;109;1213939;4;20030818 09:57;2//815519;
D;109;1213939;4;20030818 09:57;P;;;;;;
D;109;1213939;4;20030818 09:57;P;;;;;;
D;109;1213939;4;20030818 09:57;V;;;;;;
D;109;1213939;4;20030818 09:57;V;;;;;;
B;109;1214003;5;20030818 09:57;;;LOT5;MOLONG ROAD;MANILDRA;2865;10.12;H;20030311;20030403;153300;R;3;FARM/RURAL;;HC;;0;9561349;
C;109;1214003;5;20030818 09:57;5//837386;
D;109;1214003;5;20030818 09:57;P;;;;;;
D;109;1214003;5;20030818 09:57;P;;;;;;
D;109;1214003;5;20030818 09:57;V;;;;;;
B;109;1214186;6;20030818 09:57;;;2;GANOO ST;YEOVAL;2868;1948;M;20030528;20030722;9000;Z;V;VACANT LAND;;VY;;0;9836743;
C;109;1214186;6;20030818 09:57;A, B//402519;
D;109;1214186;6;20030818 09:57;P;;;;;;
D;109;1214186;6;20030818 09:57;V;;;;;;
B;109;1214733;7;20030818 09:57;;;30;RADNOR ST;CANOWINDRA;2804;2011;M;20030529;20030718;82000;Z;R;RESIDENCE;;SC;;0;9835411;
C;109;1214733;7;20030818 09:57;7/17/758221;
D;109;1214733;7;20030818 09:57;P;;;;;;
D;109;1214733;7;20030818 09:57;P;;;;;;
D;109;1214733;7;20030818 09:57;V;;;;;;
D;109;1214733;7;20030818 09:57;V;;;;;;
D;109;1214733;7;20030818 09:57;V;;;;;;
B;109;1214900;8;20030818 09:57;;;;HAMILTON ST;CARGO;2800;2769.6;M;20030331;20030623;3000;Z;V;VACANT LAND;;VA;;0;9801927;
C;109;1214900;8;20030818 09:57;5, 6/8/758226;
D;109;1214900;8;20030818 09:57;P;;;;;;
D;109;1214900;8;20030818 09:57;P;;;;;;
D;109;1214900;8;20030818 09:57;V;;;;;;
B;109;1214900;9;20030818 09:57;;;;HAMILTON ST;CARGO;2800;2769.6;M;20030331;20030623;60000;Z;R;RESIDENCE;;VA;;0;9801928;
C;109;1214900;9;20030818 09:57;5, 6/8/758226;
D;109;1214900;9;20030818 09:57;P;;;;;;
D;109;1214900;9;20030818 09:57;P;;;;;;
D;109;1214900;9;20030818 09:57;V;;;;;;
B;109;1215277;10;20030818 09:57;;;LOT2;SQUARE ROAD;CANOWINDRA;2804;2.914;H;20030516;20030707;280000;R;R;RESIDENCE;;CN;;0;9805590;
C;109;1215277;10;20030818 09:57;2//851185;
D;109;1215277;10;20030818 09:57;P;;;;;;
D;109;1215277;10;20030818 09:57;V;;;;;;
B;109;1215496;11;20030818 09:57;;;35;FERGUSON ST;CANOWINDRA;2804;1201;M;20030602;20030714;100000;Z;R;RESIDENCE;;NC;;0;4395003;
C;109;1215496;11;20030818 09:57;14/7/758221;
D;109;1215496;11;20030818 09:57;P;;;;;;
D;109;1215496;11;20030818 09:57;P;;;;;;
D;109;1215496;11;20030818 09:57;V;;;;;;
B;109;1215561;12;20030818 09:57;;;172;GASKILL ST;CANOWINDRA;2804;776.5;M;20030512;20030616;65000;Z;R;RESIDENCE;;NC;;0;4394670;
C;109;1215561;12;20030818 09:57;1//150445;
D;109;1215561;12;20030818 09:57;P;;;;;;
D;109;1215561;12;20030818 09:57;P;;;;;;
D;109;1215561;12;20030818 09:57;P;;;;;;
D;109;1215561;12;20030818 09:57;V;;;;;;
B;109;1215619;13;20030818 09:57;;;61;MILL ST;CANOWINDRA;2804;2023;M;20030617;20030707;170000;Z;R;RESIDENCE;;NC;;0;9863181;
C;109;1215619;13;20030818 09:57;8//37281;
D;109;1215619;13;20030818 09:57;P;;;;;;
D;109;1215619;13;20030818 09:57;P;;;;;;
D;109;1215619;13;20030818 09:57;V;;;;;;
D;109;1215619;13;20030818 09:57;V;;;;;;
B;109;1215650;14;20030818 09:57;;;17;RODD ST;CANOWINDRA;2804;771.4;M;20030703;20030806;180000;Z;R;RESIDENCE;;NC;;0;9870932;
C;109;1215650;14;20030818 09:57;11/39/758221;
D;109;1215650;14;20030818 09:57;P;;;;;;
D;109;1215650;14;20030818 09:57;P;;;;;;
D;109;1215650;14;20030818 09:57;V;;;;;;
D;109;1215650;14;20030818 09:57;V;;;;;;
B;109;1215753;15;20030818 09:57;;;58;RYALL ST;CANOWINDRA;2804;1037;M;20030416;20030530;72000;Z;R;RESIDENCE;;NC;;0;4395941;
C;109;1215753;15;20030818 09:57;3/B/32548;
D;109;1215753;15;20030818 09:57;P;;;;;;
D;109;1215753;15;20030818 09:57;V;;;;;;
D;109;1215753;15;20030818 09:57;V;;;;;;
B;109;1215790;16;20030818 09:57;;;52;RYALL ST;CANOWINDRA;2804;923.2;M;20030521;20030612;52000;Z;R;RESIDENCE;;NC;;0;9803545;
C;109;1215790;16;20030818 09:57;7//35231;
D;109;1215790;16;20030818 09:57;P;;;;;;
D;109;1215790;16;20030818 09:57;V;;;;;;
B;109;1216099;17;20030818 09:57;;;;'MAWAMBUL';MANILDRA;2865;58.03;H;20030110;20030430;270000;R;R;RESIDENCE;;HE;RR;0;9591814;
C;109;1216099;17;20030818 09:57;1//184470 155//750150;
D;109;1216099;17;20030818 09:57;P;;;;;;
D;109;1216099;17;20030818 09:57;V;;;;;;
D;109;1216099;17;20030818 09:57;V;;;;;;
B;109;1216263;18;20030818 09:57;;;;MAIN ST;CUDAL;2864;2023;M;20030218;20030328;20000;Z;R;RESIDENCE;;VX;;0;9847695;
C;109;1216263;18;20030818 09:57;4/4/758311;
D;109;1216263;18;20030818 09:57;P;;;;;;
D;109;1216263;18;20030818 09:57;V;;;;;;
D;109;1216263;18;20030818 09:57;V;;;;;;
B;109;1216444;19;20030818 09:57;;;;ROCKLANDS GREENING LA;LIDSTER;2800;369.37;H;20021017;20030711;550000;R;3;FARM/RURAL;;RE;;0;9784379;
