A;204;20020301 13:08;CDIXON;
B;204;1897128;1;20020301 13:08;;12;30;ALEXANDRA ST;DRUMMOYNE;2047;;;20020122;20020122;200000;;R;RESIDENCE;12;;;;8349737;
C;204;1897128;1;20020301 13:08;12//11131;
D;204;1897128;1;20020301 13:08;P;;;;;;
D;204;1897128;1;20020301 13:08;P;;;;;;
D;204;1897128;1;20020301 13:08;P;;;;;;
D;204;1897128;1;20020301 13:08;P;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
D;204;1897128;1;20020301 13:08;V;;;;;;
B;204;1897128;2;20020301 13:08;;12;30;ALEXANDRA ST;DRUMMOYNE;2047;;;20020122;20020122;60625;;R;RESIDENCE;12;;;;8349738;
C;204;1897128;2;20020301 13:08;12//11131;
D;204;1897128;2;20020301 13:08;P;;;;;;
D;204;1897128;2;20020301 13:08;P;;;;;;
D;204;1897128;2;20020301 13:08;P;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
D;204;1897128;2;20020301 13:08;V;;;;;;
B;204;1897128;3;20020301 13:08;;12;30;ALEXANDRA ST;DRUMMOYNE;2047;;;20020122;20020122;60625;;3;;12;;;;8349739;
C;204;1897128;3;20020301 13:08;12//11131;
D;204;1897128;3;20020301 13:08;P;;;;;;
D;204;1897128;3;20020301 13:08;P;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
D;204;1897128;3;20020301 13:08;V;;;;;;
B;204;1897128;4;20020301 13:08;;12;30;ALEXANDRA ST;DRUMMOYNE;2047;;;20020122;20020122;60625;;R;RESIDENCE;12;;;;8349740;
C;204;1897128;4;20020301 13:08;12//11131;
D;204;1897128;4;20020301 13:08;P;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
D;204;1897128;4;20020301 13:08;V;;;;;;
B;204;1897308;5;20020301 13:08;;;52;ARTHUR ST;FIVE DOCK;2046;385.7;M;20011201;20020118;635000;A;R;RESIDENCE;;ES;;;8317346;
C;204;1897308;5;20020301 13:08;2//20711;
D;204;1897308;5;20020301 13:08;P;;;;;;
D;204;1897308;5;20020301 13:08;P;;;;;;
D;204;1897308;5;20020301 13:08;V;;;;;;
B;204;1897524;6;20020301 13:08;;7;1;BAY RD;DRUMMOYNE;2047;;;20020219;20020219;45000;;R;RESIDENCE;7;;;;8371673;
C;204;1897524;6;20020301 13:08;7//SP 49825;
D;204;1897524;6;20020301 13:08;P;;;;;;
D;204;1897524;6;20020301 13:08;V;;;;;;
D;204;1897524;6;20020301 13:08;V;;;;;;
B;204;1897608;7;20020301 13:08;;12;19;BAY RD;FIVE DOCK;2046;;;20011221;20020201;480000;;R;RESIDENCE;12;;;;8364771;
C;204;1897608;7;20020301 13:08;12//12974;
D;204;1897608;7;20020301 13:08;P;;;;;;
D;204;1897608;7;20020301 13:08;P;;;;;;
D;204;1897608;7;20020301 13:08;V;;;;;;
B;204;1897700;8;20020301 13:08;;4;20;BAY RD;CHISWICK;2046;;;20011109;20011220;305000;;3;HOME UNIT;4;;;;8319633;
C;204;1897700;8;20020301 13:08;4//17858;
D;204;1897700;8;20020301 13:08;P;;;;;;
D;204;1897700;8;20020301 13:08;P;;;;;;
D;204;1897700;8;20020301 13:08;V;;;;;;
B;204;1897700;9;20020301 13:08;;6;20;BAY RD;CHISWICK;2046;;;20011220;20020201;400000;;R;RESIDENCE;6;;;;8331888;
C;204;1897700;9;20020301 13:08;6//17858;
